,artist,num_lines,sentiment,tags,f_k_grade,year,pos,num_syllables,difficult_words,fog_index,title,num_dupes,flesch_index,num_words,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound
0,Wilson Phillips,61,"{'neg': 0.046, 'neu': 0.892, 'pos': 0.061, 'compound': 0.8335}",['pop'],0.1,1990,1,496.8,16,4.800000000000001,Hold On,26,106.67,435,0.046,0.892,0.061,0.8335
1,Roxette,35,"{'neg': 0.056, 'neu': 0.737, 'pos': 0.20700000000000002, 'compound': 0.9959}","['pop', 'rock']",1.7000000000000002,1990,2,343.8,15,5.2,It Must Have Been Love,19,97.2,282,0.056,0.737,0.20700000000000002,0.9959
2,Sinead O'Connor,28,"{'neg': 0.125, 'neu': 0.798, 'pos': 0.077, 'compound': -0.8173}","['alternative/indie', 'folk', 'pop', 'rock']",2.5,1990,3,272.7,14,4.800000000000001,Nothing Compares 2 U,16,89.75,210,0.125,0.798,0.077,-0.8173
3,Bell Biv Devoe,65,"{'neg': 0.155, 'neu': 0.7030000000000001, 'pos': 0.14200000000000002, 'compound': -0.877}",[],0.9,1990,4,500.4,52,4.4,Poison,26,99.23,433,0.155,0.7030000000000001,0.14200000000000002,-0.877
4,Madonna,68,"{'neg': 0.028, 'neu': 0.894, 'pos': 0.077, 'compound': 0.9753000000000001}","['electronic/dance', 'electronic/dance', 'pop']",2.1,1990,5,554.4,47,4.4,Vogue,29,90.77,433,0.028,0.894,0.077,0.9753000000000001
5,Mariah Carey,38,"{'neg': 0.044, 'neu': 0.673, 'pos': 0.28300000000000003, 'compound': 0.9959}","['pop', 'hip-hop/rnb']",1.7000000000000002,1990,6,279.0,31,4.0,Vision Of Love,15,91.78,219,0.044,0.673,0.28300000000000003,0.9959
6,Phil Collins,38,"{'neg': 0.024, 'neu': 0.753, 'pos': 0.223, 'compound': 0.9974000000000001}","['jazz', 'pop', 'rock']",2.1,1990,7,326.7,12,4.4,Another Day In Paradise,23,90.77,259,0.024,0.753,0.223,0.9974000000000001
7,En Vogue,49,"{'neg': 0.085, 'neu': 0.681, 'pos': 0.234, 'compound': 0.9941000000000001}",[],0.5,1990,8,313.2,30,4.0,Hold On,13,100.24,271,0.085,0.681,0.234,0.9941000000000001
8,Billy Idol,59,"{'neg': 0.077, 'neu': 0.496, 'pos': 0.427, 'compound': 0.9995}","['electronic/dance', 'rock']",0.9,1990,9,466.2,29,4.4,Cradle Of Love,29,99.23,380,0.077,0.496,0.427,0.9995
9,Jon Bon Jovi,60,"{'neg': 0.117, 'neu': 0.652, 'pos': 0.231, 'compound': 0.9939}",[],-0.30000000000000004,1990,10,405.0,22,4.4,Blaze Of Glory,20,107.69,371,0.117,0.652,0.231,0.9939
10,Bell Biv Devoe,74,"{'neg': 0.007, 'neu': 0.915, 'pos': 0.077, 'compound': 0.9848}",[],-0.30000000000000004,1990,11,489.6,19,4.4,Do Me!,47,107.69,462,0.007,0.915,0.077,0.9848
11,Michael Bolton,34,"{'neg': 0.017, 'neu': 0.902, 'pos': 0.081, 'compound': 0.9643}","['pop', 'rock']",2.1,1990,12,373.5,15,5.6,How Am I Supposed To Live Without You,20,96.18,315,0.017,0.902,0.081,0.9643
12,Technotronic,85,"{'neg': 0.018000000000000002, 'neu': 0.9560000000000001, 'pos': 0.025, 'compound': 0.8284}",[],-1.0,1990,13,429.3,9,3.6,Pump Up The Jam,88,109.72,406,0.018000000000000002,0.9560000000000001,0.025,0.8284
13,Paula Abdul,75,"{'neg': 0.063, 'neu': 0.747, 'pos': 0.191, 'compound': 0.994}",['pop'],2.5,1990,14,508.5,32,3.6,Opposites Attract,62,84.34,360,0.063,0.747,0.191,0.994
14,Janet Jackson,51,"{'neg': 0.088, 'neu': 0.763, 'pos': 0.149, 'compound': 0.9814}","['electronic/dance', 'pop']",2.9,1990,15,562.5,29,5.2,Escapade,24,88.74,418,0.088,0.763,0.149,0.9814
15,Heart,64,"{'neg': 0.018000000000000002, 'neu': 0.715, 'pos': 0.267, 'compound': 0.999}",['rock'],0.9,1990,16,471.6,25,4.4,All I Wanna Do Is Make Love To You,29,99.23,401,0.018000000000000002,0.715,0.267,0.999
16,Maxi Priest,76,"{'neg': 0.064, 'neu': 0.804, 'pos': 0.132, 'compound': 0.9849}",['reggae'],0.1,1990,17,620.1,37,4.800000000000001,Close To You,44,106.67,547,0.064,0.804,0.132,0.9849
17,Alannah Myles,34,"{'neg': 0.033, 'neu': 0.8150000000000001, 'pos': 0.153, 'compound': 0.984}",['rock'],1.3,1990,18,309.6,27,4.800000000000001,Black Velvet,23,98.21,248,0.033,0.8150000000000001,0.153,0.984
18,Wilson Phillips,50,"{'neg': 0.082, 'neu': 0.867, 'pos': 0.051000000000000004, 'compound': -0.8936000000000001}",['pop'],0.9,1990,19,433.8,19,4.4,Release Me,37,99.23,348,0.082,0.867,0.051000000000000004,-0.8936000000000001
19,Linda Ronstadt,34,"{'neg': 0.022, 'neu': 0.768, 'pos': 0.21, 'compound': 0.9897}","['country', 'folk']",-0.7000000000000001,1990,20,200.7,13,4.0,Don't Know Much,19,108.7,182,0.022,0.768,0.21,0.9897
20,Lisa Stansfield,66,"{'neg': 0.059000000000000004, 'neu': 0.928, 'pos': 0.013000000000000001, 'compound': -0.9672000000000001}",['pop'],-0.30000000000000004,1990,21,483.3,17,4.4,All Around The World,49,107.69,448,0.059000000000000004,0.928,0.013000000000000001,-0.9672000000000001
21,Johnny Gill,69,"{'neg': 0.003, 'neu': 0.853, 'pos': 0.14400000000000002, 'compound': 0.9964000000000001}",[],0.9,1990,23,551.7,34,4.4,Rub You The Right Way,43,99.23,475,0.003,0.853,0.14400000000000002,0.9964000000000001
22,Sweet Sensation,40,"{'neg': 0.063, 'neu': 0.559, 'pos': 0.378, 'compound': 0.9991000000000001}",['pop'],1.3,1990,25,351.0,18,4.800000000000001,If Wishes Came True,26,98.21,288,0.063,0.559,0.378,0.9991000000000001
23,Nelson,43,"{'neg': 0.156, 'neu': 0.714, 'pos': 0.131, 'compound': -0.8046000000000001}",[],2.5,1990,27,405.0,21,4.800000000000001,(Can't Live Without Your) Love And Affection,23,89.75,323,0.156,0.714,0.131,-0.8046000000000001
24,Taylor Dayne,47,"{'neg': 0.013000000000000001, 'neu': 0.749, 'pos': 0.23800000000000002, 'compound': 0.9975}","['electronic/dance', 'pop']",0.9,1990,28,347.4,14,4.4,Love Will Lead You Back,30,99.23,302,0.013000000000000001,0.749,0.23800000000000002,0.9975
25,Poison,44,"{'neg': 0.069, 'neu': 0.654, 'pos': 0.277, 'compound': 0.9973000000000001}",['rock'],-0.30000000000000004,1990,32,344.7,15,4.4,Unskinny Bop,29,107.69,300,0.069,0.654,0.277,0.9973000000000001
26,New Kids On The Block,55,"{'neg': 0.007, 'neu': 0.907, 'pos': 0.08600000000000001, 'compound': 0.9579000000000001}",['pop'],-0.7000000000000001,1990,33,340.2,6,4.0,Step By Step,37,108.7,320,0.007,0.907,0.08600000000000001,0.9579000000000001
27,Roxette,56,"{'neg': 0.008, 'neu': 0.905, 'pos': 0.088, 'compound': 0.9776}","['pop', 'rock']",0.5,1990,34,367.2,18,4.0,Dangerous,35,100.24,315,0.008,0.905,0.088,0.9776
28,Billy Joel,106,"{'neg': 0.093, 'neu': 0.837, 'pos': 0.07, 'compound': -0.9433}","['classical/soundtrack', 'pop', 'rock']",2.5,1990,35,697.5,134,3.6,We Didn't Start The Fire,66,84.34,509,0.093,0.837,0.07,-0.9433
