,artist,num_lines,sentiment,tags,f_k_grade,year,pos,num_syllables,difficult_words,fog_index,title,num_dupes,flesch_index,num_words,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound,genre,danceability,energy,loudness,instrumentalness,liveness,spotify_id,spotify_url,duration_ms
0,Gotye,41,"{'neg': 0.076, 'neu': 0.772, 'pos': 0.151, 'compound': 0.9796}","['alternative/indie', 'electronic/dance', 'pop', 'rock']",1.7000000000000002,2012,1,451.8,21,5.2,Somebody That I Used To Know,27,97.2,366,0.076,0.772,0.151,0.9796,alternative/indie,0.864,0.495,-7.036,0.000133,0.0992,4wCmqSrbyCgxEXROQE6vtV,https://api.spotify.com/v1/tracks/4wCmqSrbyCgxEXROQE6vtV,244973
1,Carly Rae Jepsen,54,"{'neg': 0.17200000000000001, 'neu': 0.772, 'pos': 0.056, 'compound': -0.9949}",['pop'],0.1,2012,2,466.2,15,4.800000000000001,Call Me Maybe,37,106.67,409,0.17200000000000001,0.772,0.056,-0.9949,pop,0.783,0.58,-6.548,2.28e-06,0.108,3TGRqZ0a2l1LRblBkJoaDx,https://api.spotify.com/v1/tracks/3TGRqZ0a2l1LRblBkJoaDx,193400
2,Maroon 5,58,"{'neg': 0.13, 'neu': 0.738, 'pos': 0.132, 'compound': 0.5407000000000001}","['electronic/dance', 'pop', 'rock']",2.1,2012,4,689.4,47,5.6,Payphone,33,96.18,562,0.13,0.738,0.132,0.5407000000000001,electronic/dance,0.739,0.756,-4.828,0.0,0.37,1LmN9SSHISbtp9LoaR5ZVJ,https://api.spotify.com/v1/tracks/1LmN9SSHISbtp9LoaR5ZVJ,231387
3,Ellie Goulding,44,"{'neg': 0.10300000000000001, 'neu': 0.8140000000000001, 'pos': 0.083, 'compound': 0.0644}",['pop'],1.3,2012,5,363.6,12,4.800000000000001,Lights,44,98.21,311,0.10300000000000001,0.8140000000000001,0.083,0.0644,pop,0.683,0.789,-6.132,0.0492,0.112,7gUpO6td4OOnu0Lf9vhcIV,https://api.spotify.com/v1/tracks/7gUpO6td4OOnu0Lf9vhcIV,211800
4,Kelly Clarkson,61,"{'neg': 0.062, 'neu': 0.645, 'pos': 0.294, 'compound': 0.9985}","['pop', 'rock']",0.9,2012,7,458.1,20,4.4,Stronger,40,99.23,374,0.062,0.645,0.294,0.9985,pop,0.562,0.939,-4.282,0.0,0.112,6D60klaHqbCl9ySc8VcRss,https://api.spotify.com/v1/tracks/6D60klaHqbCl9ySc8VcRss,221947
5,Rihanna,31,"{'neg': 0.17400000000000002, 'neu': 0.532, 'pos': 0.294, 'compound': 0.9899}","['electronic/dance', 'pop', 'reggae', 'hip-hop/rnb']",3.3,2012,8,278.1,11,4.4,We Found Love,27,82.31,206,0.17400000000000002,0.532,0.294,0.9899,electronic/dance,0.734,0.766,-4.485,0.00138,0.108,6qn9YLKt13AGvpq9jfO8py,https://api.spotify.com/v1/tracks/6qn9YLKt13AGvpq9jfO8py,215227
6,Nicki Minaj,75,"{'neg': 0.053, 'neu': 0.853, 'pos': 0.094, 'compound': 0.8928}","['hip-hop/rnb', 'pop']",0.5,2012,9,453.6,15,4.0,Starships,47,100.24,376,0.053,0.853,0.094,0.8928,hip-hop/rnb,0.747,0.716,-2.457,0.0,0.251,1oHNvJVbFkexQc0BpQp7Y4,https://api.spotify.com/v1/tracks/1oHNvJVbFkexQc0BpQp7Y4,210627
7,One Direction,57,"{'neg': 0.14400000000000002, 'neu': 0.767, 'pos': 0.089, 'compound': -0.99}",['pop'],1.3,2012,10,480.6,13,4.800000000000001,What Makes You Beautiful,41,98.21,404,0.14400000000000002,0.767,0.089,-0.99,pop,0.726,0.787,-2.494,0.0,0.0596,4cluDES4hQEUhmXj6TXkSo,https://api.spotify.com/v1/tracks/4cluDES4hQEUhmXj6TXkSo,199987
8,Flo Rida,66,"{'neg': 0.069, 'neu': 0.833, 'pos': 0.097, 'compound': 0.838}",['electronic/dance'],1.3,2012,11,579.6,50,4.800000000000001,Wild Ones,39,98.21,498,0.069,0.833,0.097,0.838,electronic/dance,0.608,0.86,-5.324,0.0,0.262,1NpW5kyvO4XrNJ3rnfcNy3,https://api.spotify.com/v1/tracks/1NpW5kyvO4XrNJ3rnfcNy3,232947
9,LMFAO,56,"{'neg': 0.025, 'neu': 0.8140000000000001, 'pos': 0.161, 'compound': 0.9934000000000001}","['electronic/dance', 'electronic/dance', 'electronic/dance', 'pop']",-0.30000000000000004,2012,13,412.2,19,4.4,Sexy And I Know It,45,107.69,375,0.025,0.8140000000000001,0.161,0.9934000000000001,electronic/dance,0.707,0.861,-4.225,0.0,0.191,0obBFrPYkSoBJbvHfUIhkv,https://api.spotify.com/v1/tracks/0obBFrPYkSoBJbvHfUIhkv,199480
10,Katy Perry,67,"{'neg': 0.07100000000000001, 'neu': 0.8200000000000001, 'pos': 0.108, 'compound': 0.9354}",['pop'],0.1,2012,15,387.9,23,3.6,Wide Awake,44,101.26,314,0.07100000000000001,0.8200000000000001,0.108,0.9354,pop,0.514,0.683,-5.099,2.64e-06,0.392,5JLv62qFIS1DR3zGEcApRt,https://api.spotify.com/v1/tracks/5JLv62qFIS1DR3zGEcApRt,220947
11,Flo Rida,65,"{'neg': 0.035, 'neu': 0.587, 'pos': 0.378, 'compound': 0.9994000000000001}",['electronic/dance'],1.7000000000000002,2012,16,635.4,40,5.2,Good Feeling,45,97.2,524,0.035,0.587,0.378,0.9994000000000001,electronic/dance,0.706,0.89,-4.444,0.00286,0.306,2LEF1A8DOZ9wRYikWgVlZ8,https://api.spotify.com/v1/tracks/2LEF1A8DOZ9wRYikWgVlZ8,248133
12,Flo Rida,82,"{'neg': 0.058, 'neu': 0.839, 'pos': 0.10300000000000001, 'compound': 0.9739000000000001}",['electronic/dance'],2.1,2012,17,633.6,43,4.4,Whistle,52,90.77,495,0.058,0.839,0.10300000000000001,0.9739000000000001,electronic/dance,0.747,0.937,-5.746,0.0,0.29,3bC1ahPIYt1btJzSSEyyrF,https://api.spotify.com/v1/tracks/3bC1ahPIYt1btJzSSEyyrF,224653
13,Maroon 5,66,"{'neg': 0.123, 'neu': 0.723, 'pos': 0.154, 'compound': 0.921}","['electronic/dance', 'pop', 'rock']",0.1,2012,18,577.8,33,4.800000000000001,One More Night,35,106.67,505,0.123,0.723,0.154,0.921,electronic/dance,0.718,0.82,-3.453,0.0,0.0846,4XNrMwGx1SqP01sqkGTDmo,https://api.spotify.com/v1/tracks/4XNrMwGx1SqP01sqkGTDmo,219467
14,Train,64,"{'neg': 0.097, 'neu': 0.767, 'pos': 0.136, 'compound': 0.977}","['alternative/indie', 'pop']",-0.30000000000000004,2012,19,478.8,21,4.4,Drive By,43,107.69,422,0.097,0.767,0.136,0.977,alternative/indie,0.765,0.837,-3.113,1.06e-05,0.0801,0KAiuUOrLTIkzkpfpn9jb9,https://api.spotify.com/v1/tracks/0KAiuUOrLTIkzkpfpn9jb9,195973
15,Rihanna,48,"{'neg': 0.017, 'neu': 0.886, 'pos': 0.097, 'compound': 0.9681000000000001}","['electronic/dance', 'pop', 'reggae', 'hip-hop/rnb']",2.9,2012,21,333.9,11,4.0,Where Have You Been,45,83.32,243,0.017,0.886,0.097,0.9681000000000001,electronic/dance,0.719,0.847,-6.34,0.0204,0.221,5WQQIDU3HRaMyPkob8mpFb,https://api.spotify.com/v1/tracks/5WQQIDU3HRaMyPkob8mpFb,242680
16,Neon Trees,43,"{'neg': 0.052000000000000005, 'neu': 0.833, 'pos': 0.114, 'compound': 0.9561000000000001}",[],2.1,2012,22,357.3,19,4.4,Everybody Talks,30,90.77,266,0.052000000000000005,0.833,0.114,0.9561000000000001,none,0.471,0.924,-3.906,0.0,0.313,2iUmqdfGZcHIhS3b9E9EWq,https://api.spotify.com/v1/tracks/2iUmqdfGZcHIhS3b9E9EWq,177280
17,David Guetta,46,"{'neg': 0.273, 'neu': 0.6920000000000001, 'pos': 0.035, 'compound': -0.9919}","['electronic/dance', 'electronic/dance']",0.1,2012,24,247.5,19,3.6,Titanium,39,101.26,202,0.273,0.6920000000000001,0.035,-0.9919,electronic/dance,0.604,0.787,-3.674,0.15,0.127,0lHAMNU8RGiIObScrsRgmP,https://api.spotify.com/v1/tracks/0lHAMNU8RGiIObScrsRgmP,245040
18,Jason Mraz,42,"{'neg': 0.02, 'neu': 0.806, 'pos': 0.17400000000000002, 'compound': 0.9931000000000001}","['pop', 'rock']",0.1,2012,25,344.7,15,4.800000000000001,I Won't Give Up,15,106.67,303,0.02,0.806,0.17400000000000002,0.9931000000000001,pop,0.585,0.303,-10.058,0.0,0.115,53QF56cjZA9RTuuMZDrSA6,https://api.spotify.com/v1/tracks/53QF56cjZA9RTuuMZDrSA6,240166
19,Bruno Mars,31,"{'neg': 0.138, 'neu': 0.79, 'pos': 0.07100000000000001, 'compound': -0.9655}",['pop'],2.5,2012,26,384.3,21,6.0,It Will Rain,15,95.17,312,0.138,0.79,0.07100000000000001,-0.9655,pop,0.576,0.835,-6.826,0.0,0.082,0RUGuh2uSNFJpGMSsD1F5C,https://api.spotify.com/v1/tracks/0RUGuh2uSNFJpGMSsD1F5C,257720
20,Justin Bieber,42,"{'neg': 0.011, 'neu': 0.8260000000000001, 'pos': 0.162, 'compound': 0.9951000000000001}",['pop'],0.9,2012,28,464.4,23,5.6,Boyfriend,14,104.64,405,0.011,0.8260000000000001,0.162,0.9951000000000001,pop,0.717,0.55,-6.019,0.00196,0.126,0171XsIM2xyeXRr6wsugEI,https://api.spotify.com/v1/tracks/0171XsIM2xyeXRr6wsugEI,171333
21,LMFAO,68,"{'neg': 0.069, 'neu': 0.809, 'pos': 0.123, 'compound': 0.9805}","['electronic/dance', 'electronic/dance', 'electronic/dance', 'pop']",1.3,2012,29,556.2,34,4.800000000000001,Party Rock Anthem,27,98.21,476,0.069,0.809,0.123,0.9805,electronic/dance,0.75,0.727,-4.21,0.0,0.266,0IkKz2J93C94Ei4BvDop7P,https://api.spotify.com/v1/tracks/0IkKz2J93C94Ei4BvDop7P,262173
22,Alex Clare,32,"{'neg': 0.016, 'neu': 0.682, 'pos': 0.302, 'compound': 0.9984000000000001}",[],0.5,2012,30,315.9,9,5.2,Too Close,21,105.66,275,0.016,0.682,0.302,0.9984000000000001,none,0.584,0.712,-4.311,1.05e-06,0.114,4sK96UnGx3NjBaqvfTG2dm,https://api.spotify.com/v1/tracks/4sK96UnGx3NjBaqvfTG2dm,256560
23,Katy Perry,57,"{'neg': 0.076, 'neu': 0.879, 'pos': 0.046, 'compound': -0.8697}",['pop'],0.1,2012,31,459.9,16,4.800000000000001,Part Of Me,39,106.67,404,0.076,0.879,0.046,-0.8697,pop,0.678,0.918,-4.63,0.0,0.0744,1nZzRJbFvCEct3uzu04ZoL,https://api.spotify.com/v1/tracks/1nZzRJbFvCEct3uzu04ZoL,216160
24,Taylor Swift,36,"{'neg': 0.056, 'neu': 0.809, 'pos': 0.136, 'compound': 0.9874}","['country', 'pop']",3.3,2012,33,452.7,21,5.6,We Are Never Ever Getting Back Together,21,87.72,352,0.056,0.809,0.136,0.9874,country,0.628,0.676,-5.911,2.65e-05,0.102,7AEAGTc8cReDqcbPoY9gwo,https://api.spotify.com/v1/tracks/7AEAGTc8cReDqcbPoY9gwo,191880
25,Justin Bieber,64,"{'neg': 0.048, 'neu': 0.669, 'pos': 0.28300000000000003, 'compound': 0.9995}",['pop'],1.7000000000000002,2012,34,604.8,33,5.2,As Long as You Love Me,27,97.2,520,0.048,0.669,0.28300000000000003,0.9995,pop,0.571,0.873,-3.382,0.0,0.361,0pwYLVXVknPSGUQb39cePC,https://api.spotify.com/v1/tracks/0pwYLVXVknPSGUQb39cePC,229467
26,David Guetta,44,"{'neg': 0.084, 'neu': 0.728, 'pos': 0.187, 'compound': 0.9922000000000001}","['electronic/dance', 'electronic/dance']",0.9,2012,35,459.0,16,5.6,Turn Me On,29,104.64,402,0.084,0.728,0.187,0.9922000000000001,electronic/dance,0.704,0.793,-2.266,0.0,0.575,6JOlNkT0QdHeZB0wPbI9IR,https://api.spotify.com/v1/tracks/6JOlNkT0QdHeZB0wPbI9IR,199680
27,Maroon 5,76,"{'neg': 0.033, 'neu': 0.768, 'pos': 0.199, 'compound': 0.9967}","['electronic/dance', 'pop', 'rock']",0.5,2012,36,501.3,24,4.0,Moves Like Jagger,46,100.24,417,0.033,0.768,0.199,0.9967,electronic/dance,0.722,0.758,-4.477,0.0,0.308,7LcfRTgAVTs5pQGEQgUEzN,https://api.spotify.com/v1/tracks/7LcfRTgAVTs5pQGEQgUEzN,201160
28,Owl City,47,"{'neg': 0.025, 'neu': 0.735, 'pos': 0.24, 'compound': 0.9965}",[],3.3,2012,38,397.8,14,4.4,Good Time,49,82.31,291,0.025,0.735,0.24,0.9965,none,0.56,0.872,-4.269,7.52e-06,0.371,1kPpge9JDLpcj15qgrPbYX,https://api.spotify.com/v1/tracks/1kPpge9JDLpcj15qgrPbYX,205933
29,Demi Lovato,66,"{'neg': 0.156, 'neu': 0.774, 'pos': 0.07, 'compound': -0.9897}",['pop'],-0.30000000000000004,2012,39,489.6,21,4.4,Give Your Heart A Break,40,107.69,427,0.156,0.774,0.07,-0.9897,pop,0.651,0.695,-3.218,0.0,0.144,3sP3c86WFjOzHHnbhhZcLA,https://api.spotify.com/v1/tracks/3sP3c86WFjOzHHnbhhZcLA,205347
30,Katy Perry,36,"{'neg': 0.048, 'neu': 0.919, 'pos': 0.032, 'compound': -0.4767}",['pop'],1.7000000000000002,2012,41,400.5,26,5.2,The One That Got Away,19,97.2,323,0.048,0.919,0.032,-0.4767,pop,0.687,0.792,-4.023,0.0,0.2,3oL3XRtkP1WVbMxf7dtTdu,https://api.spotify.com/v1/tracks/3oL3XRtkP1WVbMxf7dtTdu,227333
31,Calvin Harris,20,"{'neg': 0.14, 'neu': 0.724, 'pos': 0.136, 'compound': 0.6597000000000001}","['electronic/dance', 'disco', 'electronic/dance']",-0.30000000000000004,2012,42,144.0,3,4.4,Feel So Close,17,107.69,127,0.14,0.724,0.136,0.6597000000000001,electronic/dance,0.707,0.924,-2.842,0.00703,0.204,1gihuPhrLraKYrJMAEONyc,https://api.spotify.com/v1/tracks/1gihuPhrLraKYrJMAEONyc,206413
32,Usher,55,"{'neg': 0.138, 'neu': 0.733, 'pos': 0.129, 'compound': -0.8906000000000001}",[],2.5,2012,44,518.4,28,4.800000000000001,Scream,39,89.75,402,0.138,0.733,0.129,-0.8906000000000001,none,0.616,0.862,-5.18,0.0,0.179,12eMQUn2GzfsfsQLH53M19,https://api.spotify.com/v1/tracks/12eMQUn2GzfsfsQLH53M19,234693
33,Tyga,70,"{'neg': 0.405, 'neu': 0.554, 'pos': 0.041, 'compound': -0.9996}",[],2.5,2012,45,467.1,39,3.6,Rack City,61,84.34,345,0.405,0.554,0.041,-0.9996,none,0.929,0.339,-10.881,1.96e-05,0.187,0srwKuJPH8yBzzFUJMBQM2,https://api.spotify.com/v1/tracks/0srwKuJPH8yBzzFUJMBQM2,203200
