,artist,num_lines,sentiment,tags,f_k_grade,year,pos,num_syllables,difficult_words,fog_index,title,num_dupes,flesch_index,num_words,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound
0,Bangles,35,"{'neg': 0.057, 'neu': 0.847, 'pos': 0.097, 'compound': 0.8387}","['pop', 'rock']",2.1,1987,1,288.9,27,4.4,Walk Like An Egyptian,13,90.77,230,0.057,0.847,0.097,0.8387
1,Heart,25,"{'neg': 0.06, 'neu': 0.855, 'pos': 0.085, 'compound': 0.5553}",['rock'],1.3,1987,2,209.7,11,4.800000000000001,Alone,14,98.21,181,0.06,0.855,0.085,0.5553
2,Whitney Houston,55,"{'neg': 0.033, 'neu': 0.784, 'pos': 0.183, 'compound': 0.9949}",['pop'],3.3,1987,4,487.8,15,4.4,I Wanna Dance With Somebody,39,82.31,350,0.033,0.784,0.183,0.9949
3,Starship,76,"{'neg': 0.11800000000000001, 'neu': 0.709, 'pos': 0.17300000000000001, 'compound': 0.9852000000000001}","['pop', 'rock']",0.5,1987,5,485.1,24,4.0,Nothing's Gonna Stop Us Now,52,100.24,405,0.11800000000000001,0.709,0.17300000000000001,0.9852000000000001
4,Robbie Nevil,48,"{'neg': 0.025, 'neu': 0.915, 'pos': 0.059000000000000004, 'compound': 0.8604}",[],-0.30000000000000004,1987,6,335.7,18,4.4,C'est La Vie,36,107.69,299,0.025,0.915,0.059000000000000004,0.8604
5,Whitesnake,46,"{'neg': 0.059000000000000004, 'neu': 0.765, 'pos': 0.176, 'compound': 0.9876}","['blues', 'rock']",1.3,1987,7,395.1,14,4.800000000000001,Here I Go Again,35,98.21,325,0.059000000000000004,0.765,0.176,0.9876
6,Bruce Hornsby and The Range,31,"{'neg': 0.034, 'neu': 0.931, 'pos': 0.036000000000000004, 'compound': 0.11410000000000001}",[],0.1,1987,8,240.3,12,4.800000000000001,The Way It Is,14,106.67,218,0.034,0.931,0.036000000000000004,0.11410000000000001
7,Bob Seger,47,"{'neg': 0.121, 'neu': 0.8, 'pos': 0.079, 'compound': -0.9167000000000001}",[],4.1,1987,9,428.4,31,4.0,Shakedown,39,74.86,278,0.121,0.8,0.079,-0.9167000000000001
8,Bon Jovi,47,"{'neg': 0.065, 'neu': 0.794, 'pos': 0.14100000000000001, 'compound': 0.9868}",['rock'],0.9,1987,10,345.6,17,4.4,Livin' On A Prayer,30,99.23,296,0.065,0.794,0.14100000000000001,0.9868
9,Los Lobos,22,"{'neg': 0.034, 'neu': 0.966, 'pos': 0.0, 'compound': -0.5267000000000001}","['blues', 'folk', 'rock']",4.5,1987,11,198.0,18,4.4,La Bamba,22,73.85,134,0.034,0.966,0.0,-0.5267000000000001
10,Wang Chung,50,"{'neg': 0.017, 'neu': 0.745, 'pos': 0.23800000000000002, 'compound': 0.9967}","['electronic/dance', 'pop', 'rock']",6.4,1987,12,448.2,19,4.0,Everybody Have Fun Tonight,35,57.94,265,0.017,0.745,0.23800000000000002,0.9967
11,Crowded House,48,"{'neg': 0.169, 'neu': 0.806, 'pos': 0.025, 'compound': -0.99}",[],-0.7000000000000001,1987,13,286.2,27,4.0,Don't Dream It's Over,25,108.7,251,0.169,0.806,0.025,-0.99
12,Atlantic Starr,37,"{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.9973000000000001}","['disco', 'pop']",0.9,1987,14,286.2,9,4.4,Always,26,99.23,246,0.0,0.741,0.259,0.9973000000000001
