,artist,num_lines,sentiment,tags,f_k_grade,year,pos,num_syllables,difficult_words,fog_index,title,num_dupes,flesch_index,num_words,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound,genre
0,Police,56,"{'neg': 0.088, 'neu': 0.8270000000000001, 'pos': 0.08600000000000001, 'compound': -0.1852}","['alternative/indie', 'rock']",2.9,1983,1,467.1,8,4.0,Every Breath You Take,35,83.32,334,0.088,0.8270000000000001,0.08600000000000001,-0.1852,alternative/indie
1,Michael Jackson,58,"{'neg': 0.093, 'neu': 0.841, 'pos': 0.066, 'compound': -0.9531000000000001}","['disco', 'pop', 'hip-hop/rnb', 'rock', 'soul']",0.5,1983,2,517.5,21,5.2,Billie Jean,35,105.66,467,0.093,0.841,0.066,-0.9531000000000001,disco
2,Irene Cara,43,"{'neg': 0.048, 'neu': 0.802, 'pos': 0.15, 'compound': 0.9559000000000001}",[],1.7000000000000002,1983,3,302.4,24,4.0,Flashdance... What A Feeling,19,91.78,237,0.048,0.802,0.15,0.9559000000000001,none
3,Men At Work,40,"{'neg': 0.025, 'neu': 0.8320000000000001, 'pos': 0.14300000000000002, 'compound': 0.9866}","['pop', 'rock']",0.9,1983,4,328.5,26,4.4,Down Under,23,99.23,277,0.025,0.8320000000000001,0.14300000000000002,0.9866,pop
4,Michael Jackson,51,"{'neg': 0.216, 'neu': 0.618, 'pos': 0.166, 'compound': -0.8905000000000001}","['disco', 'pop', 'hip-hop/rnb', 'rock', 'soul']",0.1,1983,5,420.3,9,4.800000000000001,Beat It,38,106.67,391,0.216,0.618,0.166,-0.8905000000000001,disco
5,Bonnie Tyler,86,"{'neg': 0.062, 'neu': 0.8180000000000001, 'pos': 0.12, 'compound': 0.9917}","['pop', 'rock']",1.3,1983,6,802.8,34,4.800000000000001,Total Eclipse Of The Heart,63,98.21,650,0.062,0.8180000000000001,0.12,0.9917,pop
6,Daryl Hall and John Oates,60,"{'neg': 0.0, 'neu': 0.9430000000000001, 'pos': 0.057, 'compound': 0.9423}",[],0.5,1983,7,386.1,19,4.0,Maneater,32,100.24,318,0.0,0.9430000000000001,0.057,0.9423,none
7,Eurythmics,51,"{'neg': 0.07200000000000001, 'neu': 0.734, 'pos': 0.195, 'compound': 0.9856}","['electronic/dance', 'pop', 'hip-hop/rnb', 'rock']",2.1,1983,10,393.3,15,4.4,Sweet Dreams,32,90.77,311,0.07200000000000001,0.734,0.195,0.9856,electronic/dance
8,Culture Club,38,"{'neg': 0.16, 'neu': 0.655, 'pos': 0.185, 'compound': -0.7367}",['pop'],0.9,1983,11,288.0,19,4.4,Do You Really Want To Hurt Me,22,99.23,246,0.16,0.655,0.185,-0.7367,pop
9,Eddie Rabbitt,34,"{'neg': 0.0, 'neu': 0.7010000000000001, 'pos': 0.299, 'compound': 0.9959}",['country'],0.5,1983,12,210.6,10,4.0,You And I,21,100.24,177,0.0,0.7010000000000001,0.299,0.9959,country
