,artist,num_lines,sentiment,tags,f_k_grade,year,pos,num_syllables,difficult_words,fog_index,title,num_dupes,flesch_index,num_words,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound,genre
0,Boyz II Men,63,"{'neg': 0.048, 'neu': 0.8140000000000001, 'pos': 0.137, 'compound': 0.9938}","['pop', 'soul']",2.5,1992,1,729.9,33,6.0,End Of The Road,22,95.17,634,0.048,0.8140000000000001,0.137,0.9938,pop
1,Sir Mix-a-Lot,111,"{'neg': 0.037, 'neu': 0.882, 'pos': 0.081, 'compound': 0.9661000000000001}",['hip-hop/rnb'],0.9,1992,2,838.8,91,4.4,Baby Got Back,28,99.23,709,0.037,0.882,0.081,0.9661000000000001,hip-hop/rnb
2,Kris Kross,74,"{'neg': 0.013000000000000001, 'neu': 0.9390000000000001, 'pos': 0.048, 'compound': 0.9533}",[],1.3,1992,3,700.2,48,4.800000000000001,Jump,48,98.21,588,0.013000000000000001,0.9390000000000001,0.048,0.9533,none
3,Eric Clapton,16,"{'neg': 0.026000000000000002, 'neu': 0.751, 'pos': 0.223, 'compound': 0.9857}","['blues', 'pop', 'reggae', 'rock']",0.9,1992,6,171.9,5,5.6,Tears In Heaven,7,104.64,154,0.026000000000000002,0.751,0.223,0.9857,blues
4,En Vogue,96,"{'neg': 0.093, 'neu': 0.805, 'pos': 0.10200000000000001, 'compound': 0.9292}",[],2.1,1992,7,825.3,18,4.4,My Lovin',97,90.77,644,0.093,0.805,0.10200000000000001,0.9292,none
5,Red Hot Chili Peppers,34,"{'neg': 0.122, 'neu': 0.632, 'pos': 0.246, 'compound': 0.9927}","['alternative/indie', 'rock']",1.7000000000000002,1992,8,341.1,21,5.2,Under The Bridge,17,97.2,274,0.122,0.632,0.246,0.9927,alternative/indie
6,Jon Secada,46,"{'neg': 0.10400000000000001, 'neu': 0.877, 'pos': 0.019, 'compound': -0.9146000000000001}",[],1.3,1992,10,382.5,18,4.800000000000001,Just Another Day,21,98.21,324,0.10400000000000001,0.877,0.019,-0.9146000000000001,none
7,Shanice,44,"{'neg': 0.045, 'neu': 0.638, 'pos': 0.316, 'compound': 0.9982000000000001}","['pop', 'hip-hop/rnb']",0.9,1992,11,327.6,27,4.4,I Love Your Smile,14,99.23,279,0.045,0.638,0.316,0.9982000000000001,pop
8,Mr. Big,41,"{'neg': 0.014, 'neu': 0.869, 'pos': 0.117, 'compound': 0.9867}",[],0.5,1992,12,370.8,15,5.2,To Be With You,17,105.66,332,0.014,0.869,0.117,0.9867,none
9,Right Said Fred,40,"{'neg': 0.055, 'neu': 0.596, 'pos': 0.34900000000000003, 'compound': 0.9984000000000001}",['pop'],-0.30000000000000004,1992,13,279.9,11,4.4,I'm Too Sexy,20,107.69,247,0.055,0.596,0.34900000000000003,0.9984000000000001,pop
