,artist,num_lines,sentiment,tags,f_k_grade,year,pos,num_syllables,difficult_words,fog_index,title,num_dupes,flesch_index,num_words,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound,genre,danceability,energy,loudness,instrumentalness,liveness,spotify_id,spotify_url,duration_ms
0,Ace Of Base,45,"{'neg': 0.07100000000000001, 'neu': 0.872, 'pos': 0.057, 'compound': 0.4984}","['electronic/dance', 'pop']",-0.30000000000000004,1994,1,320.4,12,4.4,The Sign,33,107.69,279,0.07100000000000001,0.872,0.057,0.4984,electronic/dance,0.808,0.786,-6.897,0.0701,0.0574,0hrBpAOgrt8RXigk83LLNE,https://api.spotify.com/v1/tracks/0hrBpAOgrt8RXigk83LLNE,191240.0
1,Boyz II Men,55,"{'neg': 0.007, 'neu': 0.784, 'pos': 0.209, 'compound': 0.9966}","['pop', 'soul']",-0.7000000000000001,1994,3,359.1,14,4.0,I'll Make Love To You,34,108.7,324,0.007,0.784,0.209,0.9966,pop,,,,,,,,
2,Celine Dion,47,"{'neg': 0.058, 'neu': 0.713, 'pos': 0.229, 'compound': 0.9946}",['pop'],1.7000000000000002,1994,4,325.8,27,4.0,The Power Of Love,26,91.78,257,0.058,0.713,0.229,0.9946,pop,0.546,0.519,-9.072,0.00046,0.24,5kK1Iru9ogP3Iy1zsANU1n,https://api.spotify.com/v1/tracks/5kK1Iru9ogP3Iy1zsANU1n,342400.0
3,Mariah Carey,42,"{'neg': 0.109, 'neu': 0.628, 'pos': 0.263, 'compound': 0.9943000000000001}","['pop', 'hip-hop/rnb']",0.9,1994,5,311.4,16,4.4,Hero,26,99.23,263,0.109,0.628,0.263,0.9943000000000001,pop,0.501,0.378,-9.37,0.0,0.119,4FCb4CUbFCMNRkI6lYc1zI,https://api.spotify.com/v1/tracks/4FCb4CUbFCMNRkI6lYc1zI,257733.0
4,Lisa Loeb,33,"{'neg': 0.134, 'neu': 0.757, 'pos': 0.109, 'compound': -0.8814000000000001}",[],1.7000000000000002,1994,6,325.8,23,5.2,Stay,11,97.2,283,0.134,0.757,0.109,-0.8814000000000001,none,0.612,0.591,-7.02,0.0,0.111,00U1MDChdOTxWwtKoOoBXE,https://api.spotify.com/v1/tracks/00U1MDChdOTxWwtKoOoBXE,184333.0
5,Toni Braxton,41,"{'neg': 0.085, 'neu': 0.752, 'pos': 0.162, 'compound': 0.9418000000000001}",['pop'],0.9,1994,7,324.9,21,4.4,Breathe Again,13,99.23,281,0.085,0.752,0.162,0.9418000000000001,pop,0.689,0.677,-6.36,0.0,0.0877,1xFliXOpcu7E89AsDAZ7JV,https://api.spotify.com/v1/tracks/1xFliXOpcu7E89AsDAZ7JV,269173.0
6,"Bryan Adams, Rod Stewart and Sting",51,"{'neg': 0.026000000000000002, 'neu': 0.859, 'pos': 0.115, 'compound': 0.9876}","['pop', 'rock']",-0.30000000000000004,1994,8,384.3,10,4.4,All For Love,13,107.69,338,0.026000000000000002,0.859,0.115,0.9876,pop,,,,,,,,
7,Ace Of Base,40,"{'neg': 0.02, 'neu': 0.9420000000000001, 'pos': 0.037, 'compound': 0.6369}","['electronic/dance', 'pop']",2.1,1994,9,306.0,16,4.4,All That She Wants,34,90.77,244,0.02,0.9420000000000001,0.037,0.6369,electronic/dance,0.798,0.625,-9.689,7.98e-05,0.103,6kWJvPfC4DgUpRsXKNa9z9,https://api.spotify.com/v1/tracks/6kWJvPfC4DgUpRsXKNa9z9,211213.0
8,Ace Of Base,57,"{'neg': 0.074, 'neu': 0.781, 'pos': 0.145, 'compound': 0.9767}","['electronic/dance', 'pop']",0.5,1994,10,393.3,20,4.0,Don't Turn Around,48,100.24,326,0.074,0.781,0.145,0.9767,electronic/dance,,,,,,,,
9,R. Kelly,40,"{'neg': 0.17200000000000001, 'neu': 0.712, 'pos': 0.116, 'compound': -0.729}","['hip-hop/rnb', 'pop', 'hip-hop/rnb', 'soul']",1.7000000000000002,1994,11,387.0,24,5.2,Bump N' Grind,16,97.2,336,0.17200000000000001,0.712,0.116,-0.729,hip-hop/rnb,0.621,0.481,-8.016,0.0,0.241,0DBIL8arX0Zo6eAuxNIpik,https://api.spotify.com/v1/tracks/0DBIL8arX0Zo6eAuxNIpik,256133.0
10,Janet Jackson,40,"{'neg': 0.157, 'neu': 0.762, 'pos': 0.081, 'compound': -0.9502}","['electronic/dance', 'pop']",0.5,1994,12,267.3,17,4.0,Again,13,100.24,222,0.157,0.762,0.081,-0.9502,electronic/dance,0.873,0.591,-8.942,0.0071,0.104,1GrikfH0jDejDvrxo84n4P,https://api.spotify.com/v1/tracks/1GrikfH0jDejDvrxo84n4P,301200.0
11,Madonna,3,"{'neg': 0.07, 'neu': 0.85, 'pos': 0.079, 'compound': 0.0772}","['electronic/dance', 'electronic/dance', 'pop']",6.0,1994,13,46.8,9,6.0,I'll Remember,0,69.79,32,0.07,0.85,0.079,0.0772,electronic/dance,,,,,,,,
12,Salt-N-Pepa,83,"{'neg': 0.037, 'neu': 0.768, 'pos': 0.195, 'compound': 0.9986}",[],0.5,1994,14,803.7,54,5.2,Whatta Man,37,105.66,711,0.037,0.768,0.195,0.9986,none,0.757,0.544,-10.722,6.07e-05,0.226,7sJN693sYKEIEMu7fc5VnJ,https://api.spotify.com/v1/tracks/7sJN693sYKEIEMu7fc5VnJ,308360.0
13,John Mellencamp,36,"{'neg': 0.039, 'neu': 0.911, 'pos': 0.05, 'compound': 0.38180000000000003}","['pop', 'rock']",0.9,1994,15,261.9,13,4.4,Wild Night,21,99.23,223,0.039,0.911,0.05,0.38180000000000003,pop,0.665,0.888,-4.433,0.00147,0.104,6opIwpImZYdxNgG4wpDxED,https://api.spotify.com/v1/tracks/6opIwpImZYdxNgG4wpDxED,207507.0
14,Toni Braxton,56,"{'neg': 0.027, 'neu': 0.8170000000000001, 'pos': 0.156, 'compound': 0.9961000000000001}",['pop'],1.7000000000000002,1994,17,618.3,40,5.2,You Mean The World To Me,12,97.2,498,0.027,0.8170000000000001,0.156,0.9961000000000001,pop,0.595,0.736,-6.648,9.28e-06,0.104,1d0GYRpnCb0XNQcQdKhfKL,https://api.spotify.com/v1/tracks/1d0GYRpnCb0XNQcQdKhfKL,296400.0
15,Elton John,34,"{'neg': 0.012, 'neu': 0.8140000000000001, 'pos': 0.17500000000000002, 'compound': 0.9889}","['pop', 'rock']",1.7000000000000002,1994,18,228.6,23,4.0,Can You Feel The Love Tonight,13,91.78,181,0.012,0.8140000000000001,0.17500000000000002,0.9889,pop,0.297,0.364,-9.261,0.000761,0.0976,67HKtdqchK0rmODxsBeWT8,https://api.spotify.com/v1/tracks/67HKtdqchK0rmODxsBeWT8,240000.0
16,Coolio,68,"{'neg': 0.089, 'neu': 0.781, 'pos': 0.129, 'compound': 0.9552}",[],1.7000000000000002,1994,20,698.4,47,5.2,Fantastic Voyage,13,97.2,563,0.089,0.781,0.129,0.9552,none,0.888,0.584,-13.308,3.25e-06,0.0625,3QlTzofanSqDWywxEzGGE2,https://api.spotify.com/v1/tracks/3QlTzofanSqDWywxEzGGE2,334440.0
17,Big Mountain,34,"{'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0.9973000000000001}",[],2.1,1994,21,290.7,13,4.4,Baby I Love Your Way,19,90.77,225,0.0,0.725,0.275,0.9973000000000001,none,0.651,0.747,-7.269,0.0,0.207,1Rvl8qsKJurfFTyWLBI9ib,https://api.spotify.com/v1/tracks/1Rvl8qsKJurfFTyWLBI9ib,249520.0
18,Warren G,76,"{'neg': 0.062, 'neu': 0.858, 'pos': 0.08, 'compound': 0.8644000000000001}",[],1.3,1994,22,674.1,65,4.800000000000001,Regulate,15,98.21,583,0.062,0.858,0.08,0.8644000000000001,none,0.849,0.521,-12.999,1.65e-06,0.115,7nYvUtkQMx1v80S2FH2s9J,https://api.spotify.com/v1/tracks/7nYvUtkQMx1v80S2FH2s9J,248867.0
19,Jon Secada,51,"{'neg': 0.042, 'neu': 0.853, 'pos': 0.105, 'compound': 0.9492}",[],0.9,1994,23,411.3,21,4.4,If You Go,24,99.23,344,0.042,0.853,0.105,0.9492,none,0.631,0.813,-8.106,0.0,0.167,3b2JWlZ020qGdaDtcO7Gyy,https://api.spotify.com/v1/tracks/3b2JWlZ020qGdaDtcO7Gyy,275000.0
20,Aaliyah,52,"{'neg': 0.013000000000000001, 'neu': 0.932, 'pos': 0.056, 'compound': 0.9423}",['pop'],-0.7000000000000001,1994,24,463.5,16,5.2,Back and Forth,25,114.12,449,0.013000000000000001,0.932,0.056,0.9423,pop,0.706,0.727,-8.06,5.31e-06,0.115,45wneA2j0Z0WMnYNDO6Ad0,https://api.spotify.com/v1/tracks/45wneA2j0Z0WMnYNDO6Ad0,231093.0
21,Richard Marx,19,"{'neg': 0.091, 'neu': 0.812, 'pos': 0.097, 'compound': 0.4137}",['pop'],1.3,1994,25,166.5,15,4.800000000000001,Now And Forever,5,98.21,139,0.091,0.812,0.097,0.4137,pop,0.441,0.258,-11.227,0.0,0.106,2V2pxcEfn5zs79sE7qcewA,https://api.spotify.com/v1/tracks/2V2pxcEfn5zs79sE7qcewA,214827.0
22,Babyface,32,"{'neg': 0.056, 'neu': 0.933, 'pos': 0.011, 'compound': -0.7786000000000001}",[],-0.30000000000000004,1994,26,230.4,8,4.4,When Can I See You,20,107.69,210,0.056,0.933,0.011,-0.7786000000000001,none,0.754,0.472,-11.787,2.09e-05,0.121,2zItQNJrVrTioXTXWiI2ed,https://api.spotify.com/v1/tracks/2zItQNJrVrTioXTXWiI2ed,229600.0
23,Bryan Adams,50,"{'neg': 0.098, 'neu': 0.556, 'pos': 0.34600000000000003, 'compound': 0.9983000000000001}",['rock'],2.5,1994,27,488.7,18,4.800000000000001,Please Forgive Me,17,89.75,385,0.098,0.556,0.34600000000000003,0.9983000000000001,rock,0.587,0.456,-7.011,0.0,0.104,1HDaENkQhUMm16pjdxZvHn,https://api.spotify.com/v1/tracks/1HDaENkQhUMm16pjdxZvHn,355640.0
24,Salt-N-Pepa,82,"{'neg': 0.064, 'neu': 0.804, 'pos': 0.131, 'compound': 0.9909}",[],1.3,1994,29,767.7,74,4.800000000000001,Shoop,30,98.21,646,0.064,0.804,0.131,0.9909,none,0.939,0.675,-7.232,0.0,0.0565,0Pu71wxadDlB8fJXfjIjeJ,https://api.spotify.com/v1/tracks/0Pu71wxadDlB8fJXfjIjeJ,248573.0
25,Collective Soul,50,"{'neg': 0.0, 'neu': 0.759, 'pos': 0.241, 'compound': 0.9975}",[],-0.7000000000000001,1994,31,299.7,3,4.0,Shine,45,108.7,276,0.0,0.759,0.241,0.9975,none,0.54,0.423,-8.799,0.0884,0.152,6emdJW80SbDBMuHci8PJJn,https://api.spotify.com/v1/tracks/6emdJW80SbDBMuHci8PJJn,306040.0
26,Michael Bolton,37,"{'neg': 0.099, 'neu': 0.546, 'pos': 0.355, 'compound': 0.9989}","['pop', 'rock']",1.3,1994,32,324.9,9,4.800000000000001,Said I Loved You...But I Lied,20,98.21,275,0.099,0.546,0.355,0.9989,pop,0.547,0.569,-8.644,7.05e-06,0.156,2nfMrwg3aRhSAv4HX7IzJL,https://api.spotify.com/v1/tracks/2nfMrwg3aRhSAv4HX7IzJL,304867.0
27,Enigma,17,"{'neg': 0.088, 'neu': 0.645, 'pos': 0.267, 'compound': 0.963}",['electronic/dance'],1.7000000000000002,1994,33,126.0,7,4.0,Return To Innocence,5,91.78,99,0.088,0.645,0.267,0.963,electronic/dance,0.476,0.584,-12.357,0.0,0.274,2UKkLqST2xWpK8n1b0Xr5Z,https://api.spotify.com/v1/tracks/2UKkLqST2xWpK8n1b0Xr5Z,255467.0
