,artist,num_lines,sentiment,tags,f_k_grade,year,pos,num_syllables,difficult_words,fog_index,title,num_dupes,flesch_index,num_words,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound,genre,danceability,energy,loudness,instrumentalness,liveness,spotify_id,spotify_url,duration_ms
0,Macklemore,82,"{'neg': 0.106, 'neu': 0.8130000000000001, 'pos': 0.081, 'compound': -0.9684}",[],2.9,2013,1,867.6,102,5.2,Thrift Shop,45,88.74,692,0.106,0.8130000000000001,0.081,-0.9684,none,0.781,0.526,-6.985,0.0,0.0457,4YMqbFcDIFiCBd02PzUBcM,https://api.spotify.com/v1/tracks/4YMqbFcDIFiCBd02PzUBcM,235613.0
1,Robin Thicke,118,"{'neg': 0.085, 'neu': 0.788, 'pos': 0.127, 'compound': 0.8678}",['soul'],0.9,2013,2,859.5,42,4.4,Blurred Lines,54,99.23,744,0.085,0.788,0.127,0.8678,soul,0.853,0.599,-4.756,7.93e-06,0.0759,0n4bITAu0Y0nigrz3MFJMb,https://api.spotify.com/v1/tracks/0n4bITAu0Y0nigrz3MFJMb,263827.0
2,Imagine Dragons,32,"{'neg': 0.027, 'neu': 0.867, 'pos': 0.105, 'compound': 0.9495}",[],2.5,2013,3,301.5,21,4.800000000000001,Radioactive,26,89.75,227,0.027,0.867,0.105,0.9495,none,0.448,0.784,-3.686,0.000108,0.668,4G8gkOterJn0Ywt6uhqbhp,https://api.spotify.com/v1/tracks/4G8gkOterJn0Ywt6uhqbhp,186813.0
3,Baauer,7,"{'neg': 0.41500000000000004, 'neu': 0.585, 'pos': 0.0, 'compound': -0.875}",['electronic/dance'],1.3,2013,4,45.9,2,3.6,Harlem Shake,1,92.8,34,0.41500000000000004,0.585,0.0,-0.875,electronic/dance,0.452,0.794,-5.151,0.00182,0.416,01XFgRZfZI7oBagNf1Loml,https://api.spotify.com/v1/tracks/01XFgRZfZI7oBagNf1Loml,196664.0
4,Macklemore,80,"{'neg': 0.07, 'neu': 0.8270000000000001, 'pos': 0.10400000000000001, 'compound': 0.9758}",[],1.7000000000000002,2013,5,759.6,60,5.2,Can't Hold Us,44,97.2,657,0.07,0.8270000000000001,0.10400000000000001,0.9758,none,,,,,,,,
5,Justin Timberlake,93,"{'neg': 0.034, 'neu': 0.787, 'pos': 0.179, 'compound': 0.9988}","['disco', 'pop']",0.9,2013,6,799.2,36,4.4,Mirrors,51,99.23,647,0.034,0.787,0.179,0.9988,disco,0.574,0.512,-6.664,0.0,0.0946,4rHZZAmHpZrA3iH5zx8frV,https://api.spotify.com/v1/tracks/4rHZZAmHpZrA3iH5zx8frV,484147.0
6,Bruno Mars,29,"{'neg': 0.094, 'neu': 0.713, 'pos': 0.193, 'compound': 0.9871000000000001}",['pop'],2.5,2013,8,351.0,15,6.0,When I Was Your Man,8,95.17,301,0.094,0.713,0.193,0.9871000000000001,pop,0.612,0.28,-8.648,0.0,0.088,0nJW01T7XtvILxQgC5J7Wh,https://api.spotify.com/v1/tracks/0nJW01T7XtvILxQgC5J7Wh,213827.0
7,Florida Georgia Line,50,"{'neg': 0.07200000000000001, 'neu': 0.848, 'pos': 0.079, 'compound': -0.0}",[],0.5,2013,9,465.3,29,5.2,Cruise,33,105.66,413,0.07200000000000001,0.848,0.079,-0.0,none,0.457,0.948,-3.364,0.0,0.0536,0i5el041vd6nxrGEU8QRxy,https://api.spotify.com/v1/tracks/0i5el041vd6nxrGEU8QRxy,208960.0
8,Katy Perry,56,"{'neg': 0.047, 'neu': 0.776, 'pos': 0.177, 'compound': 0.9945}",['pop'],0.9,2013,10,405.0,24,4.4,Roar,54,99.23,347,0.047,0.776,0.177,0.9945,pop,0.554,0.772,-4.821,6.6e-06,0.354,6F5c58TMEs1byxUstkzVeM,https://api.spotify.com/v1/tracks/6F5c58TMEs1byxUstkzVeM,223546.0
9,Bruno Mars,57,"{'neg': 0.0, 'neu': 0.581, 'pos': 0.419, 'compound': 0.9993000000000001}",['pop'],0.5,2013,11,357.3,13,4.0,Locked Out Of Heaven,50,100.24,306,0.0,0.581,0.419,0.9993000000000001,pop,0.726,0.698,-4.165,0.0,0.309,3w3y8KPTfNeOKPiqUTakBh,https://api.spotify.com/v1/tracks/3w3y8KPTfNeOKPiqUTakBh,233478.0
10,Lumineers,26,"{'neg': 0.024, 'neu': 0.838, 'pos': 0.137, 'compound': 0.9815}",[],1.7000000000000002,2013,12,250.2,10,5.2,Ho Hey,29,97.2,217,0.024,0.838,0.137,0.9815,none,0.685,0.466,-9.074,2.06e-06,0.0915,0W4Kpfp1w2xkY3PrV714B7,https://api.spotify.com/v1/tracks/0W4Kpfp1w2xkY3PrV714B7,163133.0
11,Rihanna,33,"{'neg': 0.014, 'neu': 0.905, 'pos': 0.08, 'compound': 0.9049}","['electronic/dance', 'pop', 'reggae', 'hip-hop/rnb']",1.3,2013,13,320.4,18,4.800000000000001,Stay,22,98.21,262,0.014,0.905,0.08,0.9049,electronic/dance,0.621,0.31,-10.164,6.12e-05,0.117,1dEy9Pl81QopSxNsPxXQxv,https://api.spotify.com/v1/tracks/1dEy9Pl81QopSxNsPxXQxv,240707.0
12,Daft Punk,84,"{'neg': 0.005, 'neu': 0.794, 'pos': 0.201, 'compound': 0.999}",['electronic/dance'],-0.30000000000000004,2013,14,649.8,15,4.4,Get Lucky,71,107.69,586,0.005,0.794,0.201,0.999,electronic/dance,0.794,0.811,-8.966,1.07e-06,0.101,2Foc5Q5nqNiosCNqttzHof,https://api.spotify.com/v1/tracks/2Foc5Q5nqNiosCNqttzHof,248413.0
13,Lorde,54,"{'neg': 0.059000000000000004, 'neu': 0.8280000000000001, 'pos': 0.113, 'compound': 0.9725}",['pop'],0.9,2013,15,463.5,30,4.4,Royals,37,99.23,375,0.059000000000000004,0.8280000000000001,0.113,0.9725,pop,0.674,0.428,-9.504,0.0,0.132,2dLLR6qlu5UJ5gk0dKz0h3,https://api.spotify.com/v1/tracks/2dLLR6qlu5UJ5gk0dKz0h3,190185.0
14,Taylor Swift,52,"{'neg': 0.321, 'neu': 0.663, 'pos': 0.016, 'compound': -0.9991000000000001}","['country', 'pop']",1.3,2013,16,458.1,25,4.800000000000001,I Knew You Were Trouble,33,98.21,392,0.321,0.663,0.016,-0.9991000000000001,country,0.622,0.469,-6.798,2.25e-06,0.0398,72jCZdH0Lhg93z6Z4hBjgj,https://api.spotify.com/v1/tracks/72jCZdH0Lhg93z6Z4hBjgj,217973.0
15,Miley Cyrus,68,"{'neg': 0.049, 'neu': 0.687, 'pos': 0.264, 'compound': 0.9988}","['pop', 'rock']",0.5,2013,17,625.5,25,5.2,We Can't Stop,44,105.66,567,0.049,0.687,0.264,0.9988,pop,0.613,0.622,-5.794,0.0,0.37,2y4lAQpi5VTNLu2ldeTdUH,https://api.spotify.com/v1/tracks/2y4lAQpi5VTNLu2ldeTdUH,231240.0
16,Miley Cyrus,49,"{'neg': 0.124, 'neu': 0.709, 'pos': 0.167, 'compound': 0.9042}","['pop', 'rock']",-0.30000000000000004,2013,18,372.6,15,4.4,Wrecking Ball,36,107.69,335,0.124,0.709,0.167,0.9042,pop,0.53,0.422,-6.262,0.0,0.107,2vwlzO0Qp8kfEtzTsCXfyE,https://api.spotify.com/v1/tracks/2vwlzO0Qp8kfEtzTsCXfyE,221360.0
17,Avicii,36,"{'neg': 0.02, 'neu': 0.796, 'pos': 0.184, 'compound': 0.9851000000000001}",[],-0.30000000000000004,2013,19,278.1,14,4.4,Wake Me Up!,20,107.69,249,0.02,0.796,0.184,0.9851000000000001,none,0.532,0.783,-5.697,0.0012,0.161,4h8VwCb1MTGoLKueQ1WgbD,https://api.spotify.com/v1/tracks/4h8VwCb1MTGoLKueQ1WgbD,247427.0
18,Anna Kendrick,19,"{'neg': 0.084, 'neu': 0.804, 'pos': 0.111, 'compound': 0.8442000000000001}",['religious'],1.3,2013,21,167.4,9,4.800000000000001,Cups,7,98.21,137,0.084,0.804,0.111,0.8442000000000001,religious,0.878,0.455,-8.845,0.00484,0.0353,6mH3qVIeOsnQIAho5eWwhH,https://api.spotify.com/v1/tracks/6mH3qVIeOsnQIAho5eWwhH,128013.0
19,Jay Z,95,"{'neg': 0.156, 'neu': 0.712, 'pos': 0.132, 'compound': -0.9697}","['hip-hop/rnb', 'religious']",1.3,2013,22,837.0,70,4.800000000000001,Holy Grail,49,98.21,701,0.156,0.712,0.132,-0.9697,hip-hop/rnb,0.675,0.534,-6.901,8.59e-06,0.256,37jTPJgwCCmIGMPB45jrPV,https://api.spotify.com/v1/tracks/37jTPJgwCCmIGMPB45jrPV,338413.0
20,Zedd,42,"{'neg': 0.218, 'neu': 0.6910000000000001, 'pos': 0.09, 'compound': -0.989}",[],1.7000000000000002,2013,24,313.2,16,4.0,Clarity,29,91.78,242,0.218,0.6910000000000001,0.09,-0.989,none,0.509,0.781,-3.48,0.0,0.0749,60wwxj6Dd9NJlirf84wr2c,https://api.spotify.com/v1/tracks/60wwxj6Dd9NJlirf84wr2c,271427.0
21,AWOLNATION,19,"{'neg': 0.155, 'neu': 0.768, 'pos': 0.077, 'compound': -0.8967}",[],0.1,2013,25,145.8,5,4.800000000000001,Sail,33,106.67,133,0.155,0.768,0.077,-0.8967,none,0.825,0.435,-9.582,0.609,0.0953,5xhQChGGhKLWqBqX4XhtYE,https://api.spotify.com/v1/tracks/5xhQChGGhKLWqBqX4XhtYE,259102.0
22,Swedish House Mafia,29,"{'neg': 0.029, 'neu': 0.757, 'pos': 0.214, 'compound': 0.9906}",[],0.5,2013,26,276.3,10,5.2,Don't You Worry Child,30,105.66,242,0.029,0.757,0.214,0.9906,none,,,,,,,,
23,Rihanna,62,"{'neg': 0.0, 'neu': 0.41500000000000004, 'pos': 0.585, 'compound': 0.9998}","['electronic/dance', 'pop', 'reggae', 'hip-hop/rnb']",2.1,2013,27,504.9,15,4.4,Diamonds,55,90.77,374,0.0,0.41500000000000004,0.585,0.9998,electronic/dance,0.564,0.71,-4.92,0.0,0.109,1z9kQ14XBSN0r2v6fx4IdG,https://api.spotify.com/v1/tracks/1z9kQ14XBSN0r2v6fx4IdG,225147.0
24,Icona Pop,39,"{'neg': 0.40900000000000003, 'neu': 0.556, 'pos': 0.035, 'compound': -0.9993000000000001}",['electronic/dance'],1.3,2013,28,356.4,8,4.800000000000001,I Love It,31,98.21,303,0.40900000000000003,0.556,0.035,-0.9993000000000001,electronic/dance,0.711,0.906,-2.671,1.64e-05,0.153,6HZ9VeI5IRFCNQLXhpF4bq,https://api.spotify.com/v1/tracks/6HZ9VeI5IRFCNQLXhpF4bq,157153.0
25,Bruno Mars,32,"{'neg': 0.0, 'neu': 0.676, 'pos': 0.324, 'compound': 0.9987}",['pop'],2.9,2013,30,363.6,20,5.2,Treasure,23,88.74,285,0.0,0.676,0.324,0.9987,pop,0.874,0.692,-5.28,7.24e-05,0.324,55h7vJchibLdUkxdlX3fK7,https://api.spotify.com/v1/tracks/55h7vJchibLdUkxdlX3fK7,178560.0
26,Ariana Grande,86,"{'neg': 0.039, 'neu': 0.639, 'pos': 0.322, 'compound': 0.9998}",['pop'],1.7000000000000002,2013,31,820.8,45,5.2,The Way,40,97.2,710,0.039,0.639,0.322,0.9998,pop,0.645,0.877,-3.208,0.0,0.0759,06EL94D0TA27Ik0Ke5usbj,https://api.spotify.com/v1/tracks/06EL94D0TA27Ik0Ke5usbj,227027.0
27,Maroon 5,42,"{'neg': 0.013000000000000001, 'neu': 0.926, 'pos': 0.061, 'compound': 0.9522}","['electronic/dance', 'pop', 'rock']",1.3,2013,35,375.3,23,4.800000000000001,Daylight,36,98.21,314,0.013000000000000001,0.926,0.061,0.9522,electronic/dance,0.657,0.679,-5.511,0.0,0.211,6TwfdLbaxTKzQi3AgsZNzx,https://api.spotify.com/v1/tracks/6TwfdLbaxTKzQi3AgsZNzx,225307.0
28,Pitbull,50,"{'neg': 0.03, 'neu': 0.873, 'pos': 0.097, 'compound': 0.9838}",[],2.5,2013,36,504.9,48,4.800000000000001,Feel This Moment,33,89.75,396,0.03,0.873,0.097,0.9838,none,0.673,0.758,-3.632,0.0,0.341,0Hf4aIJpsN4Os2f0y0VqWl,https://api.spotify.com/v1/tracks/0Hf4aIJpsN4Os2f0y0VqWl,229507.0
29,Lady Gaga,67,"{'neg': 0.03, 'neu': 0.853, 'pos': 0.117, 'compound': 0.9884000000000001}","['electronic/dance', 'pop']",2.1,2013,37,504.0,15,4.4,Applause,64,90.77,403,0.03,0.853,0.117,0.9884000000000001,electronic/dance,0.669,0.78,-4.287,1.63e-06,0.143,5ka2ajep9OAvU5Sgduhiex,https://api.spotify.com/v1/tracks/5ka2ajep9OAvU5Sgduhiex,212333.0
30,Maroon 5,66,"{'neg': 0.123, 'neu': 0.723, 'pos': 0.154, 'compound': 0.921}","['electronic/dance', 'pop', 'rock']",0.1,2013,38,577.8,33,4.800000000000001,One More Night,35,106.67,505,0.123,0.723,0.154,0.921,electronic/dance,0.718,0.82,-3.453,0.0,0.0846,4XNrMwGx1SqP01sqkGTDmo,https://api.spotify.com/v1/tracks/4XNrMwGx1SqP01sqkGTDmo,219467.0
31,Lil Wayne,99,"{'neg': 0.28500000000000003, 'neu': 0.544, 'pos': 0.171, 'compound': -0.9985}",[],1.3,2013,39,844.2,54,4.800000000000001,Love Me,84,98.21,711,0.28500000000000003,0.544,0.171,-0.9985,none,0.674,0.608,-6.628,0.0,0.103,7tGlzXJv6GD5e5qlu5YmDg,https://api.spotify.com/v1/tracks/7tGlzXJv6GD5e5qlu5YmDg,253440.0
32,Justin Bieber,34,"{'neg': 0.017, 'neu': 0.794, 'pos': 0.189, 'compound': 0.9955}",['pop'],1.7000000000000002,2013,42,376.2,32,5.2,Beauty And A Beat,21,97.2,304,0.017,0.794,0.189,0.9955,pop,0.601,0.843,-4.87,5.27e-05,0.0681,190jyVPHYjAqEaOGmMzdyk,https://api.spotify.com/v1/tracks/190jyVPHYjAqEaOGmMzdyk,227987.0
33,Macklemore,103,"{'neg': 0.124, 'neu': 0.645, 'pos': 0.231, 'compound': 0.9981000000000001}",[],2.1,2013,43,864.9,85,4.4,Same Love,49,90.77,672,0.124,0.645,0.231,0.9981000000000001,none,0.688,0.473,-9.059,4.46e-05,0.104,01uqI4H13Gsd8Lyl1EYd8H,https://api.spotify.com/v1/tracks/01uqI4H13Gsd8Lyl1EYd8H,318525.0
34,Calvin Harris,29,"{'neg': 0.063, 'neu': 0.657, 'pos': 0.28, 'compound': 0.9951000000000001}","['electronic/dance', 'disco', 'electronic/dance']",1.3,2013,44,277.2,13,4.800000000000001,Sweet Nothing,14,98.21,225,0.063,0.657,0.28,0.9951000000000001,electronic/dance,0.573,0.929,-3.942,0.000112,0.0567,24LS4lQShWyixJ0ZrJXfJ5,https://api.spotify.com/v1/tracks/24LS4lQShWyixJ0ZrJXfJ5,212560.0
35,Lana Del Rey,48,"{'neg': 0.20800000000000002, 'neu': 0.629, 'pos': 0.163, 'compound': -0.8176}","['electronic/dance', 'pop']",4.1,2013,45,425.7,30,4.0,Summertime Sadness,38,74.86,282,0.20800000000000002,0.629,0.163,-0.8176,electronic/dance,0.572,0.81,-5.791,6.53e-06,0.13,6PUIzlqotEmPuBfjbwYWOB,https://api.spotify.com/v1/tracks/6PUIzlqotEmPuBfjbwYWOB,214912.0
36,Phillip Phillips,19,"{'neg': 0.135, 'neu': 0.754, 'pos': 0.111, 'compound': -0.772}",[],0.9,2013,46,153.9,8,4.4,Home,13,99.23,131,0.135,0.754,0.111,-0.772,none,0.606,0.826,-6.04,1.56e-05,0.117,4rsW3WCZBGwhHfJWuHRwyT,https://api.spotify.com/v1/tracks/4rsW3WCZBGwhHfJWuHRwyT,210173.0
