,artist,num_lines,sentiment,tags,f_k_grade,year,pos,num_syllables,difficult_words,fog_index,title,num_dupes,flesch_index,num_words,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound
0,Bryan Adams,36,"{'neg': 0.14100000000000001, 'neu': 0.708, 'pos': 0.151, 'compound': 0.8643000000000001}",['rock'],-0.30000000000000004,1991,1,258.3,6,4.4,(Everything I Do) I Do It For You,12,107.69,233,0.14100000000000001,0.708,0.151,0.8643000000000001
1,C+C Music Factory,57,"{'neg': 0.005, 'neu': 0.91, 'pos': 0.085, 'compound': 0.9761000000000001}",[],2.1,1991,3,465.3,22,4.4,Gonna Make You Sweat,47,90.77,345,0.005,0.91,0.085,0.9761000000000001
2,Paula Abdul,61,"{'neg': 0.004, 'neu': 0.798, 'pos': 0.198, 'compound': 0.9984000000000001}",['pop'],0.1,1991,4,504.0,14,4.800000000000001,Rush Rush,42,106.67,462,0.004,0.798,0.198,0.9984000000000001
3,EMF,52,"{'neg': 0.151, 'neu': 0.782, 'pos': 0.067, 'compound': -0.9867}",[],0.9,1991,6,434.7,27,4.4,Unbelievable,58,99.23,353,0.151,0.782,0.067,-0.9867
4,Extreme,37,"{'neg': 0.026000000000000002, 'neu': 0.8200000000000001, 'pos': 0.155, 'compound': 0.9924000000000001}",['rock'],0.9,1991,7,306.9,7,4.4,More Than Words,23,99.23,249,0.026000000000000002,0.8200000000000001,0.155,0.9924000000000001
5,Surface,29,"{'neg': 0.075, 'neu': 0.758, 'pos': 0.168, 'compound': 0.9792000000000001}",[],2.5,1991,9,274.5,17,4.800000000000001,The First Time,15,89.75,217,0.075,0.758,0.168,0.9792000000000001
6,Boyz II Men,56,"{'neg': 0.10200000000000001, 'neu': 0.8280000000000001, 'pos': 0.07, 'compound': -0.9311}","['pop', 'soul']",0.1,1991,11,478.8,27,4.800000000000001,Motownphilly,31,106.67,438,0.10200000000000001,0.8280000000000001,0.07,-0.9311
7,Stevie B,24,"{'neg': 0.066, 'neu': 0.801, 'pos': 0.133, 'compound': 0.9583}","['electronic/dance', 'pop']",1.7000000000000002,1991,12,242.1,9,5.2,Because I Love You,12,97.2,207,0.066,0.801,0.133,0.9583
8,Mariah Carey,50,"{'neg': 0.08, 'neu': 0.857, 'pos': 0.063, 'compound': -0.6633}","['pop', 'hip-hop/rnb']",3.7,1991,13,498.6,31,4.800000000000001,Someday,28,81.29,363,0.08,0.857,0.063,-0.6633
9,Whitney Houston,37,"{'neg': 0.025, 'neu': 0.8180000000000001, 'pos': 0.157, 'compound': 0.9892000000000001}",['pop'],-1.4,1991,16,252.9,2,4.4,All The Man That I Need,20,116.15,241,0.025,0.8180000000000001,0.157,0.9892000000000001
10,Jesus Jones,31,"{'neg': 0.044, 'neu': 0.8260000000000001, 'pos': 0.13, 'compound': 0.926}",[],0.9,1991,17,251.1,15,4.4,"Right Here, Right Now",22,99.23,201,0.044,0.8260000000000001,0.13,0.926
11,Janet Jackson,68,"{'neg': 0.055, 'neu': 0.8, 'pos': 0.145, 'compound': 0.9948}","['electronic/dance', 'pop']",0.9,1991,19,536.4,22,4.4,Love Will Never Do,28,99.23,436,0.055,0.8,0.145,0.9948
12,Marky Mark and The Funky Bunch,79,"{'neg': 0.033, 'neu': 0.75, 'pos': 0.217, 'compound': 0.9978}",[],0.5,1991,20,558.9,35,4.0,Good Vibrations,53,100.24,459,0.033,0.75,0.217,0.9978
13,Madonna,43,"{'neg': 0.021, 'neu': 0.643, 'pos': 0.336, 'compound': 0.998}","['electronic/dance', 'electronic/dance', 'pop']",1.7000000000000002,1991,21,279.0,27,4.0,Justify My Love,19,91.78,218,0.021,0.643,0.336,0.998
14,Mariah Carey,42,"{'neg': 0.01, 'neu': 0.756, 'pos': 0.234, 'compound': 0.9942000000000001}","['pop', 'hip-hop/rnb']",2.9,1991,22,332.1,23,4.0,Emotions,23,83.32,240,0.01,0.756,0.234,0.9942000000000001
15,Roxette,49,"{'neg': 0.076, 'neu': 0.586, 'pos': 0.338, 'compound': 0.9979}","['pop', 'rock']",0.5,1991,23,353.7,33,4.0,Joyride,22,100.24,287,0.076,0.586,0.338,0.9979
16,Mariah Carey,50,"{'neg': 0.046, 'neu': 0.8240000000000001, 'pos': 0.129, 'compound': 0.9661000000000001}","['pop', 'hip-hop/rnb']",0.9,1991,26,375.3,27,4.4,I Don't Wanna Cry,25,99.23,305,0.046,0.8240000000000001,0.129,0.9661000000000001
17,Wilson Phillips,47,"{'neg': 0.073, 'neu': 0.682, 'pos': 0.246, 'compound': 0.995}",['pop'],-0.30000000000000004,1991,27,341.1,13,4.4,You're In Love,29,107.69,298,0.073,0.682,0.246,0.995
18,Amy Grant,44,"{'neg': 0.04, 'neu': 0.734, 'pos': 0.226, 'compound': 0.9958}",[],1.7000000000000002,1991,28,320.4,21,4.0,Every Heartbeat,27,91.78,252,0.04,0.734,0.226,0.9958
19,Gloria Estefan,34,"{'neg': 0.023, 'neu': 0.771, 'pos': 0.20600000000000002, 'compound': 0.9947}","['electronic/dance', 'pop', 'rock']",1.7000000000000002,1991,34,314.1,20,5.2,Coming Out Of The Dark,16,97.2,272,0.023,0.771,0.20600000000000002,0.9947
20,Lenny Kravitz,42,"{'neg': 0.19, 'neu': 0.66, 'pos': 0.149, 'compound': -0.8226}","['rock', 'soul']",1.7000000000000002,1991,35,314.1,14,4.0,It Ain't Over 'Til It's Over,30,91.78,240,0.19,0.66,0.149,-0.8226
21,C+C Music Factory,121,"{'neg': 0.032, 'neu': 0.854, 'pos': 0.114, 'compound': 0.994}",[],0.5,1991,36,820.8,54,4.0,Here We Go,44,100.24,687,0.032,0.854,0.114,0.994
22,Celine Dion,41,"{'neg': 0.09, 'neu': 0.809, 'pos': 0.101, 'compound': 0.7829}",['pop'],2.1,1991,37,324.9,28,4.4,Where Does My Heart Beat Now,28,90.77,257,0.09,0.809,0.101,0.7829
23,Paula Abdul,69,"{'neg': 0.021, 'neu': 0.6930000000000001, 'pos': 0.28600000000000003, 'compound': 0.999}",['pop'],2.5,1991,41,644.4,17,4.800000000000001,The Promise Of A New Day,86,89.75,490,0.021,0.6930000000000001,0.28600000000000003,0.999
24,Whitney Houston,94,"{'neg': 0.028, 'neu': 0.796, 'pos': 0.17500000000000002, 'compound': 0.9966}",['pop'],1.7000000000000002,1991,42,651.6,35,4.0,I'm Your Baby Tonight,50,91.78,495,0.028,0.796,0.17500000000000002,0.9966
25,Firehouse,31,"{'neg': 0.0, 'neu': 0.663, 'pos': 0.337, 'compound': 0.9988}",[],2.9,1991,43,361.8,10,5.2,Love Of A Lifetime,13,88.74,273,0.0,0.663,0.337,0.9988
26,Roxette,39,"{'neg': 0.097, 'neu': 0.8220000000000001, 'pos': 0.081, 'compound': 0.4404}","['pop', 'rock']",1.7000000000000002,1991,44,405.9,16,5.2,Fading Like A Flower,21,97.2,335,0.097,0.8220000000000001,0.081,0.4404
27,Extreme,31,"{'neg': 0.051000000000000004, 'neu': 0.8200000000000001, 'pos': 0.128, 'compound': 0.9382}",['rock'],1.3,1991,46,262.8,16,4.800000000000001,Hole Hearted,23,98.21,218,0.051000000000000004,0.8200000000000001,0.128,0.9382
28,Wilson Phillips,34,"{'neg': 0.17, 'neu': 0.721, 'pos': 0.109, 'compound': -0.9307000000000001}",['pop'],3.3,1991,48,316.8,25,4.4,Impulsive,20,82.31,229,0.17,0.721,0.109,-0.9307000000000001
29,Michael Bolton,46,"{'neg': 0.006, 'neu': 0.59, 'pos': 0.404, 'compound': 0.9993000000000001}","['pop', 'rock']",2.1,1991,49,350.1,17,4.4,Love Is A Wonderful Thing,23,90.77,276,0.006,0.59,0.404,0.9993000000000001
30,Rod Stewart,65,"{'neg': 0.081, 'neu': 0.786, 'pos': 0.133, 'compound': 0.9738}","['pop', 'rock']",0.5,1991,50,417.6,32,4.0,Rhythm Of My Heart,38,100.24,340,0.081,0.786,0.133,0.9738
31,Divinyls,52,"{'neg': 0.11, 'neu': 0.72, 'pos': 0.17, 'compound': 0.8481000000000001}",[],0.9,1991,52,380.7,9,4.4,I Touch Myself,40,99.23,315,0.11,0.72,0.17,0.8481000000000001
32,Bonnie Raitt,33,"{'neg': 0.076, 'neu': 0.758, 'pos': 0.166, 'compound': 0.9812000000000001}","['folk', 'rock']",2.1,1991,55,289.8,24,4.4,Something To Talk About,13,90.77,216,0.076,0.758,0.166,0.9812000000000001
33,Nelson,65,"{'neg': 0.11800000000000001, 'neu': 0.768, 'pos': 0.115, 'compound': 0.2202}",[],0.1,1991,56,339.3,16,3.6,After The Rain,43,101.26,286,0.11800000000000001,0.768,0.115,0.2202
34,Vanilla Ice,88,"{'neg': 0.11, 'neu': 0.713, 'pos': 0.177, 'compound': 0.9964000000000001}",[],1.3,1991,57,841.5,79,4.800000000000001,Play That Funky Music,20,98.21,678,0.11,0.713,0.177,0.9964000000000001
