,artist,num_lines,sentiment,tags,f_k_grade,year,pos,num_syllables,difficult_words,fog_index,title,num_dupes,flesch_index,num_words,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound,genre,danceability,energy,loudness,instrumentalness,liveness,spotify_id,spotify_url,duration_ms
0,Four Tops,40,"{'neg': 0.10200000000000001, 'neu': 0.749, 'pos': 0.149, 'compound': 0.9586}",['soul'],0.9,1965,2,332.1,19,4.4,I Can't Help Myself,18,99.23,277,0.10200000000000001,0.749,0.149,0.9586,soul,0.667,0.599,-8.894,0.0,0.107,6b6IMqP565TbtFFZg9iFf3,https://api.spotify.com/v1/tracks/6b6IMqP565TbtFFZg9iFf3,160280.0
1,Rolling Stones,37,"{'neg': 0.126, 'neu': 0.667, 'pos': 0.20800000000000002, 'compound': 0.8763000000000001}","['blues', 'country', 'reggae', 'hip-hop/rnb', 'rock']",0.1,1965,3,296.1,18,4.800000000000001,(I Can't Get No) Satisfaction,22,106.67,260,0.126,0.667,0.20800000000000002,0.8763000000000001,blues,0.723,0.863,-7.89,0.0317,0.128,2PzU4IB8Dr6mxV3lHuaG34,https://api.spotify.com/v1/tracks/2PzU4IB8Dr6mxV3lHuaG34,222813.0
2,Petula Clark,34,"{'neg': 0.107, 'neu': 0.707, 'pos': 0.186, 'compound': 0.9803000000000001}",[],2.5,1965,6,340.2,33,4.800000000000001,Downtown,17,89.75,253,0.107,0.707,0.186,0.9803000000000001,none,0.48,0.689,-7.921,0.0,0.149,0ZQ6ckgerHYM5mOUxTl99Q,https://api.spotify.com/v1/tracks/0ZQ6ckgerHYM5mOUxTl99Q,187760.0
3,Beatles,46,"{'neg': 0.1, 'neu': 0.776, 'pos': 0.124, 'compound': 0.8304}","['pop', 'rock']",0.5,1965,7,327.6,20,4.0,Help!,27,100.24,269,0.1,0.776,0.124,0.8304,pop,0.534,0.725,-7.576,0.0,0.0994,7DD7eSuYSC5xk2ArU62esN,https://api.spotify.com/v1/tracks/7DD7eSuYSC5xk2ArU62esN,139560.0
4,Herman's Hermits,30,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.9897}",[],1.3,1965,8,262.8,16,4.800000000000001,Can't You Hear My Heartbeat,21,98.21,212,0.0,0.838,0.162,0.9897,none,,,,,,,,
5,Elvis Presley,32,"{'neg': 0.058, 'neu': 0.668, 'pos': 0.274, 'compound': 0.9944000000000001}","['blues', 'country', 'pop', 'rock']",0.9,1965,9,231.3,15,4.4,Crying In The Chapel,7,99.23,201,0.058,0.668,0.274,0.9944000000000001,blues,0.404,0.246,-13.812,3e-05,0.297,1Vzr9AOdHw65UHoK1Vuxls,https://api.spotify.com/v1/tracks/1Vzr9AOdHw65UHoK1Vuxls,143267.0
6,Temptations,31,"{'neg': 0.012, 'neu': 0.867, 'pos': 0.121, 'compound': 0.9547}","['hip-hop/rnb', 'soul']",-0.7000000000000001,1965,10,186.3,12,4.0,My Girl,17,108.7,172,0.012,0.867,0.121,0.9547,hip-hop/rnb,0.572,0.418,-10.738,0.0,0.0961,745H5CctFr12Mo7cqa1BMH,https://api.spotify.com/v1/tracks/745H5CctFr12Mo7cqa1BMH,165000.0
7,Beach Boys,43,"{'neg': 0.007, 'neu': 0.496, 'pos': 0.497, 'compound': 0.9996}","['pop', 'rock']",-0.30000000000000004,1965,11,333.0,9,4.4,"Help Me, Rhonda",34,107.69,298,0.007,0.496,0.497,0.9996,pop,0.544,0.748,-6.243,0.000716,0.0633,3haZcHm3HydDVxm3je3Zmg,https://api.spotify.com/v1/tracks/3haZcHm3HydDVxm3je3Zmg,168240.0
8,Roger Miller,22,"{'neg': 0.194, 'neu': 0.799, 'pos': 0.007, 'compound': -0.9885}",[],2.1,1965,12,238.5,14,5.6,King Of The Road,11,96.18,205,0.194,0.799,0.007,-0.9885,none,0.67,0.272,-13.699,0.0,0.178,3XG7bMVcMWLIn2k9jLAaAt,https://api.spotify.com/v1/tracks/3XG7bMVcMWLIn2k9jLAaAt,147307.0
9,Jr. Walker and The All Stars,29,"{'neg': 0.2, 'neu': 0.786, 'pos': 0.014, 'compound': -0.9817}",[],-0.7000000000000001,1965,15,179.1,7,4.0,Shotgun,20,108.7,158,0.2,0.786,0.014,-0.9817,none,0.751,0.683,-5.771,7.85e-06,0.0611,6VzM9C7CXyn1BQdgTJVqDx,https://api.spotify.com/v1/tracks/6VzM9C7CXyn1BQdgTJVqDx,176627.0
