,artist,num_lines,sentiment,tags,f_k_grade,year,pos,num_syllables,difficult_words,fog_index,title,num_dupes,flesch_index,num_words,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound
38,Ray Stevens,55,"{'neg': 0.011, 'neu': 0.895, 'pos': 0.093, 'compound': 0.9763000000000001}","['country', 'pop']",0.5,1969,61,383.4,48,4.0,Gitarzan,24,100.24,311,0.011,0.895,0.093,0.9763000000000001
39,Dionne Warwick,22,"{'neg': 0.0, 'neu': 0.6980000000000001, 'pos': 0.302, 'compound': 0.9912000000000001}","['pop', 'hip-hop/rnb', 'rock', 'soul']",-1.8,1969,64,121.5,2,4.0,This Girl's In Love With You,2,117.16,116,0.0,0.6980000000000001,0.302,0.9912000000000001
40,James Brown,36,"{'neg': 0.037, 'neu': 0.801, 'pos': 0.162, 'compound': 0.9766}","['hip-hop/rnb', 'soul']",2.1,1969,68,286.2,28,4.4,Mother Popcorn,2,90.77,220,0.037,0.801,0.162,0.9766
41,Edwin Starr,51,"{'neg': 0.097, 'neu': 0.812, 'pos': 0.091, 'compound': -0.7003}",[],-0.7000000000000001,1969,69,333.9,20,4.0,Twenty-five Miles,17,108.7,300,0.097,0.812,0.091,-0.7003
42,Marvin Gaye,42,"{'neg': 0.058, 'neu': 0.649, 'pos': 0.293, 'compound': 0.999}","['pop', 'hip-hop/rnb', 'soul']",1.7000000000000002,1969,72,428.4,25,5.2,That's The Way Love Is,12,97.2,359,0.058,0.649,0.293,0.999
43,Tony Joe White,44,"{'neg': 0.115, 'neu': 0.842, 'pos': 0.042, 'compound': -0.9618000000000001}",['country'],2.1,1969,77,363.6,32,4.4,Polk Salad Annie,9,90.77,289,0.115,0.842,0.042,-0.9618000000000001
44,Kenny Rogers,17,"{'neg': 0.134, 'neu': 0.812, 'pos': 0.055, 'compound': -0.9379000000000001}","['country', 'pop']",2.5,1969,78,215.1,21,6.0,"Ruby, Don't Take Your Love To Town",7,95.17,181,0.134,0.812,0.055,-0.9379000000000001
45,Joe South,55,"{'neg': 0.081, 'neu': 0.8210000000000001, 'pos': 0.098, 'compound': 0.4046}",[],0.9,1969,79,426.6,27,4.4,Games People Play,35,99.23,357,0.081,0.8210000000000001,0.098,0.4046
46,Beatles,19,"{'neg': 0.061, 'neu': 0.765, 'pos': 0.17400000000000002, 'compound': 0.9421}","['pop', 'rock']",0.9,1969,83,146.7,8,4.4,Something,7,99.23,127,0.061,0.765,0.17400000000000002,0.9421
47,Beatles,41,"{'neg': 0.23800000000000002, 'neu': 0.658, 'pos': 0.10400000000000001, 'compound': -0.9775}","['pop', 'rock']",1.7000000000000002,1969,85,299.7,29,4.0,Come Together,36,91.78,234,0.23800000000000002,0.658,0.10400000000000001,-0.9775
48,Diana Ross,43,"{'neg': 0.026000000000000002, 'neu': 0.6990000000000001, 'pos': 0.275, 'compound': 0.9983000000000001}","['disco', 'jazz', 'pop', 'hip-hop/rnb', 'soul']",1.3,1969,87,387.0,17,4.800000000000001,I'm Gonna Make You Love Me,15,98.21,319,0.026000000000000002,0.6990000000000001,0.275,0.9983000000000001
49,Marvin Gaye,52,"{'neg': 0.035, 'neu': 0.835, 'pos': 0.13, 'compound': 0.9832000000000001}","['pop', 'hip-hop/rnb', 'soul']",0.9,1969,88,405.9,22,4.4,I Heard It Through The Grapevine,28,99.23,337,0.035,0.835,0.13,0.9832000000000001
50,Tom Jones,29,"{'neg': 0.17, 'neu': 0.5740000000000001, 'pos': 0.256, 'compound': 0.9867}",[],1.7000000000000002,1969,94,290.7,24,5.2,Love Me Tonight,18,97.2,240,0.17,0.5740000000000001,0.256,0.9867
51,David Ruffin,50,"{'neg': 0.084, 'neu': 0.8140000000000001, 'pos': 0.10300000000000001, 'compound': 0.7142000000000001}","['disco', 'pop', 'hip-hop/rnb', 'soul']",0.5,1969,97,361.8,27,4.0,My Whole World Ended,15,100.24,291,0.084,0.8140000000000001,0.10300000000000001,0.7142000000000001
52,Box Tops,35,"{'neg': 0.03, 'neu': 0.71, 'pos': 0.259, 'compound': 0.9965}",[],0.9,1969,98,282.6,9,4.4,Soul Deep,20,99.23,240,0.03,0.71,0.259,0.9965
53,B.J. Thomas,27,"{'neg': 0.041, 'neu': 0.733, 'pos': 0.226, 'compound': 0.9867}","['country', 'pop', 'rock']",0.5,1969,99,183.6,11,4.0,Hooked On A Feeling,16,100.24,157,0.041,0.733,0.226,0.9867
