,artist,num_lines,sentiment,tags,f_k_grade,year,pos,num_syllables,difficult_words,fog_index,title,num_dupes,flesch_index,num_words,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound,genre,danceability,energy,loudness,instrumentalness,liveness,spotify_id,spotify_url,duration_ms
0,Rod Stewart,28,"{'neg': 0.054, 'neu': 0.716, 'pos': 0.23, 'compound': 0.9816}","['pop', 'rock']",1.7000000000000002,1977,1,196.2,18,4.0,Tonight's The Night,12,91.78,156,0.054,0.716,0.23,0.9816,pop,0.55,0.514,-12.617,0.125,0.382,10LRRKPmx8uHcSxLVWK0ct,https://api.spotify.com/v1/tracks/10LRRKPmx8uHcSxLVWK0ct,237120.0
1,Andy Gibb,42,"{'neg': 0.032, 'neu': 0.748, 'pos': 0.22, 'compound': 0.9964000000000001}",[],1.3,1977,2,377.1,12,4.800000000000001,I Just Want To Be Your Everything,27,98.21,325,0.032,0.748,0.22,0.9964000000000001,none,0.651,0.648,-7.44,1.7e-05,0.192,5EdlwzcgIAYs2HGvOnczPN,https://api.spotify.com/v1/tracks/5EdlwzcgIAYs2HGvOnczPN,225667.0
2,Thelma Houston,38,"{'neg': 0.068, 'neu': 0.649, 'pos': 0.28200000000000003, 'compound': 0.9967}","['disco', 'soul']",1.3,1977,7,345.6,16,4.800000000000001,Don't Leave Me This Way,20,98.21,294,0.068,0.649,0.28200000000000003,0.9967,disco,0.711,0.833,-7.092,0.0,0.101,0M4IiNtcu6Ed0F1rY1Imzp,https://api.spotify.com/v1/tracks/0M4IiNtcu6Ed0F1rY1Imzp,250880.0
3,Rita Coolidge,26,"{'neg': 0.033, 'neu': 0.773, 'pos': 0.194, 'compound': 0.9864}","['country', 'pop']",3.3,1977,8,235.8,14,4.4,(Your Love Has Lifted Me) Higher And Higher,18,82.31,172,0.033,0.773,0.194,0.9864,country,0.656,0.646,-9.169,0.00464,0.16,39iKJpLPhsDTOzH2lXliWF,https://api.spotify.com/v1/tracks/39iKJpLPhsDTOzH2lXliWF,241720.0
4,K.C. and The Sunshine Band,56,"{'neg': 0.0, 'neu': 0.859, 'pos': 0.14100000000000001, 'compound': 0.9872000000000001}","['disco', 'pop']",-0.30000000000000004,1977,11,427.5,14,4.4,I'm Your Boogie Man,40,107.69,385,0.0,0.859,0.14100000000000001,0.9872000000000001,disco,,,,,,,,
5,ABBA,33,"{'neg': 0.023, 'neu': 0.894, 'pos': 0.082, 'compound': 0.9062}","['disco', 'pop']",0.9,1977,12,266.4,12,4.4,Dancing Queen,23,99.23,218,0.023,0.894,0.082,0.9062,disco,0.539,0.884,-6.53,0.00166,0.76,4NtUY5IGzHCaqfZemmAu56,https://api.spotify.com/v1/tracks/4NtUY5IGzHCaqfZemmAu56,230693.0
6,Leo Sayer,58,"{'neg': 0.017, 'neu': 0.783, 'pos': 0.2, 'compound': 0.9958}",[],2.1,1977,13,455.4,23,4.4,You Make Me Feel Like Dancing,36,90.77,359,0.017,0.783,0.2,0.9958,none,0.728,0.718,-5.281,0.0,0.0579,6gTrbqZnyljwXdYQTyBkSx,https://api.spotify.com/v1/tracks/6gTrbqZnyljwXdYQTyBkSx,219467.0
7,Jimmy Buffett,32,"{'neg': 0.2, 'neu': 0.725, 'pos': 0.075, 'compound': -0.981}","['country', 'pop', 'rock']",2.1,1977,14,264.6,23,4.4,Margaritaville,10,90.77,206,0.2,0.725,0.075,-0.981,country,0.8,0.545,-13.637,0.00191,0.104,4EEjMyQub6tgFVshlM9j1M,https://api.spotify.com/v1/tracks/4EEjMyQub6tgFVshlM9j1M,250933.0
8,Electric Light Orchestra,50,"{'neg': 0.054, 'neu': 0.8140000000000001, 'pos': 0.132, 'compound': 0.9583}","['electronic/dance', 'pop', 'rock']",1.7000000000000002,1977,15,347.4,23,4.0,Telephone Line,32,91.78,258,0.054,0.8140000000000001,0.132,0.9583,electronic/dance,0.467,0.367,-8.164,2.27e-05,0.0847,3SPcBPzvbmWLl8NU5efx4W,https://api.spotify.com/v1/tracks/3SPcBPzvbmWLl8NU5efx4W,280360.0
9,Stevie Wonder,40,"{'neg': 0.025, 'neu': 0.9550000000000001, 'pos': 0.019, 'compound': -0.1426}","['pop', 'soul']",0.9,1977,18,324.0,19,4.4,Sir Duke,21,99.23,271,0.025,0.9550000000000001,0.019,-0.1426,pop,0.588,0.568,-9.766,0.0,0.0792,4pNiE4LCVV74vfIBaUHm1b,https://api.spotify.com/v1/tracks/4pNiE4LCVV74vfIBaUHm1b,232760.0
