,artist,num_lines,sentiment,tags,f_k_grade,year,pos,num_syllables,difficult_words,fog_index,title,num_dupes,flesch_index,num_words,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound,genre
0,Beach Boys,33,"{'neg': 0.0, 'neu': 0.963, 'pos': 0.037, 'compound': 0.7096}","['pop', 'rock']",7.6,1963,2,342.9,44,4.0,Surfin' U.S.A.,18,49.48,187,0.0,0.963,0.037,0.7096,pop
1,Skeeter Davis,20,"{'neg': 0.067, 'neu': 0.921, 'pos': 0.013000000000000001, 'compound': -0.8445}",[],0.1,1963,3,162.0,10,4.800000000000001,The End Of The World,8,106.67,147,0.067,0.921,0.013000000000000001,-0.8445,none
2,Bobby Vinton,20,"{'neg': 0.028, 'neu': 0.753, 'pos': 0.219, 'compound': 0.9753000000000001}",[],0.9,1963,6,145.8,14,4.4,Blue Velvet,8,99.23,123,0.028,0.753,0.219,0.9753000000000001,none
3,Andy Williams,24,"{'neg': 0.101, 'neu': 0.788, 'pos': 0.112, 'compound': 0.45880000000000004}",[],2.1,1963,11,211.5,13,4.4,Can't Get Used To Losing You,15,90.77,167,0.101,0.788,0.112,0.45880000000000004,none
4,Lesley Gore,26,"{'neg': 0.053, 'neu': 0.72, 'pos': 0.227, 'compound': 0.9842000000000001}",['pop'],-1.8,1963,14,154.8,3,4.0,She's A Fool,13,117.16,151,0.053,0.72,0.227,0.9842000000000001,pop
5,"Peter, Paul and Mary",28,"{'neg': 0.114, 'neu': 0.886, 'pos': 0.0, 'compound': -0.9856}",['folk'],2.9,1963,16,319.5,27,5.2,Puff,16,88.74,246,0.114,0.886,0.0,-0.9856,folk
6,"Peter, Paul and Mary",25,"{'neg': 0.008, 'neu': 0.93, 'pos': 0.063, 'compound': 0.9008}",['folk'],1.3,1963,17,219.6,10,4.800000000000001,Blowin' In The Wind,8,98.21,180,0.008,0.93,0.063,0.9008,folk
7,Al Martino,14,"{'neg': 0.029, 'neu': 0.597, 'pos': 0.374, 'compound': 0.9945}",[],1.7000000000000002,1963,21,149.4,6,5.2,I Love You Because,7,97.2,120,0.029,0.597,0.374,0.9945,none
8,Bobby Darin,22,"{'neg': 0.094, 'neu': 0.8210000000000001, 'pos': 0.085, 'compound': 0.2467}","['folk', 'pop', 'rock']",0.5,1963,23,136.8,9,4.0,You're The Reason I'm Living,8,100.24,113,0.094,0.8210000000000001,0.085,0.2467,folk
9,Lesley Gore,33,"{'neg': 0.251, 'neu': 0.5730000000000001, 'pos': 0.177, 'compound': -0.987}",['pop'],-0.30000000000000004,1963,29,251.1,14,4.4,It's My Party,24,107.69,230,0.251,0.5730000000000001,0.177,-0.987,pop
10,Eydie Gorme,38,"{'neg': 0.167, 'neu': 0.714, 'pos': 0.11900000000000001, 'compound': -0.7825000000000001}","['pop', 'swing']",0.9,1963,30,298.8,12,4.4,Blame It On The Bossa Nova,21,99.23,248,0.167,0.714,0.11900000000000001,-0.7825000000000001,pop
11,Randy,28,"{'neg': 0.007, 'neu': 0.639, 'pos': 0.354, 'compound': 0.9979}",['rock'],2.1,1963,33,236.7,5,4.4,Denise,21,90.77,179,0.007,0.639,0.354,0.9979,rock
12,Beach Boys,18,"{'neg': 0.0, 'neu': 0.8240000000000001, 'pos': 0.176, 'compound': 0.9746}","['pop', 'rock']",2.1,1963,36,150.3,11,4.4,Surfer Girl,8,90.77,118,0.0,0.8240000000000001,0.176,0.9746,pop
13,Tommy Roe,19,"{'neg': 0.14200000000000002, 'neu': 0.858, 'pos': 0.0, 'compound': -0.9457000000000001}",['pop'],10.4,1963,38,255.6,8,4.4,Everybody,25,31.55,126,0.14200000000000002,0.858,0.0,-0.9457000000000001,pop
14,Skeeter Davis,16,"{'neg': 0.03, 'neu': 0.75, 'pos': 0.22, 'compound': 0.9548000000000001}",[],-0.30000000000000004,1963,43,102.6,3,4.4,I Can't Stay Mad At You,3,107.69,96,0.03,0.75,0.22,0.9548000000000001,none
15,Ronettes,28,"{'neg': 0.028, 'neu': 0.888, 'pos': 0.084, 'compound': 0.9394}",['pop'],1.7000000000000002,1963,45,278.1,13,5.2,Be My Baby,19,97.2,229,0.028,0.888,0.084,0.9394,pop
16,Roy Orbison,21,"{'neg': 0.0, 'neu': 0.8140000000000001, 'pos': 0.186, 'compound': 0.9776}","['pop', 'rock']",1.7000000000000002,1963,46,207.9,10,5.2,Mean Woman Blues,13,97.2,179,0.0,0.8140000000000001,0.186,0.9776,pop
17,Henry Mancini,9,"{'neg': 0.055, 'neu': 0.796, 'pos': 0.149, 'compound': 0.8176}",['classical/soundtrack'],4.4,1963,48,117.9,11,5.6,Days Of Wine And Roses,3,79.26,85,0.055,0.796,0.149,0.8176,classical/soundtrack
18,Bobby Vinton,30,"{'neg': 0.066, 'neu': 0.857, 'pos': 0.077, 'compound': 0.3004}",[],-0.30000000000000004,1963,52,228.6,11,4.4,Blue On Blue,15,107.69,199,0.066,0.857,0.077,0.3004,none
19,Lou Christie,23,"{'neg': 0.176, 'neu': 0.598, 'pos': 0.226, 'compound': 0.9254}",['pop'],0.5,1963,54,143.1,6,4.0,Two Faces Have I,13,100.24,123,0.176,0.598,0.226,0.9254,pop
20,Ray Charles,16,"{'neg': 0.138, 'neu': 0.8150000000000001, 'pos': 0.047, 'compound': -0.9604}","['blues', 'country', 'jazz', 'pop', 'hip-hop/rnb', 'soul']",1.7000000000000002,1963,55,212.4,11,6.4,Busted,2,102.61,186,0.138,0.8150000000000001,0.047,-0.9604,blues
21,Shirelles,26,"{'neg': 0.089, 'neu': 0.799, 'pos': 0.112, 'compound': 0.7177}","['pop', 'hip-hop/rnb', 'soul']",1.3,1963,57,242.1,12,4.800000000000001,Foolish Little Girl,13,98.21,202,0.089,0.799,0.112,0.7177,pop
22,Roy Orbison,20,"{'neg': 0.056, 'neu': 0.732, 'pos': 0.211, 'compound': 0.9637}","['pop', 'rock']",0.9,1963,59,156.6,10,4.4,In Dreams,3,99.23,131,0.056,0.732,0.211,0.9637,pop
23,Brenda Lee,19,"{'neg': 0.17, 'neu': 0.637, 'pos': 0.192, 'compound': 0.7678}","['country', 'pop', 'rock']",0.5,1963,62,120.6,10,4.0,Losing You,5,100.24,100,0.17,0.637,0.192,0.7678,country
24,Tony Bennett,19,"{'neg': 0.125, 'neu': 0.719, 'pos': 0.156, 'compound': 0.7266}","['jazz', 'pop']",2.9,1963,64,198.0,8,5.2,I Wanna Be Around,7,88.74,156,0.125,0.719,0.156,0.7266,jazz
25,Sam Cooke,24,"{'neg': 0.147, 'neu': 0.8290000000000001, 'pos': 0.024, 'compound': -0.9303}",['soul'],0.5,1963,67,163.8,6,4.0,Little Red Rooster,14,100.24,134,0.147,0.8290000000000001,0.024,-0.9303,soul
26,Elvis Presley,39,"{'neg': 0.303, 'neu': 0.429, 'pos': 0.267, 'compound': -0.9413}","['blues', 'country', 'pop', 'rock']",1.3,1963,69,230.4,10,3.6,(You're The) Devil In Disguise,28,92.8,178,0.303,0.429,0.267,-0.9413,blues
27,Nat King Cole,26,"{'neg': 0.16, 'neu': 0.731, 'pos': 0.11, 'compound': -0.8765000000000001}","['jazz', 'pop', 'swing']",2.1,1963,70,291.6,15,5.6,Those Lazy Hazy Crazy Days Of Summer,19,96.18,235,0.16,0.731,0.11,-0.8765000000000001,jazz
28,Jackie Wilson,47,"{'neg': 0.008, 'neu': 0.898, 'pos': 0.094, 'compound': 0.9657}",['soul'],-0.7000000000000001,1963,71,297.0,18,4.0,Baby Workout,8,108.7,273,0.008,0.898,0.094,0.9657,soul
29,Marvin Gaye,52,"{'neg': 0.014, 'neu': 0.505, 'pos': 0.481, 'compound': 0.9995}","['pop', 'hip-hop/rnb', 'soul']",1.7000000000000002,1963,72,350.1,20,4.0,Pride And Joy,17,91.78,261,0.014,0.505,0.481,0.9995,pop
30,Rufus Thomas,16,"{'neg': 0.05, 'neu': 0.9500000000000001, 'pos': 0.0, 'compound': -0.5994}",[],-0.30000000000000004,1963,73,108.0,13,4.4,Walking The Dog,4,107.69,97,0.05,0.9500000000000001,0.0,-0.5994,none
31,Johnny Mathis,21,"{'neg': 0.105, 'neu': 0.774, 'pos': 0.121, 'compound': 0.46990000000000004}","['jazz', 'pop', 'soul']",-0.7000000000000001,1963,76,138.6,9,4.0,What Will My Mary Say,14,108.7,124,0.105,0.774,0.121,0.46990000000000004,jazz
32,Johnny Cash,27,"{'neg': 0.229, 'neu': 0.711, 'pos': 0.06, 'compound': -0.9851000000000001}","['blues', 'country', 'folk', 'rock']",0.1,1963,80,211.5,6,4.800000000000001,Ring Of Fire,20,106.67,191,0.229,0.711,0.06,-0.9851000000000001,blues
33,Doris Troy,18,"{'neg': 0.046, 'neu': 0.811, 'pos': 0.14200000000000002, 'compound': 0.8831}",[],-0.7000000000000001,1963,81,117.0,9,4.0,Just One Look,6,108.7,103,0.046,0.811,0.14200000000000002,0.8831,none
34,Lesley Gore,32,"{'neg': 0.23600000000000002, 'neu': 0.655, 'pos': 0.109, 'compound': -0.9823000000000001}",['pop'],0.9,1963,83,226.8,14,4.4,Judy's Turn To Cry,20,99.23,192,0.23600000000000002,0.655,0.109,-0.9823000000000001,pop
35,Rolf Harris,53,"{'neg': 0.099, 'neu': 0.855, 'pos': 0.046, 'compound': -0.9529000000000001}",[],1.7000000000000002,1963,84,368.1,18,4.0,"Tie Me Kangaroo Down, Sport",39,91.78,279,0.099,0.855,0.046,-0.9529000000000001,none
36,Nat King Cole,30,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.9903000000000001}","['jazz', 'pop', 'swing']",0.9,1963,87,255.6,32,4.4,"That Sunday, That Summer",12,99.23,206,0.0,0.838,0.162,0.9903000000000001,jazz
37,Sam Cooke,33,"{'neg': 0.078, 'neu': 0.834, 'pos': 0.088, 'compound': 0.42150000000000004}",['soul'],1.7000000000000002,1963,88,348.3,19,5.2,Another Saturday Night,19,97.2,288,0.078,0.834,0.088,0.42150000000000004,soul
38,Al Martino,17,"{'neg': 0.062, 'neu': 0.675, 'pos': 0.263, 'compound': 0.9847}",[],1.3,1963,89,144.0,6,4.800000000000001,"Painted, Tainted Rose",10,98.21,125,0.062,0.675,0.263,0.9847,none
39,Steve Lawrence,18,"{'neg': 0.053, 'neu': 0.833, 'pos': 0.114, 'compound': 0.8519}",['swing'],1.3,1963,91,157.5,7,4.800000000000001,Go Away Little Girl,5,98.21,128,0.053,0.833,0.114,0.8519,swing
40,Ray Charles,17,"{'neg': 0.056, 'neu': 0.632, 'pos': 0.312, 'compound': 0.9968}","['blues', 'country', 'jazz', 'pop', 'hip-hop/rnb', 'soul']",1.3,1963,92,204.3,5,6.0,Take These Chains From My Heart,10,103.63,181,0.056,0.632,0.312,0.9968,blues
41,Martha and The Vandellas,44,"{'neg': 0.005, 'neu': 0.81, 'pos': 0.184, 'compound': 0.9907}",[],1.7000000000000002,1963,94,297.9,13,4.0,Come And Get These Memories,26,91.78,228,0.005,0.81,0.184,0.9907,none
42,Elvis Presley,12,"{'neg': 0.0, 'neu': 0.916, 'pos': 0.084, 'compound': 0.9420000000000001}","['blues', 'country', 'pop', 'rock']",5.2,1963,95,261.9,13,8.8,Bossa Nova Baby,11,88.06,214,0.0,0.916,0.084,0.9420000000000001,blues
43,Beach Boys,25,"{'neg': 0.015, 'neu': 0.961, 'pos': 0.024, 'compound': 0.19010000000000002}","['pop', 'rock']",1.7000000000000002,1963,97,258.3,32,5.2,Shut Down,11,97.2,208,0.015,0.961,0.024,0.19010000000000002,pop
44,Del Shannon,30,"{'neg': 0.098, 'neu': 0.6960000000000001, 'pos': 0.20600000000000002, 'compound': 0.9745}","['country', 'pop']",1.3,1963,100,249.3,16,4.800000000000001,Little Town Flirt,9,98.21,211,0.098,0.6960000000000001,0.20600000000000002,0.9745,country
