,artist,num_lines,sentiment,tags,f_k_grade,year,pos,num_syllables,difficult_words,fog_index,title,num_dupes,flesch_index,num_words,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound
0,Blondie,39,"{'neg': 0.0, 'neu': 0.8270000000000001, 'pos': 0.17300000000000001, 'compound': 0.9928}","['disco', 'pop', 'rock']",1.7000000000000002,1980,1,304.2,29,4.0,Call Me,18,91.78,229,0.0,0.8270000000000001,0.17300000000000001,0.9928
1,Olivia Newton-John,41,"{'neg': 0.008, 'neu': 0.788, 'pos': 0.20400000000000001, 'compound': 0.9938}",[],1.7000000000000002,1980,3,308.7,15,4.0,Magic,32,91.78,244,0.008,0.788,0.20400000000000001,0.9938
2,Michael Jackson,44,"{'neg': 0.022, 'neu': 0.853, 'pos': 0.124, 'compound': 0.979}","['disco', 'pop', 'hip-hop/rnb', 'rock', 'soul']",-0.7000000000000001,1980,4,290.7,9,4.0,Rock With You,21,108.7,254,0.022,0.853,0.124,0.979
3,Captain and Tennille,26,"{'neg': 0.0, 'neu': 0.888, 'pos': 0.112, 'compound': 0.9643}",[],2.5,1980,5,254.7,3,4.800000000000001,Do That To Me One More Time,22,89.75,200,0.0,0.888,0.112,0.9643
4,Paul McCartney,34,"{'neg': 0.012, 'neu': 0.7010000000000001, 'pos': 0.28600000000000003, 'compound': 0.9936}","['classical/soundtrack', 'folk', 'pop', 'rock']",1.7000000000000002,1980,7,261.0,16,4.0,Coming Up,26,91.78,198,0.012,0.7010000000000001,0.28600000000000003,0.9936
5,"Lipps, Inc.",50,"{'neg': 0.0, 'neu': 0.968, 'pos': 0.032, 'compound': 0.8105}","['disco', 'jazz', 'pop']",1.7000000000000002,1980,8,390.6,12,4.0,Funkytown,49,91.78,296,0.0,0.968,0.032,0.8105
6,Billy Joel,39,"{'neg': 0.019, 'neu': 0.86, 'pos': 0.121, 'compound': 0.986}","['classical/soundtrack', 'pop', 'rock']",1.7000000000000002,1980,9,385.2,37,5.2,It's Still Rock And Roll To Me,13,97.2,319,0.019,0.86,0.121,0.986
7,Gary Numan,16,"{'neg': 0.0, 'neu': 0.912, 'pos': 0.088, 'compound': 0.7351000000000001}","['electronic/dance', 'jazz', 'rock']",0.5,1980,12,98.1,7,4.0,Cars,7,100.24,84,0.0,0.912,0.088,0.7351000000000001
8,Smokey Robinson,38,"{'neg': 0.0, 'neu': 0.714, 'pos': 0.28600000000000003, 'compound': 0.9985}","['hip-hop/rnb', 'soul']",2.5,1980,13,359.1,19,4.800000000000001,Cruisin',20,89.75,280,0.0,0.714,0.28600000000000003,0.9985
9,Air Supply,36,"{'neg': 0.082, 'neu': 0.644, 'pos': 0.273, 'compound': 0.9984000000000001}","['pop', 'rock']",0.9,1980,15,391.5,13,5.6,Lost In Love,28,104.64,353,0.082,0.644,0.273,0.9984000000000001
10,Elton John,51,"{'neg': 0.088, 'neu': 0.705, 'pos': 0.20700000000000002, 'compound': 0.9931000000000001}","['pop', 'rock']",0.9,1980,16,419.4,16,4.4,Little Jeannie,32,99.23,348,0.088,0.705,0.20700000000000002,0.9931000000000001
11,Christopher Cross,35,"{'neg': 0.066, 'neu': 0.764, 'pos': 0.17, 'compound': 0.9698}",[],0.5,1980,17,235.8,12,4.0,Ride Like The Wind,21,100.24,201,0.066,0.764,0.17,0.9698
12,Diana Ross,59,"{'neg': 0.028, 'neu': 0.777, 'pos': 0.195, 'compound': 0.9959}","['disco', 'jazz', 'pop', 'hip-hop/rnb', 'soul']",2.9,1980,18,452.7,17,4.0,Upside Down,68,83.32,333,0.028,0.777,0.195,0.9959
13,K.C. and The Sunshine Band,36,"{'neg': 0.109, 'neu': 0.588, 'pos': 0.303, 'compound': 0.9943000000000001}","['disco', 'pop']",-0.7000000000000001,1980,19,208.8,9,4.0,Please Don't Go,27,108.7,183,0.109,0.588,0.303,0.9943000000000001
14,Styx,31,"{'neg': 0.07100000000000001, 'neu': 0.638, 'pos': 0.291, 'compound': 0.9949}",['rock'],0.9,1980,20,243.0,12,4.4,Babe,16,99.23,200,0.07100000000000001,0.638,0.291,0.9949
15,Billy Preston,30,"{'neg': 0.152, 'neu': 0.716, 'pos': 0.131, 'compound': -0.5475}",[],0.9,1980,21,216.0,15,4.4,With You I'm Born Again,23,99.23,184,0.152,0.716,0.131,-0.5475
16,Manhattans,27,"{'neg': 0.031, 'neu': 0.755, 'pos': 0.214, 'compound': 0.987}",[],1.7000000000000002,1980,22,201.6,16,4.0,Shining Star,11,91.78,155,0.031,0.755,0.214,0.987
17,Commodores,35,"{'neg': 0.07, 'neu': 0.781, 'pos': 0.148, 'compound': 0.9531000000000001}",[],0.5,1980,23,242.1,20,4.0,Still,13,100.24,201,0.07,0.781,0.148,0.9531000000000001
18,Dr. Hook,15,"{'neg': 0.076, 'neu': 0.662, 'pos': 0.262, 'compound': 0.9942000000000001}",[],3.6,1980,25,239.4,12,7.2,Sexy Eyes,12,92.12,197,0.076,0.662,0.262,0.9942000000000001
19,Robbie Dupree,27,"{'neg': 0.022, 'neu': 0.78, 'pos': 0.198, 'compound': 0.9796}",[],-0.30000000000000004,1980,26,185.4,9,4.4,Steal Away,13,107.69,166,0.022,0.78,0.198,0.9796
20,Ambrosia,66,"{'neg': 0.011, 'neu': 0.806, 'pos': 0.183, 'compound': 0.9967}",[],0.9,1980,27,535.5,40,4.4,Biggest Part Of Me,35,99.23,439,0.011,0.806,0.183,0.9967
21,Kenny Loggins,70,"{'neg': 0.109, 'neu': 0.847, 'pos': 0.044, 'compound': -0.9486}","['pop', 'rock']",0.1,1980,28,391.5,26,3.6,This Is It,33,101.26,324,0.109,0.847,0.044,-0.9486
22,Jermaine Jackson,43,"{'neg': 0.15, 'neu': 0.548, 'pos': 0.302, 'compound': 0.9962000000000001}",[],0.5,1980,30,261.0,8,4.0,Let's Get Serious,46,100.24,225,0.15,0.548,0.302,0.9962000000000001
23,Kenny Rogers,30,"{'neg': 0.085, 'neu': 0.848, 'pos': 0.067, 'compound': -0.251}","['country', 'pop']",1.3,1980,31,262.8,12,4.800000000000001,Don't Fall In Love With A Dreamer,14,98.21,214,0.085,0.848,0.067,-0.251
24,Christopher Cross,33,"{'neg': 0.013000000000000001, 'neu': 0.8310000000000001, 'pos': 0.157, 'compound': 0.9868}",[],0.9,1980,32,261.0,19,4.4,Sailing,23,99.23,222,0.013000000000000001,0.8310000000000001,0.157,0.9868
25,Dan Fogelberg,22,"{'neg': 0.027, 'neu': 0.75, 'pos': 0.223, 'compound': 0.9892000000000001}","['pop', 'rock']",0.9,1980,33,185.4,20,4.4,Longer,9,99.23,149,0.027,0.75,0.223,0.9892000000000001
26,Kenny Rogers,42,"{'neg': 0.088, 'neu': 0.791, 'pos': 0.121, 'compound': 0.9589000000000001}","['country', 'pop']",3.3,1980,34,519.3,57,5.6,Coward Of The County,13,87.72,414,0.088,0.791,0.121,0.9589000000000001
27,Kool and The Gang,42,"{'neg': 0.137, 'neu': 0.6880000000000001, 'pos': 0.17500000000000002, 'compound': 0.8813000000000001}",['disco'],0.5,1980,36,288.9,23,4.0,Too Hot,15,100.24,239,0.137,0.6880000000000001,0.17500000000000002,0.8813000000000001
