,artist,num_lines,sentiment,tags,f_k_grade,year,pos,num_syllables,difficult_words,fog_index,title,num_dupes,flesch_index,num_words,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound,genre
0,50 Cent,65,"{'neg': 0.125, 'neu': 0.778, 'pos': 0.097, 'compound': -0.9862000000000001}",['hip-hop/rnb'],1.3,2003,1,753.3,44,6.0,In Da Club,32,103.63,663,0.125,0.778,0.097,-0.9862000000000001,hip-hop/rnb
1,R. Kelly,83,"{'neg': 0.022, 'neu': 0.936, 'pos': 0.042, 'compound': 0.8095}","['hip-hop/rnb', 'pop', 'hip-hop/rnb', 'soul']",0.9,2003,2,628.2,36,4.4,Ignition,52,99.23,534,0.022,0.936,0.042,0.8095,hip-hop/rnb
2,Sean Paul,108,"{'neg': 0.079, 'neu': 0.79, 'pos': 0.131, 'compound': 0.9895}","['pop', 'hip-hop/rnb']",-0.30000000000000004,2003,3,802.8,34,4.4,Get Busy,79,107.69,718,0.079,0.79,0.131,0.9895,pop
3,Beyonce,95,"{'neg': 0.165, 'neu': 0.712, 'pos': 0.123, 'compound': -0.9646}","['pop', 'hip-hop/rnb']",0.5,2003,4,914.4,48,5.2,Crazy In Love,50,105.66,803,0.165,0.712,0.123,-0.9646,pop
4,3 Doors Down,75,"{'neg': 0.136, 'neu': 0.737, 'pos': 0.127, 'compound': 0.6245}",['rock'],0.5,2003,5,445.5,14,4.0,When I'm Gone,56,100.24,379,0.136,0.737,0.127,0.6245,rock
5,matchbox twenty,50,"{'neg': 0.045, 'neu': 0.85, 'pos': 0.105, 'compound': 0.9375}",['rock'],0.9,2003,6,392.4,30,4.4,Unwell,29,99.23,332,0.045,0.85,0.105,0.9375,rock
6,Chingy,90,"{'neg': 0.043000000000000003, 'neu': 0.802, 'pos': 0.154, 'compound': 0.9982000000000001}",[],0.9,2003,7,880.2,47,5.6,Right Thurr,63,104.64,810,0.043000000000000003,0.802,0.154,0.9982000000000001,none
7,Aaliyah,79,"{'neg': 0.121, 'neu': 0.842, 'pos': 0.037, 'compound': -0.9851000000000001}",['pop'],0.9,2003,8,584.1,30,4.4,Miss You,53,99.23,478,0.121,0.842,0.037,-0.9851000000000001,pop
8,Kid Rock,43,"{'neg': 0.091, 'neu': 0.8200000000000001, 'pos': 0.09, 'compound': 0.4118}","['country', 'rock']",1.3,2003,9,378.0,20,4.800000000000001,Picture,31,98.21,322,0.091,0.8200000000000001,0.09,0.4118,country
9,Evanescence,42,"{'neg': 0.014, 'neu': 0.894, 'pos': 0.092, 'compound': 0.9708}",['rock'],2.5,2003,10,421.2,15,4.800000000000001,Bring Me To Life,24,89.75,323,0.014,0.894,0.092,0.9708,rock
10,Lil Jon,86,"{'neg': 0.23900000000000002, 'neu': 0.682, 'pos': 0.078, 'compound': -0.9994000000000001}",[],0.9,2003,11,876.6,47,5.6,Get Low,44,104.64,828,0.23900000000000002,0.682,0.078,-0.9994000000000001,none
11,Beyonce,79,"{'neg': 0.036000000000000004, 'neu': 0.8190000000000001, 'pos': 0.146, 'compound': 0.9961000000000001}","['pop', 'hip-hop/rnb']",1.3,2003,12,711.0,41,4.800000000000001,Baby Boy,42,98.21,604,0.036000000000000004,0.8190000000000001,0.146,0.9961000000000001,pop
12,50 Cent,70,"{'neg': 0.032, 'neu': 0.724, 'pos': 0.245, 'compound': 0.9994000000000001}",['hip-hop/rnb'],0.9,2003,14,711.0,43,5.6,21 Questions,32,104.64,632,0.032,0.724,0.245,0.9994000000000001,hip-hop/rnb
13,Jennifer Lopez,87,"{'neg': 0.126, 'neu': 0.727, 'pos': 0.147, 'compound': 0.9699000000000001}","['electronic/dance', 'pop']",1.3,2003,15,814.5,49,4.800000000000001,All I Have,54,98.21,665,0.126,0.727,0.147,0.9699000000000001,electronic/dance
14,Christina Aguilera,35,"{'neg': 0.152, 'neu': 0.667, 'pos': 0.182, 'compound': 0.9228000000000001}","['pop', 'rock']",1.3,2003,16,308.7,16,4.800000000000001,Beautiful,9,98.21,249,0.152,0.667,0.182,0.9228000000000001,pop
