,artist,num_lines,sentiment,tags,f_k_grade,year,pos,num_syllables,difficult_words,fog_index,title,num_dupes,flesch_index,num_words,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound,genre,danceability,energy,loudness,instrumentalness,liveness,spotify_id,spotify_url,duration_ms
0,George Michael,45,"{'neg': 0.029, 'neu': 0.597, 'pos': 0.374, 'compound': 0.9992000000000001}","['pop', 'rock']",2.1,1988,1,389.7,23,4.4,Faith,17,90.77,303,0.029,0.597,0.374,0.9992000000000001,pop,0.887,0.48,-11.994,3.58e-05,0.0662,0HEmnAUT8PHznIAAmVXqFJ,https://api.spotify.com/v1/tracks/0HEmnAUT8PHznIAAmVXqFJ,193200.0
1,INXS,50,"{'neg': 0.01, 'neu': 0.91, 'pos': 0.08, 'compound': 0.9456}","['pop', 'rock']",0.1,1988,2,296.1,15,3.6,Need You Tonight,33,101.26,238,0.01,0.91,0.08,0.9456,pop,0.801,0.723,-4.985,0.154,0.0675,5eU8qMd0TpaLqTGDZJaLDs,https://api.spotify.com/v1/tracks/5eU8qMd0TpaLqTGDZJaLDs,180518.0
2,George Harrison,61,"{'neg': 0.0, 'neu': 0.968, 'pos': 0.032, 'compound': 0.9022}","['electronic/dance', 'folk', 'pop', 'rock']",-0.30000000000000004,1988,3,398.7,8,4.4,Got My Mind Set On You,53,107.69,373,0.0,0.968,0.032,0.9022,electronic/dance,0.767,0.854,-6.947,2.03e-06,0.485,3OeUlriM0EZHdWleJtjoVr,https://api.spotify.com/v1/tracks/3OeUlriM0EZHdWleJtjoVr,234653.0
3,Rick Astley,60,"{'neg': 0.156, 'neu': 0.811, 'pos': 0.033, 'compound': -0.9951000000000001}",['pop'],2.1,1988,4,475.2,12,4.4,Never Gonna Give You Up,51,90.77,369,0.156,0.811,0.033,-0.9951000000000001,pop,0.727,0.939,-11.855,4.35e-05,0.151,7GhIk7Il098yCjg4BQjzvb,https://api.spotify.com/v1/tracks/7GhIk7Il098yCjg4BQjzvb,212827.0
4,Guns N' Roses,45,"{'neg': 0.036000000000000004, 'neu': 0.751, 'pos': 0.213, 'compound': 0.9951000000000001}",['rock'],-0.30000000000000004,1988,5,300.6,7,4.4,Sweet Child O' Mine,13,107.69,278,0.036000000000000004,0.751,0.213,0.9951000000000001,rock,0.446,0.952,-5.321,0.0857,0.112,7snQQk1zcKl8gZ92AnueZW,https://api.spotify.com/v1/tracks/7snQQk1zcKl8gZ92AnueZW,356067.0
5,Whitney Houston,54,"{'neg': 0.063, 'neu': 0.632, 'pos': 0.306, 'compound': 0.9984000000000001}",['pop'],2.1,1988,6,462.6,17,4.4,So Emotional,35,90.77,361,0.063,0.632,0.306,0.9984000000000001,pop,0.698,0.792,-10.011,5.17e-05,0.199,4l2Edgdj4vla02GCh7YyAv,https://api.spotify.com/v1/tracks/4l2Edgdj4vla02GCh7YyAv,276667.0
6,Belinda Carlisle,45,"{'neg': 0.012, 'neu': 0.683, 'pos': 0.305, 'compound': 0.9987}",['pop'],0.9,1988,7,377.1,16,4.4,Heaven Is A Place On Earth,36,99.23,310,0.012,0.683,0.305,0.9987,pop,0.64,0.81,-10.19,2.22e-06,0.0492,58mFu3oIpBa0HLNeJIxsw3,https://api.spotify.com/v1/tracks/58mFu3oIpBa0HLNeJIxsw3,247293.0
7,Breathe,22,"{'neg': 0.154, 'neu': 0.602, 'pos': 0.245, 'compound': 0.9584}",[],2.1,1988,9,191.7,21,4.4,Hands To Heaven,11,90.77,148,0.154,0.602,0.245,0.9584,none,0.543,0.384,-15.018,1.16e-06,0.266,0LBtQiEVfP4ysLQ43Do8uN,https://api.spotify.com/v1/tracks/0LBtQiEVfP4ysLQ43Do8uN,259507.0
8,Steve Winwood,43,"{'neg': 0.027, 'neu': 0.888, 'pos': 0.085, 'compound': 0.9684}","['pop', 'rock']",0.1,1988,10,336.6,16,4.800000000000001,Roll With It,14,106.67,309,0.027,0.888,0.085,0.9684,pop,0.759,0.645,-13.352,0.0403,0.0986,2QlPByrmEO9XciNBXCrawR,https://api.spotify.com/v1/tracks/2QlPByrmEO9XciNBXCrawR,320733.0
9,George Michael,47,"{'neg': 0.11900000000000001, 'neu': 0.792, 'pos': 0.089, 'compound': -0.7381000000000001}","['pop', 'rock']",-0.30000000000000004,1988,11,326.7,7,4.4,One More Try,19,107.69,290,0.11900000000000001,0.792,0.089,-0.7381000000000001,pop,0.551,0.291,-12.544,3.78e-05,0.11,5932kbyNt445gDTT2chRUS,https://api.spotify.com/v1/tracks/5932kbyNt445gDTT2chRUS,350667.0
10,Terence Trent d'Arby,31,"{'neg': 0.034, 'neu': 0.395, 'pos': 0.5710000000000001, 'compound': 0.9995}",[],2.1,1988,12,275.4,30,4.4,Wishing Well,12,90.77,214,0.034,0.395,0.5710000000000001,0.9995,none,0.855,0.461,-13.096,0.0,0.201,2bvzxeD1hPWEYotw40Euq9,https://api.spotify.com/v1/tracks/2bvzxeD1hPWEYotw40Euq9,210467.0
11,Gloria Estefan and Miami Sound Machine,39,"{'neg': 0.112, 'neu': 0.772, 'pos': 0.116, 'compound': 0.0351}","['electronic/dance', 'pop', 'rock']",0.9,1988,13,294.3,6,4.4,Anything For You,14,99.23,251,0.112,0.772,0.116,0.0351,electronic/dance,,,,,,,,
12,Cheap Trick,45,"{'neg': 0.088, 'neu': 0.887, 'pos': 0.025, 'compound': -0.9647}",['rock'],0.9,1988,14,362.7,22,4.4,The Flame,28,99.23,301,0.088,0.887,0.025,-0.9647,rock,0.629,0.581,-11.856,2.06e-06,0.0755,528CAH5pTLq86oZ52fHifA,https://api.spotify.com/v1/tracks/528CAH5pTLq86oZ52fHifA,338800.0
13,Billy Ocean,65,"{'neg': 0.0, 'neu': 0.861, 'pos': 0.139, 'compound': 0.996}","['disco', 'pop']",-0.30000000000000004,1988,15,505.8,20,4.4,"Get Outta My Dreams, Get Into My Car",44,107.69,448,0.0,0.861,0.139,0.996,disco,0.666,0.91,-6.457,8.43e-06,0.335,2D4D3hiOf5U0W6SvJoCQph,https://api.spotify.com/v1/tracks/2D4D3hiOf5U0W6SvJoCQph,284373.0
14,Whitesnake,44,"{'neg': 0.013000000000000001, 'neu': 0.673, 'pos': 0.314, 'compound': 0.9991000000000001}","['blues', 'rock']",1.3,1988,17,367.2,14,4.800000000000001,Is This Love,25,98.21,319,0.013000000000000001,0.673,0.314,0.9991000000000001,blues,0.263,0.759,-7.288,0.0,0.231,0IhUdJRoolbYeEMPL59XPm,https://api.spotify.com/v1/tracks/0IhUdJRoolbYeEMPL59XPm,284496.0
15,Def Leppard,48,"{'neg': 0.052000000000000005, 'neu': 0.734, 'pos': 0.214, 'compound': 0.9969}",['rock'],2.5,1988,19,476.1,37,4.800000000000001,Pour Some Sugar On Me,23,89.75,375,0.052000000000000005,0.734,0.214,0.9969,rock,0.267,0.953,-4.899,0.0,0.283,0PdM2a6oIjqepoEfcJo0RO,https://api.spotify.com/v1/tracks/0PdM2a6oIjqepoEfcJo0RO,267307.0
16,Taylor Dayne,33,"{'neg': 0.0, 'neu': 0.656, 'pos': 0.34400000000000003, 'compound': 0.9974000000000001}","['electronic/dance', 'pop']",0.5,1988,20,207.9,9,4.0,I'll Always Love You,3,100.24,171,0.0,0.656,0.34400000000000003,0.9974000000000001,electronic/dance,,,,,,,,
17,Michael Jackson,90,"{'neg': 0.06, 'neu': 0.847, 'pos': 0.093, 'compound': 0.9542}","['disco', 'pop', 'hip-hop/rnb', 'rock', 'soul']",0.9,1988,21,738.9,34,4.4,Man In The Mirror,33,99.23,613,0.06,0.847,0.093,0.9542,disco,0.808,0.812,-5.012,7.91e-05,0.134,1kiNatIrwDusOZfR29W0LJ,https://api.spotify.com/v1/tracks/1kiNatIrwDusOZfR29W0LJ,318680.0
18,Robert Palmer,33,"{'neg': 0.089, 'neu': 0.581, 'pos': 0.331, 'compound': 0.9983000000000001}","['pop', 'rock']",6.4,1988,23,443.7,37,5.2,Simply Irresistible,32,63.36,286,0.089,0.581,0.331,0.9983000000000001,pop,0.69,0.841,-13.357,2.78e-06,0.0441,0bSr5pybJSlgG5OZH441gF,https://api.spotify.com/v1/tracks/0bSr5pybJSlgG5OZH441gF,255093.0
19,Richard Marx,32,"{'neg': 0.081, 'neu': 0.77, 'pos': 0.148, 'compound': 0.9358000000000001}",['pop'],0.9,1988,24,238.5,22,4.4,Hold On To The Nights,12,99.23,195,0.081,0.77,0.148,0.9358000000000001,pop,0.353,0.207,-14.718,0.0,0.0874,3F2YXxSOC9dPmxXdrh6mYl,https://api.spotify.com/v1/tracks/3F2YXxSOC9dPmxXdrh6mYl,316040.0
20,Johnny Hates Jazz,41,"{'neg': 0.29, 'neu': 0.521, 'pos': 0.189, 'compound': -0.9894000000000001}",['pop'],0.5,1988,26,286.2,9,4.0,Shattered Dreams,33,100.24,239,0.29,0.521,0.189,-0.9894000000000001,pop,0.655,0.72,-9.423,4.71e-05,0.25,5KXKhCfPNS4342ly8tTf6w,https://api.spotify.com/v1/tracks/5KXKhCfPNS4342ly8tTf6w,207347.0
21,George Michael,73,"{'neg': 0.053, 'neu': 0.773, 'pos': 0.17400000000000002, 'compound': 0.9958}","['pop', 'rock']",1.7000000000000002,1988,27,543.6,43,4.0,Father Figure,28,91.78,434,0.053,0.773,0.17400000000000002,0.9958,pop,0.689,0.333,-13.288,3.36e-05,0.0853,0L0T4tMAaGqLgIVj1MOj9t,https://api.spotify.com/v1/tracks/0L0T4tMAaGqLgIVj1MOj9t,336667.0
22,Phil Collins,30,"{'neg': 0.05, 'neu': 0.767, 'pos': 0.183, 'compound': 0.9719000000000001}","['jazz', 'pop', 'rock']",-0.7000000000000001,1988,29,193.5,14,4.0,A Groovy Kind Of Love,17,108.7,169,0.05,0.767,0.183,0.9719000000000001,jazz,0.452,0.306,-9.632,1.91e-05,0.0989,5OHUTC4EvTbL0DuZQRIGGX,https://api.spotify.com/v1/tracks/5OHUTC4EvTbL0DuZQRIGGX,210733.0
23,Def Leppard,47,"{'neg': 0.07, 'neu': 0.656, 'pos': 0.275, 'compound': 0.9982000000000001}",['rock'],0.9,1988,30,384.3,16,4.4,Love Bites,26,99.23,319,0.07,0.656,0.275,0.9982000000000001,rock,0.59,0.743,-7.078,0.00093,0.0847,3Dfy8YIxq89i84t108TvMi,https://api.spotify.com/v1/tracks/3Dfy8YIxq89i84t108TvMi,346960.0
24,Richard Marx,25,"{'neg': 0.012, 'neu': 0.897, 'pos': 0.091, 'compound': 0.9430000000000001}",['pop'],1.7000000000000002,1988,31,259.2,24,5.2,Endless Summer Nights,7,97.2,208,0.012,0.897,0.091,0.9430000000000001,pop,0.582,0.467,-12.597,0.0,0.298,2iXH35MhsqO5Ry8a7iptpJ,https://api.spotify.com/v1/tracks/2iXH35MhsqO5Ry8a7iptpJ,270693.0
25,Whitney Houston,57,"{'neg': 0.061, 'neu': 0.739, 'pos': 0.2, 'compound': 0.9954000000000001}",['pop'],0.5,1988,33,391.5,10,4.0,Where Do Broken Hearts Go,39,100.24,337,0.061,0.739,0.2,0.9954000000000001,pop,0.464,0.386,-12.174,0.0,0.0682,7tLtIZclwLWk54PFAyDv5T,https://api.spotify.com/v1/tracks/7tLtIZclwLWk54PFAyDv5T,277600.0
26,Aerosmith,29,"{'neg': 0.07100000000000001, 'neu': 0.6880000000000001, 'pos': 0.241, 'compound': 0.9927}",['rock'],2.5,1988,34,295.2,19,4.800000000000001,Angel,17,89.75,226,0.07100000000000001,0.6880000000000001,0.241,0.9927,rock,0.239,0.819,-3.583,0.0,0.0855,3kfXUGIdBNpyr2gBvU3Guj,https://api.spotify.com/v1/tracks/3kfXUGIdBNpyr2gBvU3Guj,308907.0
