,artist,num_lines,sentiment,tags,f_k_grade,year,pos,num_syllables,difficult_words,fog_index,title,num_dupes,flesch_index,num_words,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound,genre,danceability,energy,loudness,instrumentalness,liveness,spotify_id,spotify_url,duration_ms
0,Brandy,90,"{'neg': 0.093, 'neu': 0.787, 'pos': 0.12, 'compound': 0.9416}","['pop', 'hip-hop/rnb']",-0.30000000000000004,1998,2,671.4,38,4.4,The Boy Is Mine,36,107.69,597,0.093,0.787,0.12,0.9416,pop,0.704,0.707,-6.537,0.00106,0.318,6sHsXIJoEN5JpdkGMQDJxt,https://api.spotify.com/v1/tracks/6sHsXIJoEN5JpdkGMQDJxt,294787.0
1,Shania Twain,40,"{'neg': 0.009000000000000001, 'neu': 0.784, 'pos': 0.20700000000000002, 'compound': 0.9933000000000001}","['country', 'pop', 'rock']",0.9,1998,3,297.9,11,4.4,You're Still The One,24,99.23,246,0.009000000000000001,0.784,0.20700000000000002,0.9933000000000001,country,,,,,,,,
2,Savage Garden,50,"{'neg': 0.043000000000000003, 'neu': 0.6970000000000001, 'pos': 0.26, 'compound': 0.9969}","['pop', 'rock']",0.9,1998,4,365.4,26,4.4,Truly Madly Deeply,28,99.23,301,0.043000000000000003,0.6970000000000001,0.26,0.9969,pop,0.555,0.698,-8.874,0.0,0.0851,013AWvizllIUEC2FOBzOnh,https://api.spotify.com/v1/tracks/013AWvizllIUEC2FOBzOnh,277267.0
3,LeAnn Rimes,43,"{'neg': 0.059000000000000004, 'neu': 0.895, 'pos': 0.046, 'compound': 0.5258}","['country', 'pop']",0.9,1998,5,317.7,7,4.4,How Do I Live,19,99.23,274,0.059000000000000004,0.895,0.046,0.5258,country,0.577,0.462,-7.989,0.0,0.0822,7BD50ATrF3Vab5FQy7vtK8,https://api.spotify.com/v1/tracks/7BD50ATrF3Vab5FQy7vtK8,266973.0
4,Paula Cole,47,"{'neg': 0.09, 'neu': 0.805, 'pos': 0.105, 'compound': 0.9536}",[],0.5,1998,10,437.4,22,5.2,I Don't Want To Wait,26,105.66,395,0.09,0.805,0.105,0.9536,none,0.41,0.468,-8.177,1.19e-05,0.0426,5MDQNJ7SZTytJwCbWKqJDL,https://api.spotify.com/v1/tracks/5MDQNJ7SZTytJwCbWKqJDL,320027.0
5,Third Eye Blind,35,"{'neg': 0.061, 'neu': 0.869, 'pos': 0.07, 'compound': 0.3387}",[],0.1,1998,11,294.3,19,4.800000000000001,How's It Going To Be,11,106.67,259,0.061,0.869,0.07,0.3387,none,0.562,0.593,-9.362,0.00139,0.0967,3Uvx1TO0Kg5HgGPk58lHXv,https://api.spotify.com/v1/tracks/3Uvx1TO0Kg5HgGPk58lHXv,253413.0
6,Destiny's Child,60,"{'neg': 0.155, 'neu': 0.588, 'pos': 0.256, 'compound': 0.9984000000000001}","['pop', 'hip-hop/rnb']",1.3,1998,12,638.1,25,6.0,"No, No, No",17,103.63,601,0.155,0.588,0.256,0.9984000000000001,pop,0.67,0.582,-3.574,0.0,0.0845,5kHgrRO3hMDPehtH9VhYQc,https://api.spotify.com/v1/tracks/5kHgrRO3hMDPehtH9VhYQc,207467.0
7,Celine Dion,27,"{'neg': 0.0, 'neu': 0.869, 'pos': 0.131, 'compound': 0.973}",['pop'],0.9,1998,13,201.6,8,4.4,My Heart Will Go On,16,99.23,172,0.0,0.869,0.131,0.973,pop,0.428,0.276,-11.729,5.33e-06,0.117,33LC84JgLvK2KuW43MfaNq,https://api.spotify.com/v1/tracks/33LC84JgLvK2KuW43MfaNq,280000.0
8,Will Smith,92,"{'neg': 0.036000000000000004, 'neu': 0.867, 'pos': 0.097, 'compound': 0.9889}","['hip-hop/rnb', 'religious']",0.9,1998,14,748.8,68,4.4,Gettin' Jiggy Wit It,43,99.23,612,0.036000000000000004,0.867,0.097,0.9889,hip-hop/rnb,0.881,0.874,-4.505,1.19e-06,0.154,0weAUscowxeqDtpCgtbpgp,https://api.spotify.com/v1/tracks/0weAUscowxeqDtpCgtbpgp,227933.0
9,Usher,72,"{'neg': 0.041, 'neu': 0.928, 'pos': 0.031, 'compound': 0.4456}",[],1.3,1998,15,595.8,21,4.800000000000001,You Make Me Wanna...,41,98.21,518,0.041,0.928,0.031,0.4456,none,0.761,0.639,-7.577,0.0,0.0945,47TqCCnEliDp8NRDyIQoQq,https://api.spotify.com/v1/tracks/47TqCCnEliDp8NRDyIQoQq,219120.0
