,artist,num_lines,sentiment,tags,f_k_grade,year,pos,num_syllables,difficult_words,fog_index,title,num_dupes,flesch_index,num_words,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound,genre,danceability,energy,loudness,instrumentalness,liveness,spotify_id,spotify_url,duration_ms
0,LMFAO,68,"{'neg': 0.069, 'neu': 0.809, 'pos': 0.123, 'compound': 0.9805}","['electronic/dance', 'electronic/dance', 'electronic/dance', 'pop']",1.3,2011,2,556.2,34,4.800000000000001,Party Rock Anthem,27,98.21,476,0.069,0.809,0.123,0.9805,electronic/dance,0.75,0.727,-4.21,0.0,0.266,0IkKz2J93C94Ei4BvDop7P,https://api.spotify.com/v1/tracks/0IkKz2J93C94Ei4BvDop7P,262173.0
1,Katy Perry,52,"{'neg': 0.054, 'neu': 0.8210000000000001, 'pos': 0.125, 'compound': 0.9834}",['pop'],0.9,2011,3,453.6,27,4.4,Firework,35,99.23,363,0.054,0.8210000000000001,0.125,0.9834,pop,0.638,0.826,-4.968,0.0,0.0803,4lCv7b86sLynZbXhfScfm2,https://api.spotify.com/v1/tracks/4lCv7b86sLynZbXhfScfm2,227880.0
2,Katy Perry,56,"{'neg': 0.099, 'neu': 0.743, 'pos': 0.158, 'compound': 0.9514}",['pop'],3.7,2011,4,384.3,37,3.6,E.T.,42,75.88,261,0.099,0.743,0.158,0.9514,pop,0.62,0.869,-5.252,0.0,0.369,36ux3YuUsGTWPT8fXclS45,https://api.spotify.com/v1/tracks/36ux3YuUsGTWPT8fXclS45,229573.0
3,Pitbull,91,"{'neg': 0.038, 'neu': 0.8150000000000001, 'pos': 0.147, 'compound': 0.995}",[],2.1,2011,5,788.4,47,4.4,Give Me Everything,77,90.77,600,0.038,0.8150000000000001,0.147,0.995,none,0.671,0.939,-3.206,0.0,0.298,4QNpBfC0zvjKqPJcyqBy9W,https://api.spotify.com/v1/tracks/4QNpBfC0zvjKqPJcyqBy9W,252307.0
4,Bruno Mars,49,"{'neg': 0.161, 'neu': 0.647, 'pos': 0.192, 'compound': 0.9003}",['pop'],0.5,2011,6,459.9,14,5.2,Grenade,29,105.66,425,0.161,0.647,0.192,0.9003,pop,0.706,0.558,-7.237,0.0,0.118,2tJulUYLDKOg9XrtVkMgcJ,https://api.spotify.com/v1/tracks/2tJulUYLDKOg9XrtVkMgcJ,223253.0
5,Cee Lo Green,88,"{'neg': 0.20400000000000001, 'neu': 0.5730000000000001, 'pos': 0.222, 'compound': 0.811}","['hip-hop/rnb', 'pop', 'hip-hop/rnb', 'soul']",-0.7000000000000001,2011,7,541.8,19,4.0,F**K You,77,108.7,512,0.20400000000000001,0.5730000000000001,0.222,0.811,hip-hop/rnb,0.689,0.836,-6.058,0.0,0.162,3Z6s1GC2wX3nvapWvChXjt,https://api.spotify.com/v1/tracks/3Z6s1GC2wX3nvapWvChXjt,223067.0
6,Nicki Minaj,72,"{'neg': 0.10400000000000001, 'neu': 0.684, 'pos': 0.211, 'compound': 0.9975}","['hip-hop/rnb', 'pop']",2.5,2011,8,729.9,43,4.800000000000001,Super Bass,43,89.75,568,0.10400000000000001,0.684,0.211,0.9975,hip-hop/rnb,0.72,0.861,-4.339,5.11e-06,0.601,0iYebKFUSfF72fUu2OW6ZT,https://api.spotify.com/v1/tracks/0iYebKFUSfF72fUu2OW6ZT,200013.0
7,Maroon 5,76,"{'neg': 0.033, 'neu': 0.768, 'pos': 0.199, 'compound': 0.9967}","['electronic/dance', 'pop', 'rock']",0.5,2011,9,501.3,24,4.0,Moves Like Jagger,46,100.24,417,0.033,0.768,0.199,0.9967,electronic/dance,0.722,0.758,-4.477,0.0,0.308,7LcfRTgAVTs5pQGEQgUEzN,https://api.spotify.com/v1/tracks/7LcfRTgAVTs5pQGEQgUEzN,201160.0
8,Black Eyed Peas,69,"{'neg': 0.023, 'neu': 0.806, 'pos': 0.17200000000000001, 'compound': 0.9976}",['pop'],1.3,2011,10,603.0,63,4.800000000000001,Just Can't Get Enough,41,98.21,497,0.023,0.806,0.17200000000000001,0.9976,pop,0.659,0.628,-8.685,0.0,0.105,3JA9Jsuxr4xgHXEawAdCp4,https://api.spotify.com/v1/tracks/3JA9Jsuxr4xgHXEawAdCp4,219427.0
9,Jennifer Lopez,76,"{'neg': 0.043000000000000003, 'neu': 0.891, 'pos': 0.066, 'compound': 0.6998000000000001}","['electronic/dance', 'pop']",1.3,2011,11,641.7,49,4.800000000000001,On The Floor,33,98.21,548,0.043000000000000003,0.891,0.066,0.6998000000000001,electronic/dance,0.758,0.686,-6.346,0.00127,0.142,0Oe49j06Bjrxs8PltuVeaW,https://api.spotify.com/v1/tracks/0Oe49j06Bjrxs8PltuVeaW,230907.0
10,Rihanna,73,"{'neg': 0.063, 'neu': 0.611, 'pos': 0.326, 'compound': 0.9996}","['electronic/dance', 'pop', 'reggae', 'hip-hop/rnb']",0.1,2011,12,630.9,17,4.800000000000001,S&M,68,106.67,552,0.063,0.611,0.326,0.9996,electronic/dance,0.766,0.682,-5.02,0.00016,0.104,2u02eLj96Atd6TBxkH9YvN,https://api.spotify.com/v1/tracks/2u02eLj96Atd6TBxkH9YvN,243533.0
11,Foster The People,48,"{'neg': 0.052000000000000005, 'neu': 0.721, 'pos': 0.227, 'compound': 0.9974000000000001}","['alternative/indie', 'alternative/indie', 'pop']",1.7000000000000002,2011,13,465.3,21,5.2,Pumped Up Kicks,35,97.2,389,0.052000000000000005,0.721,0.227,0.9974000000000001,alternative/indie,0.733,0.71,-5.849,0.115,0.0956,7w87IxuO7BDcJ3YUqCyMTT,https://api.spotify.com/v1/tracks/7w87IxuO7BDcJ3YUqCyMTT,239600.0
12,Katy Perry,80,"{'neg': 0.067, 'neu': 0.794, 'pos': 0.139, 'compound': 0.9816}",['pop'],0.5,2011,14,489.6,38,4.0,Last Friday Night,76,100.24,413,0.067,0.794,0.139,0.9816,pop,0.649,0.815,-3.796,4.31e-05,0.671,455AfCsOhhLPRc68sE01D8,https://api.spotify.com/v1/tracks/455AfCsOhhLPRc68sE01D8,230747.0
