,artist,num_lines,sentiment,tags,f_k_grade,year,pos,num_syllables,difficult_words,fog_index,title,num_dupes,flesch_index,num_words,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound,genre
42,Florida Georgia Line,48,"{'neg': 0.014, 'neu': 0.854, 'pos': 0.132, 'compound': 0.9919}",[],0.1,2014,49,415.8,30,4.800000000000001,This Is How We Roll,23,106.67,372,0.014,0.854,0.132,0.9919,none
43,Coldplay,19,"{'neg': 0.099, 'neu': 0.846, 'pos': 0.055, 'compound': -0.661}","['pop', 'rock']",0.5,2014,51,173.7,6,5.2,A Sky Full Of Stars,8,105.66,153,0.099,0.846,0.055,-0.661,pop
44,Ed Sheeran,77,"{'neg': 0.034, 'neu': 0.81, 'pos': 0.156, 'compound': 0.9972000000000001}",['pop'],1.3,2014,52,686.7,42,4.800000000000001,Don't,31,98.21,594,0.034,0.81,0.156,0.9972000000000001,pop
45,Trey Songz,59,"{'neg': 0.036000000000000004, 'neu': 0.8, 'pos': 0.163, 'compound': 0.9967}",[],1.3,2014,53,557.1,18,4.800000000000001,Na Na,62,98.21,470,0.036000000000000004,0.8,0.163,0.9967,none
46,Ed Sheeran,57,"{'neg': 0.041, 'neu': 0.8170000000000001, 'pos': 0.14200000000000002, 'compound': 0.9943000000000001}",['pop'],1.3,2014,56,481.5,33,4.800000000000001,Sing,29,98.21,402,0.041,0.8170000000000001,0.14200000000000002,0.9943000000000001,pop
47,Imagine Dragons,32,"{'neg': 0.027, 'neu': 0.867, 'pos': 0.105, 'compound': 0.9495}",[],2.5,2014,57,301.5,21,4.800000000000001,Radioactive,26,89.75,227,0.027,0.867,0.105,0.9495,none
48,Echosmith,54,"{'neg': 0.004, 'neu': 0.56, 'pos': 0.436, 'compound': 0.9993000000000001}",[],-0.30000000000000004,2014,59,355.5,14,4.4,Cool Kids,42,107.69,336,0.004,0.56,0.436,0.9993000000000001,none
49,Avicii,24,"{'neg': 0.081, 'neu': 0.8140000000000001, 'pos': 0.106, 'compound': 0.8767}",[],1.7000000000000002,2014,60,225.9,12,5.2,Hey Brother,15,97.2,192,0.081,0.8140000000000001,0.106,0.8767,none
50,Jason Derulo,50,"{'neg': 0.078, 'neu': 0.908, 'pos': 0.014, 'compound': -0.9308000000000001}","['electronic/dance', 'pop']",-0.30000000000000004,2014,61,338.4,15,4.4,Trumpets,37,107.69,311,0.078,0.908,0.014,-0.9308000000000001,electronic/dance
51,Maroon 5,78,"{'neg': 0.051000000000000004, 'neu': 0.685, 'pos': 0.263, 'compound': 0.9989}","['electronic/dance', 'pop', 'rock']",0.5,2014,62,582.3,23,4.0,Animals,82,100.24,466,0.051000000000000004,0.685,0.263,0.9989,electronic/dance
52,Jason Aldean,62,"{'neg': 0.012, 'neu': 0.906, 'pos': 0.082, 'compound': 0.98}",['country'],0.9,2014,63,449.1,23,4.4,Burnin' It Down,43,99.23,388,0.012,0.906,0.082,0.98,country
53,Luke Bryan,46,"{'neg': 0.017, 'neu': 0.739, 'pos': 0.244, 'compound': 0.9985}",['country'],2.1,2014,64,510.3,28,5.6,Play It Again,19,96.18,433,0.017,0.739,0.244,0.9985,country
54,Florida Georgia Line,84,"{'neg': 0.084, 'neu': 0.836, 'pos': 0.08, 'compound': 0.0204}",[],-1.0,2014,66,431.1,19,3.6,Dirt,50,109.72,391,0.084,0.836,0.08,0.0204,none
55,OneRepublic,51,"{'neg': 0.068, 'neu': 0.687, 'pos': 0.245, 'compound': 0.9984000000000001}","['pop', 'rock']",0.5,2014,67,482.4,21,5.2,Love Runs Out,28,105.66,441,0.068,0.687,0.245,0.9984000000000001,pop
56,Brantley Gilbert,62,"{'neg': 0.041, 'neu': 0.808, 'pos': 0.151, 'compound': 0.9926}",['country'],-0.30000000000000004,2014,68,484.2,22,4.4,Bottoms Up,31,107.69,427,0.041,0.808,0.151,0.9926,country
57,Becky G,70,"{'neg': 0.02, 'neu': 0.8270000000000001, 'pos': 0.153, 'compound': 0.9933000000000001}",[],1.7000000000000002,2014,69,531.9,31,4.0,Shower,40,91.78,407,0.02,0.8270000000000001,0.153,0.9933000000000001,none
58,Rixton,60,"{'neg': 0.123, 'neu': 0.623, 'pos': 0.255, 'compound': 0.9963000000000001}",['pop'],-0.30000000000000004,2014,70,452.7,14,4.4,Me And My Broken Heart,48,107.69,404,0.123,0.623,0.255,0.9963000000000001,pop
59,Martin Garrix,2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",[],7.2,2014,71,14.4,3,3.6,Animals,1,50.5,8,0.0,1.0,0.0,0.0,none
60,Kenny Chesney,50,"{'neg': 0.06, 'neu': 0.863, 'pos': 0.076, 'compound': 0.8645}",['country'],2.1,2014,73,441.9,35,4.4,American Kids,28,90.77,342,0.06,0.863,0.076,0.8645,country
61,Sara Bareilles,64,"{'neg': 0.041, 'neu': 0.765, 'pos': 0.194, 'compound': 0.9938}",[],0.5,2014,74,415.8,25,4.0,Brave,46,100.24,353,0.041,0.765,0.194,0.9938,none
62,Michael Jackson,50,"{'neg': 0.053, 'neu': 0.631, 'pos': 0.317, 'compound': 0.999}","['disco', 'pop', 'hip-hop/rnb', 'rock', 'soul']",0.9,2014,78,409.5,15,4.4,Love Never Felt So Good,24,99.23,344,0.053,0.631,0.317,0.999,disco
