,artist,num_lines,sentiment,tags,f_k_grade,year,pos,num_syllables,difficult_words,fog_index,title,num_dupes,flesch_index,num_words,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound
0,Lulu,22,"{'neg': 0.066, 'neu': 0.737, 'pos': 0.197, 'compound': 0.9789}",[],-0.30000000000000004,1967,1,158.4,10,4.4,To Sir With Love,5,107.69,145,0.066,0.737,0.197,0.9789
1,Box Tops,25,"{'neg': 0.074, 'neu': 0.882, 'pos': 0.045, 'compound': -0.738}",[],3.7,1967,2,250.2,13,4.800000000000001,The Letter,21,81.29,184,0.074,0.882,0.045,-0.738
2,Bobby Gentry,33,"{'neg': 0.043000000000000003, 'neu': 0.92, 'pos': 0.037, 'compound': -0.21680000000000002}",['country'],3.7,1967,3,470.7,51,6.0,Ode To Billie Joe,3,86.71,359,0.043000000000000003,0.92,0.037,-0.21680000000000002
3,Association,38,"{'neg': 0.023, 'neu': 0.854, 'pos': 0.123, 'compound': 0.9646}",['pop'],3.3,1967,4,319.5,17,4.4,Windy,34,82.31,230,0.023,0.854,0.123,0.9646
4,Monkees,30,"{'neg': 0.153, 'neu': 0.61, 'pos': 0.23700000000000002, 'compound': 0.9653}","['pop', 'rock']",1.3,1967,5,253.8,9,4.800000000000001,I'm A Believer,17,98.21,216,0.153,0.61,0.23700000000000002,0.9653
5,Doors,31,"{'neg': 0.252, 'neu': 0.6960000000000001, 'pos': 0.052000000000000005, 'compound': -0.9904000000000001}",['rock'],0.9,1967,6,243.9,5,4.4,Light My Fire,26,99.23,207,0.252,0.6960000000000001,0.052000000000000005,-0.9904000000000001
6,Nancy Sinatra,20,"{'neg': 0.073, 'neu': 0.797, 'pos': 0.131, 'compound': 0.8934000000000001}",[],1.7000000000000002,1967,7,209.7,11,5.2,Somethin' Stupid,3,97.2,173,0.073,0.797,0.131,0.8934000000000001
7,Young Rascals,24,"{'neg': 0.147, 'neu': 0.749, 'pos': 0.10400000000000001, 'compound': -0.257}",[],2.1,1967,9,187.2,17,4.4,Groovin',10,90.77,145,0.147,0.749,0.10400000000000001,-0.257
8,Frankie Valli,42,"{'neg': 0.029, 'neu': 0.5700000000000001, 'pos': 0.401, 'compound': 0.999}",[],-0.30000000000000004,1967,10,303.3,11,4.4,Can't Take My Eyes Off You,28,107.69,266,0.029,0.5700000000000001,0.401,0.999
9,Tommy James and The Shondells,32,"{'neg': 0.11900000000000001, 'neu': 0.852, 'pos': 0.029, 'compound': -0.936}",[],0.9,1967,12,262.8,8,4.4,I Think We're Alone Now,22,99.23,213,0.11900000000000001,0.852,0.029,-0.936
10,Aretha Franklin,58,"{'neg': 0.034, 'neu': 0.871, 'pos': 0.095, 'compound': 0.9488000000000001}","['jazz', 'pop', 'hip-hop/rnb', 'rock', 'soul']",-0.30000000000000004,1967,13,391.5,21,4.4,Respect,16,107.69,358,0.034,0.871,0.095,0.9488000000000001
11,Stevie Wonder,47,"{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.9979}","['pop', 'soul']",0.5,1967,14,331.2,27,4.0,I Was Made To Love Her,19,100.24,278,0.0,0.738,0.262,0.9979
12,Buckinghams,20,"{'neg': 0.26, 'neu': 0.6960000000000001, 'pos': 0.045, 'compound': -0.9946}",[],2.5,1967,16,265.5,11,6.0,Kind Of A Drag,22,95.17,216,0.26,0.6960000000000001,0.045,-0.9946
13,Arthur Conley,32,"{'neg': 0.027, 'neu': 0.643, 'pos': 0.33, 'compound': 0.9957}",[],0.9,1967,17,234.0,23,4.4,Sweet Soul Music,27,99.23,202,0.027,0.643,0.33,0.9957
14,Sam and Dave,32,"{'neg': 0.008, 'neu': 0.77, 'pos': 0.222, 'compound': 0.9884000000000001}",[],-0.7000000000000001,1967,19,187.2,8,4.0,Soul Man,16,108.7,178,0.008,0.77,0.222,0.9884000000000001
15,Association,20,"{'neg': 0.062, 'neu': 0.622, 'pos': 0.316, 'compound': 0.9905}",['pop'],0.5,1967,20,127.8,6,4.0,Never My Love,11,100.24,105,0.062,0.622,0.316,0.9905
16,Strawberry Alarm Clock,22,"{'neg': 0.124, 'neu': 0.654, 'pos': 0.223, 'compound': 0.9594}",[],4.8,1967,23,245.7,27,4.800000000000001,Incense And Peppermints,23,72.83,165,0.124,0.654,0.223,0.9594
17,Rolling Stones,34,"{'neg': 0.129, 'neu': 0.797, 'pos': 0.074, 'compound': -0.7425}","['blues', 'country', 'reggae', 'hip-hop/rnb', 'rock']",0.5,1967,24,224.1,13,4.0,Ruby Tuesday,17,100.24,187,0.129,0.797,0.074,-0.7425
18,Vicki Carr,43,"{'neg': 0.16, 'neu': 0.63, 'pos': 0.21, 'compound': 0.4671}",['pop'],-0.7000000000000001,1967,25,230.4,11,4.0,It Must Be Him,11,108.7,219,0.16,0.63,0.21,0.4671
19,Brenton Wood,32,"{'neg': 0.0, 'neu': 0.868, 'pos': 0.132, 'compound': 0.979}","['pop', 'soul']",0.1,1967,26,252.9,7,4.800000000000001,Gimme Little Sign,31,106.67,230,0.0,0.868,0.132,0.979
20,Buffalo Springfield,35,"{'neg': 0.156, 'neu': 0.799, 'pos': 0.045, 'compound': -0.9520000000000001}",['rock'],1.7000000000000002,1967,27,239.4,23,4.0,For What It's Worth,22,91.78,182,0.156,0.799,0.045,-0.9520000000000001
21,Supremes,44,"{'neg': 0.046, 'neu': 0.632, 'pos': 0.322, 'compound': 0.9985}",[],0.5,1967,28,308.7,22,4.0,Love Is Here And Now You're Gone,20,100.24,249,0.046,0.632,0.322,0.9985
22,Supremes,41,"{'neg': 0.074, 'neu': 0.719, 'pos': 0.20700000000000002, 'compound': 0.9917}",[],2.1,1967,29,348.3,27,4.4,The Happening,14,90.77,275,0.074,0.719,0.20700000000000002,0.9917
23,Beatles,74,"{'neg': 0.004, 'neu': 0.516, 'pos': 0.48, 'compound': 0.9999}","['pop', 'rock']",0.5,1967,30,510.3,11,4.0,All You Need Is Love,70,100.24,440,0.004,0.516,0.48,0.9999
24,Engelbert Humperdinck,17,"{'neg': 0.265, 'neu': 0.639, 'pos': 0.096, 'compound': -0.9794}",['pop'],1.3,1967,31,148.5,5,4.800000000000001,Release Me,4,98.21,120,0.265,0.639,0.096,-0.9794
25,Marvin Gaye and Tammi Terrell,22,"{'neg': 0.008, 'neu': 0.651, 'pos': 0.341, 'compound': 0.9975}","['pop', 'hip-hop/rnb', 'soul']",2.9,1967,32,230.4,21,5.2,Your Precious Love,9,88.74,182,0.008,0.651,0.341,0.9975
26,Jefferson Airplane,24,"{'neg': 0.179, 'neu': 0.661, 'pos': 0.159, 'compound': -0.5255000000000001}","['folk', 'rock']",3.7,1967,33,234.0,4,4.800000000000001,Somebody To Love,14,81.29,173,0.179,0.661,0.159,-0.5255000000000001
27,Van Morrison,43,"{'neg': 0.013000000000000001, 'neu': 0.932, 'pos': 0.055, 'compound': 0.918}","['blues', 'country', 'folk', 'jazz', 'hip-hop/rnb', 'rock']",-0.30000000000000004,1967,35,306.0,24,4.4,Brown Eyed Girl,17,107.69,280,0.013000000000000001,0.932,0.055,0.918
28,Procol Harum,32,"{'neg': 0.011, 'neu': 0.9490000000000001, 'pos': 0.04, 'compound': 0.5423}",['rock'],0.9,1967,38,237.6,25,4.4,A Whiter Shade Of Pale,16,99.23,196,0.011,0.9490000000000001,0.04,0.5423
29,Buckinghams,37,"{'neg': 0.317, 'neu': 0.654, 'pos': 0.029, 'compound': -0.9937}",[],0.1,1967,39,191.7,10,3.6,Don't You Care,17,101.26,165,0.317,0.654,0.029,-0.9937
30,Diana Ross and The Supremes,49,"{'neg': 0.154, 'neu': 0.661, 'pos': 0.185, 'compound': 0.9468000000000001}",[],0.5,1967,41,305.1,24,4.0,Reflections,20,100.24,249,0.154,0.661,0.185,0.9468000000000001
31,Hollies,40,"{'neg': 0.046, 'neu': 0.925, 'pos': 0.029, 'compound': -0.3094}",['pop'],0.5,1967,42,248.4,23,4.0,On A Carousel,25,100.24,206,0.046,0.925,0.029,-0.3094
32,Dionne Warwick,20,"{'neg': 0.055, 'neu': 0.733, 'pos': 0.212, 'compound': 0.9805}","['pop', 'hip-hop/rnb', 'rock', 'soul']",2.5,1967,44,181.8,12,4.800000000000001,Alfie,4,89.75,141,0.055,0.733,0.212,0.9805
33,Tremeloes,20,"{'neg': 0.099, 'neu': 0.8200000000000001, 'pos': 0.081, 'compound': -0.6328}",[],1.3,1967,45,183.6,9,4.800000000000001,Silence Is Golden,7,98.21,155,0.099,0.8200000000000001,0.081,-0.6328
34,Scott Mckenzie,21,"{'neg': 0.015, 'neu': 0.899, 'pos': 0.08700000000000001, 'compound': 0.8225}",[],2.9,1967,48,170.1,13,4.0,San Francisco,12,83.32,119,0.015,0.899,0.08700000000000001,0.8225
35,Cowsills,51,"{'neg': 0.022, 'neu': 0.6990000000000001, 'pos': 0.279, 'compound': 0.9987}",['pop'],0.9,1967,49,418.5,22,4.4,"The Rain, The Park And Other Things",27,99.23,337,0.022,0.6990000000000001,0.279,0.9987
36,Herman's Hermits,27,"{'neg': 0.038, 'neu': 0.742, 'pos': 0.22, 'compound': 0.9921000000000001}",[],2.5,1967,50,239.4,15,4.800000000000001,There's A Kind Of Hush,11,89.75,191,0.038,0.742,0.22,0.9921000000000001
37,Buckinghams,44,"{'neg': 0.058, 'neu': 0.742, 'pos': 0.2, 'compound': 0.9922000000000001}",[],0.9,1967,51,333.0,26,4.4,"Mercy, Mercy, Mercy",22,99.23,285,0.058,0.742,0.2,0.9922000000000001
38,Petula Clark,20,"{'neg': 0.015, 'neu': 0.629, 'pos': 0.356, 'compound': 0.9938}",[],0.5,1967,52,133.2,11,4.0,This Is My Song,4,100.24,113,0.015,0.629,0.356,0.9938
