,artist,num_lines,sentiment,tags,f_k_grade,year,pos,num_syllables,difficult_words,fog_index,title,num_dupes,flesch_index,num_words,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound,genre,danceability,energy,loudness,instrumentalness,liveness,spotify_id,spotify_url,duration_ms
0,Beyonce,70,"{'neg': 0.024, 'neu': 0.928, 'pos': 0.049, 'compound': 0.8195}","['pop', 'hip-hop/rnb']",1.3,2007,1,647.1,34,4.800000000000001,Irreplaceable,45,98.21,551,0.024,0.928,0.049,0.8195,pop,0.447,0.694,-4.637,5.46e-06,0.167,6RX5iL93VZ5fKmyvNXvF1r,https://api.spotify.com/v1/tracks/6RX5iL93VZ5fKmyvNXvF1r,227853.0
1,Rihanna,95,"{'neg': 0.022, 'neu': 0.914, 'pos': 0.064, 'compound': 0.9734}","['electronic/dance', 'pop', 'reggae', 'hip-hop/rnb']",1.7000000000000002,2007,2,676.8,44,4.0,Umbrella,54,91.78,529,0.022,0.914,0.064,0.9734,electronic/dance,0.583,0.829,-4.603,0.0,0.0426,49FYlytm3dAAraYgpoJZux,https://api.spotify.com/v1/tracks/49FYlytm3dAAraYgpoJZux,275987.0
2,Gwen Stefani,60,"{'neg': 0.091, 'neu': 0.741, 'pos': 0.168, 'compound': 0.9914000000000001}","['pop', 'hip-hop/rnb', 'rock']",2.9,2007,3,626.4,39,5.2,The Sweet Escape,67,88.74,498,0.091,0.741,0.168,0.9914000000000001,pop,0.756,0.77,-3.502,0.0,0.178,66ZcOcouenzZEnzTJvoFmH,https://api.spotify.com/v1/tracks/66ZcOcouenzZEnzTJvoFmH,246467.0
3,Fergie,44,"{'neg': 0.044, 'neu': 0.747, 'pos': 0.21, 'compound': 0.9962000000000001}",['pop'],1.7000000000000002,2007,4,431.1,26,5.2,Big Girls Don't Cry,33,97.2,363,0.044,0.747,0.21,0.9962000000000001,pop,0.708,0.641,-4.296,0.0,0.0945,3Q4WeJmzxuDpzMu9QjQqbM,https://api.spotify.com/v1/tracks/3Q4WeJmzxuDpzMu9QjQqbM,268120.0
4,T-Pain,77,"{'neg': 0.008, 'neu': 0.901, 'pos': 0.091, 'compound': 0.9902000000000001}",['pop'],0.1,2007,5,597.6,36,4.800000000000001,Buy U A Drank,50,106.67,551,0.008,0.901,0.091,0.9902000000000001,pop,0.451,0.55,-8.137,0.0,0.0737,2aIdVb8v9KTpEZnftkz2mD,https://api.spotify.com/v1/tracks/2aIdVb8v9KTpEZnftkz2mD,227960.0
5,Carrie Underwood,38,"{'neg': 0.093, 'neu': 0.8270000000000001, 'pos': 0.08, 'compound': -0.4469}","['country', 'pop']",2.5,2007,6,362.7,27,4.800000000000001,Before He Cheats,13,89.75,278,0.093,0.8270000000000001,0.08,-0.4469,country,0.519,0.749,-3.318,0.0,0.119,0ZUo4YjG4saFnEJhdWp9Bt,https://api.spotify.com/v1/tracks/0ZUo4YjG4saFnEJhdWp9Bt,199947.0
6,Plain White T's,61,"{'neg': 0.046, 'neu': 0.8, 'pos': 0.154, 'compound': 0.9943000000000001}",[],-0.30000000000000004,2007,7,421.2,24,4.4,Hey There Delilah,29,107.69,367,0.046,0.8,0.154,0.9943000000000001,none,0.657,0.291,-10.572,0.0,0.114,4RCWB3V8V0dignt99LZ8vH,https://api.spotify.com/v1/tracks/4RCWB3V8V0dignt99LZ8vH,232533.0
7,Akon,61,"{'neg': 0.091, 'neu': 0.878, 'pos': 0.032, 'compound': -0.9866}",[],2.1,2007,8,657.0,61,5.6,I Wanna Love You,34,96.18,561,0.091,0.878,0.032,-0.9866,none,0.866,0.454,-9.383,1.49e-06,0.275,4xAk8Lw82G3YoVSOdVAsBx,https://api.spotify.com/v1/tracks/4xAk8Lw82G3YoVSOdVAsBx,247067.0
8,Nelly Furtado,33,"{'neg': 0.05, 'neu': 0.839, 'pos': 0.111, 'compound': 0.9327000000000001}","['folk', 'pop', 'rock']",0.1,2007,9,252.9,12,4.800000000000001,Say It Right,10,106.67,240,0.05,0.839,0.111,0.9327000000000001,folk,0.871,0.869,-6.308,0.00111,0.053,5AtFypwxB2ShXSxNj12dEd,https://api.spotify.com/v1/tracks/5AtFypwxB2ShXSxNj12dEd,223080.0
9,Fergie,73,"{'neg': 0.112, 'neu': 0.649, 'pos': 0.23900000000000002, 'compound': 0.9967}",['pop'],1.3,2007,10,681.3,43,4.800000000000001,Glamorous,44,98.21,569,0.112,0.649,0.23900000000000002,0.9967,pop,0.81,0.755,-6.408,0.0,0.0857,4KTtYhxFtFL7mBwnjkKfLm,https://api.spotify.com/v1/tracks/4KTtYhxFtFL7mBwnjkKfLm,246573.0
