,artist,num_lines,sentiment,tags,f_k_grade,year,pos,num_syllables,difficult_words,fog_index,title,num_dupes,flesch_index,num_words,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound
0,Mariah Carey,37,"{'neg': 0.059000000000000004, 'neu': 0.6880000000000001, 'pos': 0.253, 'compound': 0.9956}","['pop', 'hip-hop/rnb']",2.5,1996,2,341.1,30,4.800000000000001,One Sweet Day,21,89.75,263,0.059000000000000004,0.6880000000000001,0.253,0.9956
1,Celine Dion,64,"{'neg': 0.054, 'neu': 0.713, 'pos': 0.233, 'compound': 0.9984000000000001}",['pop'],-0.30000000000000004,1996,3,508.5,16,4.4,Because You Loved Me,27,107.69,443,0.054,0.713,0.233,0.9984000000000001
2,Mariah Carey,71,"{'neg': 0.042, 'neu': 0.798, 'pos': 0.161, 'compound': 0.9965}","['pop', 'hip-hop/rnb']",0.9,1996,5,550.8,14,4.4,Always Be My Baby,54,99.23,468,0.042,0.798,0.161,0.9965
3,Tracy Chapman,42,"{'neg': 0.046, 'neu': 0.81, 'pos': 0.14400000000000002, 'compound': 0.9877}",['folk'],1.3,1996,6,373.5,17,4.800000000000001,Give Me One Reason,26,98.21,311,0.046,0.81,0.14400000000000002,0.9877
4,Bone Thugs-N-Harmony,90,"{'neg': 0.117, 'neu': 0.6970000000000001, 'pos': 0.186, 'compound': 0.9944000000000001}",[],2.9,1996,7,925.2,73,5.2,Tha Crossroads,40,88.74,727,0.117,0.6970000000000001,0.186,0.9944000000000001
5,Keith Sweat,54,"{'neg': 0.053, 'neu': 0.852, 'pos': 0.096, 'compound': 0.9384}",['hip-hop/rnb'],1.3,1996,10,615.6,20,6.0,Twisted,33,103.63,553,0.053,0.852,0.096,0.9384
6,Everything But The Girl,41,"{'neg': 0.095, 'neu': 0.801, 'pos': 0.105, 'compound': 0.8504}",['electronic/dance'],1.7000000000000002,1996,12,271.8,15,4.0,Missing,24,91.78,214,0.095,0.801,0.105,0.8504
7,Alanis Morissette,41,"{'neg': 0.044, 'neu': 0.722, 'pos': 0.234, 'compound': 0.9952000000000001}","['alternative/indie', 'pop', 'rock']",1.3,1996,13,378.9,24,4.800000000000001,Ironic,17,98.21,304,0.044,0.722,0.234,0.9952000000000001
8,Whitney Houston,29,"{'neg': 0.067, 'neu': 0.757, 'pos': 0.177, 'compound': 0.9723}",['pop'],3.7,1996,14,282.6,16,4.800000000000001,Exhale,16,81.29,203,0.067,0.757,0.177,0.9723
9,Brandy,28,"{'neg': 0.051000000000000004, 'neu': 0.889, 'pos': 0.059000000000000004, 'compound': 0.7096}","['pop', 'hip-hop/rnb']",1.7000000000000002,1996,16,280.8,25,5.2,Sittin' Up In My Room,8,97.2,229,0.051000000000000004,0.889,0.059000000000000004,0.7096
10,Celine Dion,95,"{'neg': 0.068, 'neu': 0.771, 'pos': 0.161, 'compound': 0.9962000000000001}",['pop'],0.9,1996,18,738.9,31,4.4,It's All Coming Back To Me Now,46,99.23,638,0.068,0.771,0.161,0.9962000000000001
11,Eric Clapton,23,"{'neg': 0.025, 'neu': 0.8230000000000001, 'pos': 0.151, 'compound': 0.978}","['blues', 'pop', 'reggae', 'rock']",1.7000000000000002,1996,19,227.7,7,5.2,Change The World,8,97.2,194,0.025,0.8230000000000001,0.151,0.978
12,LL Cool J,67,"{'neg': 0.07200000000000001, 'neu': 0.6970000000000001, 'pos': 0.23, 'compound': 0.999}",[],1.7000000000000002,1996,20,704.7,76,5.2,Hey Lover,11,97.2,589,0.07200000000000001,0.6970000000000001,0.23,0.999
13,LL Cool J,69,"{'neg': 0.043000000000000003, 'neu': 0.837, 'pos': 0.12, 'compound': 0.9919}",[],0.5,1996,21,620.1,56,5.2,Loungin,20,105.66,564,0.043000000000000003,0.837,0.12,0.9919
14,Jann Arden,34,"{'neg': 0.082, 'neu': 0.8170000000000001, 'pos': 0.10200000000000001, 'compound': 0.8156}",['pop'],2.5,1996,22,319.5,16,4.800000000000001,Insensitive,16,89.75,250,0.082,0.8170000000000001,0.10200000000000001,0.8156
15,Goo Goo Dolls,32,"{'neg': 0.08600000000000001, 'neu': 0.836, 'pos': 0.077, 'compound': -0.6023000000000001}",[],0.9,1996,24,250.2,13,4.4,Name,11,99.23,213,0.08600000000000001,0.836,0.077,-0.6023000000000001
16,R. Kelly,31,"{'neg': 0.056, 'neu': 0.9, 'pos': 0.044, 'compound': -0.1168}","['hip-hop/rnb', 'pop', 'hip-hop/rnb', 'soul']",0.9,1996,27,352.8,16,5.6,I Can't Sleep Baby,14,104.64,307,0.056,0.9,0.044,-0.1168
17,Joan Osborne,44,"{'neg': 0.034, 'neu': 0.612, 'pos': 0.355, 'compound': 0.9985}",['folk'],-0.30000000000000004,1996,30,333.9,16,4.4,One Of Us,25,107.69,296,0.034,0.612,0.355,0.9985
18,Natalie Merchant,31,"{'neg': 0.036000000000000004, 'neu': 0.763, 'pos': 0.201, 'compound': 0.9913000000000001}",['folk'],1.3,1996,31,299.7,27,4.800000000000001,Wonder,15,98.21,240,0.036000000000000004,0.763,0.201,0.9913000000000001
19,Mary J. Blige,51,"{'neg': 0.149, 'neu': 0.662, 'pos': 0.189, 'compound': 0.9527}",[],0.9,1996,32,384.3,17,4.4,Not Gon' Cry,24,99.23,325,0.149,0.662,0.189,0.9527
20,Coolio,63,"{'neg': 0.095, 'neu': 0.738, 'pos': 0.167, 'compound': 0.9935}",[],1.3,1996,33,610.2,49,4.800000000000001,Gangsta's Paradise,35,98.21,489,0.095,0.738,0.167,0.9935
21,112,90,"{'neg': 0.043000000000000003, 'neu': 0.794, 'pos': 0.163, 'compound': 0.9974000000000001}",[],0.1,1996,34,765.0,49,4.800000000000001,Only You,37,106.67,691,0.043000000000000003,0.794,0.163,0.9974000000000001
22,R. Kelly,33,"{'neg': 0.10200000000000001, 'neu': 0.792, 'pos': 0.105, 'compound': 0.5812}","['hip-hop/rnb', 'pop', 'hip-hop/rnb', 'soul']",0.9,1996,35,263.7,17,4.4,Down Low,22,99.23,229,0.10200000000000001,0.792,0.105,0.5812
23,SWV,33,"{'neg': 0.04, 'neu': 0.748, 'pos': 0.212, 'compound': 0.9951000000000001}",[],0.5,1996,36,297.9,11,5.2,You're The One,16,105.66,265,0.04,0.748,0.212,0.9951000000000001
24,Deep Blue Something,40,"{'neg': 0.07, 'neu': 0.888, 'pos': 0.042, 'compound': -0.7953}",[],1.3,1996,39,358.2,12,4.800000000000001,Breakfast At Tiffany's,32,98.21,306,0.07,0.888,0.042,-0.7953
25,Collective Soul,38,"{'neg': 0.067, 'neu': 0.804, 'pos': 0.129, 'compound': 0.9514}",[],-0.7000000000000001,1996,41,232.2,15,4.0,The World I Know,23,108.7,206,0.067,0.804,0.129,0.9514
26,3t,78,"{'neg': 0.032, 'neu': 0.724, 'pos': 0.245, 'compound': 0.9989}",[],0.9,1996,43,576.9,18,4.4,Anything,32,99.23,482,0.032,0.724,0.245,0.9989
27,Smashing Pumpkins,33,"{'neg': 0.14400000000000002, 'neu': 0.783, 'pos': 0.073, 'compound': -0.9097000000000001}","['alternative/indie', 'rock']",0.9,1996,44,274.5,27,4.4,1979,10,99.23,222,0.14400000000000002,0.783,0.073,-0.9097000000000001
28,Total,37,"{'neg': 0.064, 'neu': 0.59, 'pos': 0.34600000000000003, 'compound': 0.9974000000000001}",[],-0.30000000000000004,1996,47,260.1,15,4.4,Kissin' You,26,107.69,239,0.064,0.59,0.34600000000000003,0.9974000000000001
29,Whitney Houston,58,"{'neg': 0.07100000000000001, 'neu': 0.76, 'pos': 0.169, 'compound': 0.9907}",['pop'],-0.30000000000000004,1996,48,401.4,11,4.4,Count On Me,26,107.69,371,0.07100000000000001,0.76,0.169,0.9907
30,Mariah Carey,48,"{'neg': 0.011, 'neu': 0.741, 'pos': 0.248, 'compound': 0.9956}","['pop', 'hip-hop/rnb']",0.5,1996,49,297.9,18,4.0,Fantasy,26,100.24,247,0.011,0.741,0.248,0.9956
31,Hootie and The Blowfish,53,"{'neg': 0.127, 'neu': 0.712, 'pos': 0.161, 'compound': 0.6483}",[],2.1,1996,50,441.9,29,4.4,Time,20,90.77,340,0.127,0.712,0.161,0.6483
32,Madonna,31,"{'neg': 0.137, 'neu': 0.776, 'pos': 0.08600000000000001, 'compound': -0.8976000000000001}","['electronic/dance', 'electronic/dance', 'pop']",0.9,1996,51,232.2,12,4.4,You'll See,23,99.23,195,0.137,0.776,0.08600000000000001,-0.8976000000000001
33,Blues Traveler,53,"{'neg': 0.161, 'neu': 0.746, 'pos': 0.092, 'compound': -0.983}",['rock'],0.9,1996,60,425.7,40,4.4,Hook,10,99.23,365,0.161,0.746,0.092,-0.983
34,LL Cool J,76,"{'neg': 0.07, 'neu': 0.8130000000000001, 'pos': 0.117, 'compound': 0.9803000000000001}",[],0.1,1996,61,614.7,52,4.800000000000001,Doin It,34,106.67,580,0.07,0.8130000000000001,0.117,0.9803000000000001
35,George Michael,46,"{'neg': 0.054, 'neu': 0.749, 'pos': 0.197, 'compound': 0.9931000000000001}","['pop', 'rock']",0.9,1996,62,378.0,32,4.4,Fastlove,27,99.23,311,0.054,0.749,0.197,0.9931000000000001
36,Kris Kross,43,"{'neg': 0.08600000000000001, 'neu': 0.8250000000000001, 'pos': 0.089, 'compound': 0.7166}",[],1.7000000000000002,1996,64,439.2,47,5.2,Tonite's Tha Night,17,97.2,369,0.08600000000000001,0.8250000000000001,0.089,0.7166
37,Bodeans,17,"{'neg': 0.0, 'neu': 0.589, 'pos': 0.41100000000000003, 'compound': 0.9964000000000001}",[],6.0,1996,67,196.2,6,4.800000000000001,Closer To Free,7,64.37,119,0.0,0.589,0.41100000000000003,0.9964000000000001
38,No Doubt,35,"{'neg': 0.088, 'neu': 0.847, 'pos': 0.065, 'compound': -0.648}",['rock'],1.3,1996,68,309.6,17,4.800000000000001,Just A Girl,10,98.21,264,0.088,0.847,0.065,-0.648
39,Aaliyah,33,"{'neg': 0.129, 'neu': 0.745, 'pos': 0.126, 'compound': 0.23920000000000002}",['pop'],0.1,1996,69,262.8,8,4.800000000000001,If Your Girl Only Knew,20,106.67,234,0.129,0.745,0.126,0.23920000000000002
40,John Mellencamp,30,"{'neg': 0.028, 'neu': 0.868, 'pos': 0.10400000000000001, 'compound': 0.9598000000000001}","['pop', 'rock']",2.1,1996,71,327.6,29,5.6,Key West Intermezzo,11,96.18,274,0.028,0.868,0.10400000000000001,0.9598000000000001
41,Ginuwine,58,"{'neg': 0.039, 'neu': 0.9380000000000001, 'pos': 0.023, 'compound': -0.683}",[],0.1,1996,72,340.2,26,3.6,Pony,36,101.26,282,0.039,0.9380000000000001,0.023,-0.683
42,Keith Sweat,44,"{'neg': 0.059000000000000004, 'neu': 0.707, 'pos': 0.233, 'compound': 0.9953000000000001}",['hip-hop/rnb'],1.3,1996,73,400.5,13,4.800000000000001,Nobody,20,98.21,323,0.059000000000000004,0.707,0.233,0.9953000000000001
43,Sheryl Crow,37,"{'neg': 0.097, 'neu': 0.675, 'pos': 0.227, 'compound': 0.9856}","['country', 'folk', 'pop', 'rock']",0.9,1996,75,281.7,24,4.4,If It Makes You Happy,21,99.23,234,0.097,0.675,0.227,0.9856
44,Sophie B. Hawkins,58,"{'neg': 0.005, 'neu': 0.8240000000000001, 'pos': 0.171, 'compound': 0.9961000000000001}","['pop', 'rock']",-0.30000000000000004,1996,76,421.2,19,4.4,As I Lay Me Down,35,107.69,383,0.005,0.8240000000000001,0.171,0.9961000000000001
45,Mc Lyte,75,"{'neg': 0.124, 'neu': 0.745, 'pos': 0.131, 'compound': -0.5258}","['hip-hop/rnb', 'hip-hop/rnb']",1.3,1996,77,658.8,68,4.800000000000001,"Keep On, Keepin' On",4,98.21,543,0.124,0.745,0.131,-0.5258
46,Natalie Merchant,27,"{'neg': 0.178, 'neu': 0.685, 'pos': 0.137, 'compound': -0.5567}",['folk'],1.3,1996,78,143.1,13,3.6,Jealousy,13,92.8,112,0.178,0.685,0.137,-0.5567
47,Melissa Etheridge,53,"{'neg': 0.139, 'neu': 0.706, 'pos': 0.155, 'compound': 0.0629}",[],0.1,1996,79,290.7,15,3.6,I Want To Come Over,36,101.26,250,0.139,0.706,0.155,0.0629
48,Toni Braxton,47,"{'neg': 0.154, 'neu': 0.677, 'pos': 0.17, 'compound': 0.708}",['pop'],0.9,1996,81,341.1,16,4.4,Un-Break My Heart,24,99.23,291,0.154,0.677,0.17,0.708
49,R. Kelly,51,"{'neg': 0.028, 'neu': 0.8130000000000001, 'pos': 0.159, 'compound': 0.9948}","['hip-hop/rnb', 'pop', 'hip-hop/rnb', 'soul']",1.7000000000000002,1996,83,552.6,19,5.2,You Remind Me Of Something,28,97.2,454,0.028,0.8130000000000001,0.159,0.9948
50,Janet Jackson,44,"{'neg': 0.018000000000000002, 'neu': 0.625, 'pos': 0.358, 'compound': 0.9989}","['electronic/dance', 'pop']",2.1,1996,84,378.9,29,4.4,Runaway,25,90.77,303,0.018000000000000002,0.625,0.358,0.9989
51,New Edition,74,"{'neg': 0.08, 'neu': 0.8160000000000001, 'pos': 0.105, 'compound': 0.7193}","['pop', 'hip-hop/rnb']",-0.7000000000000001,1996,86,466.2,30,4.0,Hit Me Off,47,108.7,410,0.08,0.8160000000000001,0.105,0.7193
52,Total,52,"{'neg': 0.091, 'neu': 0.8280000000000001, 'pos': 0.081, 'compound': -0.5616}",[],-0.30000000000000004,1996,87,402.3,14,4.4,No One Else,33,107.69,356,0.091,0.8280000000000001,0.081,-0.5616
53,Junior M.A.F.I.A.,98,"{'neg': 0.192, 'neu': 0.757, 'pos': 0.051000000000000004, 'compound': -0.999}",[],1.3,1996,89,837.0,104,4.800000000000001,Get Money,11,98.21,692,0.192,0.757,0.051000000000000004,-0.999
54,Maxi Priest,61,"{'neg': 0.097, 'neu': 0.782, 'pos': 0.121, 'compound': 0.903}",['reggae'],0.9,1996,90,446.4,39,4.4,That Girl,14,99.23,374,0.097,0.782,0.121,0.903
55,Metallica,49,"{'neg': 0.223, 'neu': 0.714, 'pos': 0.063, 'compound': -0.9945}",['rock'],-0.7000000000000001,1996,92,306.0,10,4.0,Until It Sleeps,31,108.7,276,0.223,0.714,0.063,-0.9945
56,Ace Of Base,43,"{'neg': 0.006, 'neu': 0.663, 'pos': 0.33, 'compound': 0.9986}","['electronic/dance', 'pop']",3.3,1996,94,395.1,17,4.4,Beautiful Life,31,82.31,274,0.006,0.663,0.33,0.9986
57,Take That,55,"{'neg': 0.073, 'neu': 0.803, 'pos': 0.124, 'compound': 0.7876000000000001}",['pop'],-0.30000000000000004,1996,95,407.7,25,4.4,Back For Good,21,107.69,363,0.073,0.803,0.124,0.7876000000000001
58,Faith Evans,39,"{'neg': 0.07200000000000001, 'neu': 0.756, 'pos': 0.17200000000000001, 'compound': 0.9914000000000001}",[],0.5,1996,97,369.0,19,5.2,Soon As I Get Home,12,105.66,322,0.07200000000000001,0.756,0.17200000000000001,0.9914000000000001
59,Hootie and The Blowfish,53,"{'neg': 0.11900000000000001, 'neu': 0.753, 'pos': 0.128, 'compound': 0.1733}",[],0.5,1996,99,342.9,18,4.0,Only Wanna Be With You,24,100.24,295,0.11900000000000001,0.753,0.128,0.1733
