,artist,num_lines,sentiment,tags,f_k_grade,year,pos,num_syllables,difficult_words,fog_index,title,num_dupes,flesch_index,num_words,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound,genre,danceability,energy,loudness,instrumentalness,liveness,spotify_id,spotify_url,duration_ms
0,Wings,42,"{'neg': 0.021, 'neu': 0.639, 'pos': 0.341, 'compound': 0.9993000000000001}",['rock'],1.7000000000000002,1976,1,421.2,8,5.2,Silly Love Songs,20,97.2,365,0.021,0.639,0.341,0.9993000000000001,rock,0.739,0.335,-16.23,0.244,0.131,3bC0IKk62yB6TDaratb1s2,https://api.spotify.com/v1/tracks/3bC0IKk62yB6TDaratb1s2,352933.0
1,Elton John,60,"{'neg': 0.014, 'neu': 0.974, 'pos': 0.012, 'compound': -0.15}","['pop', 'rock']",-0.30000000000000004,1976,2,410.4,7,4.4,Don't Go Breaking My Heart,40,107.69,378,0.014,0.974,0.012,-0.15,pop,,,,,,,,
2,Johnnie Taylor,65,"{'neg': 0.13, 'neu': 0.762, 'pos': 0.108, 'compound': 0.36050000000000004}",[],0.9,1976,3,515.7,24,4.4,Disco Lady,41,99.23,413,0.13,0.762,0.108,0.36050000000000004,none,0.719,0.79,-8.002,0.0,0.0573,1tMyqN7bNCokdg7jWgKPc8,https://api.spotify.com/v1/tracks/1tMyqN7bNCokdg7jWgKPc8,267067.0
3,Wild Cherry,65,"{'neg': 0.146, 'neu': 0.655, 'pos': 0.198, 'compound': 0.9878}","['disco', 'soul']",0.9,1976,5,547.2,36,4.4,Play That Funky Music,36,99.23,448,0.146,0.655,0.198,0.9878,disco,0.814,0.672,-12.068,0.0,0.061,5uuJruktM9fMdN9Va0DUMl,https://api.spotify.com/v1/tracks/5uuJruktM9fMdN9Va0DUMl,300000.0
4,Manhattans,46,"{'neg': 0.128, 'neu': 0.758, 'pos': 0.114, 'compound': 0.127}",[],0.9,1976,6,344.7,18,4.4,Kiss And Say Goodbye,23,99.23,295,0.128,0.758,0.114,0.127,none,0.645,0.42,-10.09,0.0,0.125,0rHiGIRASJq8snJGFJMpnI,https://api.spotify.com/v1/tracks/0rHiGIRASJq8snJGFJMpnI,266733.0
5,Paul Simon,50,"{'neg': 0.079, 'neu': 0.754, 'pos': 0.167, 'compound': 0.9907}","['classical/soundtrack', 'folk', 'pop', 'rock']",-0.30000000000000004,1976,8,378.9,19,4.4,50 Ways To Leave Your Lover,32,107.69,349,0.079,0.754,0.167,0.9907,classical/soundtrack,0.815,0.372,-12.814,0.000116,0.0767,6Qb7gtV6Q4MnUjSbkFcopl,https://api.spotify.com/v1/tracks/6Qb7gtV6Q4MnUjSbkFcopl,217347.0
6,Daryl Hall and John Oates,14,"{'neg': 0.015, 'neu': 0.8240000000000001, 'pos': 0.161, 'compound': 0.9472}",[],0.9,1976,11,139.5,10,5.6,Sara Smile,4,104.64,127,0.015,0.8240000000000001,0.161,0.9472,none,0.592,0.397,-10.81,0.000894,0.119,1qjrYozGqc7upUgfN776lZ,https://api.spotify.com/v1/tracks/1qjrYozGqc7upUgfN776lZ,185293.0
7,Barry Manilow,32,"{'neg': 0.056, 'neu': 0.804, 'pos': 0.139, 'compound': 0.9666}",['rock'],1.7000000000000002,1976,13,310.5,10,5.2,I Write The Songs,19,97.2,267,0.056,0.804,0.139,0.9666,rock,0.397,0.381,-8.553,0.0,0.0829,5VU6nvX3BqkqBmOJ2d9vhW,https://api.spotify.com/v1/tracks/5VU6nvX3BqkqBmOJ2d9vhW,239187.0
8,Diana Ross,35,"{'neg': 0.032, 'neu': 0.394, 'pos': 0.5740000000000001, 'compound': 0.9992000000000001}","['disco', 'jazz', 'pop', 'hip-hop/rnb', 'soul']",-1.0,1976,15,197.1,13,3.6,Love Hangover,18,109.72,173,0.032,0.394,0.5740000000000001,0.9992000000000001,disco,0.508,0.669,-10.34,0.0154,0.0523,4UqPeeSyRt59KZmC0aA2Ni,https://api.spotify.com/v1/tracks/4UqPeeSyRt59KZmC0aA2Ni,468640.0
9,Seals and Crofts,30,"{'neg': 0.043000000000000003, 'neu': 0.754, 'pos': 0.202, 'compound': 0.9929}",[],2.1,1976,16,338.4,19,5.6,Get Closer,15,96.18,288,0.043000000000000003,0.754,0.202,0.9929,none,0.653,0.437,-12.641,6.74e-05,0.0689,5Eq0mobXSnyWu1dpE6lSdY,https://api.spotify.com/v1/tracks/5Eq0mobXSnyWu1dpE6lSdY,238147.0
10,Andrea True Connection,42,"{'neg': 0.022, 'neu': 0.734, 'pos': 0.244, 'compound': 0.9947}",[],0.5,1976,17,291.6,4,4.0,"More, More, More",24,100.24,247,0.022,0.734,0.244,0.9947,none,0.663,0.792,-5.476,0.000139,0.111,4hepyFFOO9I7oZCNn3T2sz,https://api.spotify.com/v1/tracks/4hepyFFOO9I7oZCNn3T2sz,222613.0
11,England Dan and John Ford Coley,28,"{'neg': 0.052000000000000005, 'neu': 0.803, 'pos': 0.145, 'compound': 0.9742000000000001}",[],1.3,1976,21,243.0,14,4.800000000000001,I'd Really Love To See You Tonight,13,98.21,205,0.052000000000000005,0.803,0.145,0.9742000000000001,none,,,,,,,,
