,artist,num_lines,sentiment,tags,f_k_grade,year,pos,num_syllables,difficult_words,fog_index,title,num_dupes,flesch_index,num_words,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound,genre,danceability,energy,loudness,instrumentalness,liveness,spotify_id,spotify_url,duration_ms
0,Faith Hill,37,"{'neg': 0.037, 'neu': 0.963, 'pos': 0.0, 'compound': -0.8458}","['country', 'pop']",0.9,2000,1,294.3,15,4.4,Breathe,17,99.23,254,0.037,0.963,0.0,-0.8458,country,0.529,0.496,-9.007,0.0,0.251,3y4LxiYMgDl4RethdzpmNe,https://api.spotify.com/v1/tracks/3y4LxiYMgDl4RethdzpmNe,250547.0
1,Destiny's Child,105,"{'neg': 0.035, 'neu': 0.852, 'pos': 0.113, 'compound': 0.9968}","['pop', 'hip-hop/rnb']",1.3,2000,6,947.7,25,4.800000000000001,Say My Name,88,98.21,780,0.035,0.852,0.113,0.9968,pop,0.713,0.678,-3.525,0.0,0.149,7H6ev70Weq6DdpZyyTmUXk,https://api.spotify.com/v1/tracks/7H6ev70Weq6DdpZyyTmUXk,271333.0
2,Savage Garden,42,"{'neg': 0.039, 'neu': 0.72, 'pos': 0.241, 'compound': 0.9964000000000001}","['pop', 'rock']",0.9,2000,7,355.5,18,4.4,I Knew I Loved You,27,99.23,291,0.039,0.72,0.241,0.9964000000000001,pop,0.61,0.497,-9.88,6.11e-05,0.0884,6nozDLxeL0TE4MS9GqYU1v,https://api.spotify.com/v1/tracks/6nozDLxeL0TE4MS9GqYU1v,250360.0
3,matchbox twenty,50,"{'neg': 0.08600000000000001, 'neu': 0.8160000000000001, 'pos': 0.097, 'compound': -0.5283}",['rock'],-0.7000000000000001,2000,9,322.2,16,4.0,Bent,31,108.7,290,0.08600000000000001,0.8160000000000001,0.097,-0.5283,rock,0.518,0.83,-6.814,3.85e-06,0.375,6fA7akEuTUL3dW1V0GELaZ,https://api.spotify.com/v1/tracks/6fA7akEuTUL3dW1V0GELaZ,256133.0
4,Toni Braxton,56,"{'neg': 0.085, 'neu': 0.802, 'pos': 0.113, 'compound': 0.9466}",['pop'],0.1,2000,10,465.3,23,4.800000000000001,He Wasn't Man Enough,32,106.67,413,0.085,0.802,0.113,0.9466,pop,0.739,0.947,-1.915,2.99e-05,0.326,7f1Dmr246cJ9uQYdbplTbh,https://api.spotify.com/v1/tracks/7f1Dmr246cJ9uQYdbplTbh,261933.0
5,Aaliyah,69,"{'neg': 0.076, 'neu': 0.91, 'pos': 0.014, 'compound': -0.9879}",['pop'],0.5,2000,12,599.4,16,5.2,Try Again,56,105.66,556,0.076,0.91,0.014,-0.9879,pop,0.635,0.841,-6.369,0.0,0.163,52IKUZIr66lMvy7COxmG9x,https://api.spotify.com/v1/tracks/52IKUZIr66lMvy7COxmG9x,284240.0
6,Sisqo,111,"{'neg': 0.046, 'neu': 0.84, 'pos': 0.115, 'compound': 0.9936}",[],0.1,2000,14,942.3,19,4.800000000000001,Thong Song,104,106.67,877,0.046,0.84,0.115,0.9936,none,0.706,0.888,-6.959,9.64e-05,0.07,5Mmk2ii6laakqfeCT7OnVD,https://api.spotify.com/v1/tracks/5Mmk2ii6laakqfeCT7OnVD,253733.0
7,3 Doors Down,30,"{'neg': 0.122, 'neu': 0.774, 'pos': 0.10400000000000001, 'compound': -0.7929}",['rock'],2.1,2000,15,344.7,18,5.6,Kryptonite,21,96.18,295,0.122,0.774,0.10400000000000001,-0.7929,rock,0.545,0.865,-5.708,1.12e-05,0.168,6ZOBP3NvffbU4SZcrnt1k6,https://api.spotify.com/v1/tracks/6ZOBP3NvffbU4SZcrnt1k6,233933.0
8,Madonna,42,"{'neg': 0.05, 'neu': 0.8270000000000001, 'pos': 0.123, 'compound': 0.9579000000000001}","['electronic/dance', 'electronic/dance', 'pop']",3.3,2000,17,356.4,18,4.4,Music,36,82.31,260,0.05,0.8270000000000001,0.123,0.9579000000000001,electronic/dance,0.736,0.802,-8.527,0.0876,0.14,2BcOZ4vOeu2qZowIHrvTYy,https://api.spotify.com/v1/tracks/2BcOZ4vOeu2qZowIHrvTYy,225973.0
9,Christina Aguilera,59,"{'neg': 0.031, 'neu': 0.734, 'pos': 0.23500000000000001, 'compound': 0.9987}","['pop', 'rock']",0.5,2000,19,574.2,36,5.2,What A Girl Wants,27,105.66,505,0.031,0.734,0.23500000000000001,0.9987,pop,0.754,0.819,-6.833,0.0,0.345,5bGmuxShUba9maPswDnhCs,https://api.spotify.com/v1/tracks/5bGmuxShUba9maPswDnhCs,215800.0
