,artist,num_lines,sentiment,tags,f_k_grade,year,pos,num_syllables,difficult_words,fog_index,title,num_dupes,flesch_index,num_words,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound
0,Chicago,59,"{'neg': 0.04, 'neu': 0.8250000000000001, 'pos': 0.136, 'compound': 0.9918}","['jazz', 'pop', 'rock']",-0.30000000000000004,1989,1,422.1,22,4.4,Look Away,42,107.69,377,0.04,0.8250000000000001,0.136,0.9918
1,Bobby Brown,72,"{'neg': 0.056, 'neu': 0.912, 'pos': 0.033, 'compound': -0.8588}","['pop', 'hip-hop/rnb']",2.1,1989,2,619.2,40,4.4,My Prerogative,27,90.77,462,0.056,0.912,0.033,-0.8588
2,Poison,36,"{'neg': 0.122, 'neu': 0.6920000000000001, 'pos': 0.186, 'compound': 0.9695}",['rock'],1.3,1989,3,334.8,12,4.800000000000001,Every Rose Has Its Thorn,13,98.21,279,0.122,0.6920000000000001,0.186,0.9695
3,Paula Abdul,70,"{'neg': 0.038, 'neu': 0.72, 'pos': 0.242, 'compound': 0.9987}",['pop'],-0.30000000000000004,1989,4,538.2,19,4.4,Straight Up,47,107.69,475,0.038,0.72,0.242,0.9987
4,Janet Jackson,70,"{'neg': 0.139, 'neu': 0.786, 'pos': 0.075, 'compound': -0.7189}","['electronic/dance', 'pop']",-0.30000000000000004,1989,5,481.5,20,4.4,Miss You Much,26,107.69,449,0.139,0.786,0.075,-0.7189
5,Paula Abdul,63,"{'neg': 0.055, 'neu': 0.711, 'pos': 0.233, 'compound': 0.9964000000000001}",['pop'],0.5,1989,6,394.2,16,4.0,Cold Hearted,60,100.24,338,0.055,0.711,0.233,0.9964000000000001
6,Milli Vanilli,54,"{'neg': 0.01, 'neu': 0.662, 'pos': 0.328, 'compound': 0.9994000000000001}",[],0.1,1989,8,462.6,25,4.800000000000001,Girl You Know It's True,25,106.67,405,0.01,0.662,0.328,0.9994000000000001
7,Anita Baker,36,"{'neg': 0.015, 'neu': 0.709, 'pos': 0.276, 'compound': 0.9978}","['jazz', 'hip-hop/rnb', 'soul']",1.3,1989,10,351.9,16,4.800000000000001,Giving You The Best That I Got,8,98.21,287,0.015,0.709,0.276,0.9978
8,Richard Marx,36,"{'neg': 0.048, 'neu': 0.875, 'pos': 0.078, 'compound': 0.7176}",['pop'],0.5,1989,11,235.8,17,4.0,Right Here Waiting,22,100.24,198,0.048,0.875,0.078,0.7176
9,Gloria Estefan,40,"{'neg': 0.039, 'neu': 0.762, 'pos': 0.199, 'compound': 0.9887}","['electronic/dance', 'pop', 'rock']",0.5,1989,14,275.4,16,4.0,Don't Wanna Lose You,15,100.24,226,0.039,0.762,0.199,0.9887
10,Milli Vanilli,56,"{'neg': 0.125, 'neu': 0.728, 'pos': 0.147, 'compound': 0.8515}",[],-0.30000000000000004,1989,16,427.5,21,4.4,Girl I'm Gonna Miss You,39,107.69,374,0.125,0.728,0.147,0.8515
11,Roxette,96,"{'neg': 0.031, 'neu': 0.914, 'pos': 0.055, 'compound': 0.8538}","['pop', 'rock']",-2.2,1989,17,496.8,28,3.6,The Look,83,118.18,476,0.031,0.914,0.055,0.8538
12,Fine Young Cannibals,37,"{'neg': 0.269, 'neu': 0.63, 'pos': 0.101, 'compound': -0.9812000000000001}",['pop'],0.5,1989,18,225.0,15,4.0,She Drives Me Crazy,22,100.24,185,0.269,0.63,0.101,-0.9812000000000001
13,Bobby Brown,107,"{'neg': 0.046, 'neu': 0.911, 'pos': 0.042, 'compound': -0.5274}","['pop', 'hip-hop/rnb']",0.5,1989,19,753.3,43,4.0,On Our Own,77,100.24,611,0.046,0.911,0.042,-0.5274
14,Phil Collins,34,"{'neg': 0.058, 'neu': 0.878, 'pos': 0.064, 'compound': -0.335}","['jazz', 'pop', 'rock']",1.3,1989,20,322.2,13,4.800000000000001,Two Hearts,11,98.21,263,0.058,0.878,0.064,-0.335
15,Milli Vanilli,61,"{'neg': 0.147, 'neu': 0.784, 'pos': 0.068, 'compound': -0.9846}",[],-0.30000000000000004,1989,21,483.3,23,4.4,Blame It On The Rain,29,107.69,421,0.147,0.784,0.068,-0.9846
16,Roxette,41,"{'neg': 0.018000000000000002, 'neu': 0.856, 'pos': 0.125, 'compound': 0.9908}","['pop', 'rock']",1.7000000000000002,1989,22,420.3,20,5.2,Listen To Your Heart,17,97.2,357,0.018000000000000002,0.856,0.125,0.9908
17,Bon Jovi,57,"{'neg': 0.133, 'neu': 0.752, 'pos': 0.116, 'compound': -0.6868000000000001}",['rock'],1.3,1989,23,471.6,27,4.800000000000001,I'll Be There For You,40,98.21,407,0.133,0.752,0.116,-0.6868000000000001
18,Madonna,48,"{'neg': 0.038, 'neu': 0.724, 'pos': 0.23800000000000002, 'compound': 0.9973000000000001}","['electronic/dance', 'electronic/dance', 'pop']",1.7000000000000002,1989,25,499.5,13,5.2,Like A Prayer,36,97.2,416,0.038,0.724,0.23800000000000002,0.9973000000000001
19,New Kids On The Block,41,"{'neg': 0.027, 'neu': 0.601, 'pos': 0.372, 'compound': 0.9991000000000001}",['pop'],-0.30000000000000004,1989,26,302.4,10,4.4,I'll Be Loving You,26,107.69,268,0.027,0.601,0.372,0.9991000000000001
20,Breathe,42,"{'neg': 0.056, 'neu': 0.897, 'pos': 0.047, 'compound': -0.4055}",[],0.1,1989,27,321.3,5,4.800000000000001,How Can I Fall?,28,106.67,299,0.056,0.897,0.047,-0.4055
21,Milli Vanilli,47,"{'neg': 0.059000000000000004, 'neu': 0.681, 'pos': 0.261, 'compound': 0.997}",[],4.1,1989,28,396.9,19,4.0,Baby Don't Forget My Number,44,74.86,272,0.059000000000000004,0.681,0.261,0.997
22,Paula Abdul,71,"{'neg': 0.006, 'neu': 0.862, 'pos': 0.132, 'compound': 0.9943000000000001}",['pop'],2.1,1989,30,564.3,37,4.4,Forever Your Girl,28,90.77,433,0.006,0.862,0.132,0.9943000000000001
23,Bangles,45,"{'neg': 0.097, 'neu': 0.734, 'pos': 0.169, 'compound': 0.962}","['pop', 'rock']",1.7000000000000002,1989,32,312.3,12,4.0,Eternal Flame,24,91.78,249,0.097,0.734,0.169,0.962
24,Tone Loc,42,"{'neg': 0.015, 'neu': 0.891, 'pos': 0.093, 'compound': 0.9777}",[],1.7000000000000002,1989,33,530.1,50,6.4,Wild Thing,15,102.61,469,0.015,0.891,0.093,0.9777
25,Bad English,47,"{'neg': 0.027, 'neu': 0.764, 'pos': 0.209, 'compound': 0.9938}",[],1.3,1989,34,387.9,19,4.800000000000001,When I See You Smile,16,98.21,334,0.027,0.764,0.209,0.9938
26,Cher,52,"{'neg': 0.134, 'neu': 0.6890000000000001, 'pos': 0.177, 'compound': 0.9636}","['electronic/dance', 'disco', 'folk', 'pop', 'hip-hop/rnb', 'rock']",-0.30000000000000004,1989,35,384.3,13,4.4,If I Could Turn Back Time,32,107.69,358,0.134,0.6890000000000001,0.177,0.9636
27,Neneh Cherry,74,"{'neg': 0.124, 'neu': 0.683, 'pos': 0.192, 'compound': 0.9952000000000001}","['electronic/dance', 'electronic/dance']",2.1,1989,36,639.9,45,4.4,Buffalo Stance,33,90.77,510,0.124,0.683,0.192,0.9952000000000001
28,Taylor Dayne,41,"{'neg': 0.052000000000000005, 'neu': 0.712, 'pos': 0.23500000000000001, 'compound': 0.9933000000000001}","['electronic/dance', 'pop']",1.7000000000000002,1989,38,320.4,30,4.0,Don't Rush Me,9,91.78,244,0.052000000000000005,0.712,0.23500000000000001,0.9933000000000001
29,Bon Jovi,54,"{'neg': 0.022, 'neu': 0.897, 'pos': 0.081, 'compound': 0.9737}",['rock'],1.3,1989,39,463.5,24,4.800000000000001,Born To Be My Baby,28,98.21,398,0.022,0.897,0.081,0.9737
30,Fine Young Cannibals,30,"{'neg': 0.035, 'neu': 0.627, 'pos': 0.339, 'compound': 0.9959}",['pop'],0.5,1989,40,198.9,11,4.0,Good Thing,15,100.24,170,0.035,0.627,0.339,0.9959
31,Sheena Easton,90,"{'neg': 0.035, 'neu': 0.664, 'pos': 0.301, 'compound': 0.9995}","['country', 'electronic/dance', 'pop']",0.5,1989,41,604.8,21,4.0,The Lover In Me,56,100.24,509,0.035,0.664,0.301,0.9995
32,Young M.C.,85,"{'neg': 0.041, 'neu': 0.802, 'pos': 0.158, 'compound': 0.9967}",[],1.3,1989,42,810.0,85,4.800000000000001,Bust A Move,28,98.21,679,0.041,0.802,0.158,0.9967
33,Great White,40,"{'neg': 0.11800000000000001, 'neu': 0.8190000000000001, 'pos': 0.063, 'compound': -0.9114000000000001}",[],0.9,1989,43,421.2,24,5.6,"Once Bitten, Twice Shy",19,104.64,367,0.11800000000000001,0.8190000000000001,0.063,-0.9114000000000001
34,Jody Watley,52,"{'neg': 0.037, 'neu': 0.586, 'pos': 0.377, 'compound': 0.9994000000000001}","['electronic/dance', 'pop', 'soul']",2.1,1989,46,405.9,12,4.4,Real Love,68,90.77,318,0.037,0.586,0.377,0.9994000000000001
35,Bobby Brown,44,"{'neg': 0.064, 'neu': 0.746, 'pos': 0.19, 'compound': 0.989}","['pop', 'hip-hop/rnb']",2.1,1989,48,359.1,19,4.4,Every Little Step,26,90.77,271,0.064,0.746,0.19,0.989
36,New Kids On The Block,32,"{'neg': 0.139, 'neu': 0.837, 'pos': 0.024, 'compound': -0.9239}",['pop'],1.3,1989,49,289.8,14,4.800000000000001,Hangin' Tough,34,98.21,243,0.139,0.837,0.024,-0.9239
37,Rod Stewart,48,"{'neg': 0.222, 'neu': 0.622, 'pos': 0.156, 'compound': -0.9624}","['pop', 'rock']",0.9,1989,50,393.3,17,4.4,My Heart Can't Tell You No,20,99.23,332,0.222,0.622,0.156,-0.9624
