,artist,num_lines,sentiment,tags,f_k_grade,year,pos,num_syllables,difficult_words,fog_index,title,num_dupes,flesch_index,num_words,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound,genre
0,Lifehouse,42,"{'neg': 0.068, 'neu': 0.851, 'pos': 0.081, 'compound': 0.7605000000000001}",['rock'],2.1,2001,1,361.8,19,4.4,Hanging By A Moment,29,90.77,273,0.068,0.851,0.081,0.7605000000000001,rock
1,Alicia Keys,39,"{'neg': 0.179, 'neu': 0.646, 'pos': 0.17500000000000002, 'compound': 0.5081}","['pop', 'hip-hop/rnb', 'soul']",0.1,2001,2,234.0,14,3.6,Fallin',24,101.26,192,0.179,0.646,0.17500000000000002,0.5081,pop
2,Train,48,"{'neg': 0.022, 'neu': 0.874, 'pos': 0.10400000000000001, 'compound': 0.9894000000000001}","['alternative/indie', 'pop']",2.1,2001,4,522.0,29,5.6,Drops Of Jupiter,18,96.18,440,0.022,0.874,0.10400000000000001,0.9894000000000001,alternative/indie
3,Jennifer Lopez,84,"{'neg': 0.126, 'neu': 0.755, 'pos': 0.11900000000000001, 'compound': -0.0709}","['electronic/dance', 'pop']",-0.30000000000000004,2001,5,630.0,10,4.4,I'm Real,83,107.69,578,0.126,0.755,0.11900000000000001,-0.0709,electronic/dance
4,matchbox twenty,61,"{'neg': 0.146, 'neu': 0.803, 'pos': 0.052000000000000005, 'compound': -0.9861000000000001}",['rock'],0.5,2001,6,429.3,17,4.0,If You're Gone,26,100.24,350,0.146,0.803,0.052000000000000005,-0.9861000000000001,rock
5,Lenny Kravitz,50,"{'neg': 0.033, 'neu': 0.854, 'pos': 0.114, 'compound': 0.9799}","['rock', 'soul']",0.9,2001,9,377.1,16,4.4,Again,38,99.23,306,0.033,0.854,0.114,0.9799,rock
6,Destiny's Child,78,"{'neg': 0.024, 'neu': 0.849, 'pos': 0.127, 'compound': 0.9955}","['pop', 'hip-hop/rnb']",1.3,2001,10,682.2,45,4.800000000000001,Independent Women Part I,52,98.21,589,0.024,0.849,0.127,0.9955,pop
7,Blu Cantrell,69,"{'neg': 0.057, 'neu': 0.877, 'pos': 0.065, 'compound': 0.7752}",['hip-hop/rnb'],0.5,2001,11,622.8,31,5.2,Hit 'Em Up Style,38,105.66,552,0.057,0.877,0.065,0.7752,hip-hop/rnb
8,Shaggy,79,"{'neg': 0.051000000000000004, 'neu': 0.917, 'pos': 0.033, 'compound': -0.8239000000000001}",['reggae'],1.3,2001,12,711.0,45,4.800000000000001,It Wasn't Me,44,98.21,609,0.051000000000000004,0.917,0.033,-0.8239000000000001,reggae
9,Staind,29,"{'neg': 0.036000000000000004, 'neu': 0.8200000000000001, 'pos': 0.14400000000000002, 'compound': 0.9849}",['rock'],3.3,2001,14,334.8,13,5.6,It's Been Awhile,11,87.72,265,0.036000000000000004,0.8200000000000001,0.14400000000000002,0.9849,rock
10,Usher,50,"{'neg': 0.044, 'neu': 0.918, 'pos': 0.038, 'compound': -0.1522}",[],0.9,2001,15,526.5,20,5.6,U Remind Me,32,104.64,482,0.044,0.918,0.038,-0.1522,none
11,Shaggy,60,"{'neg': 0.041, 'neu': 0.761, 'pos': 0.198, 'compound': 0.9982000000000001}",['reggae'],2.9,2001,17,648.0,43,5.2,Angel,33,88.74,514,0.041,0.761,0.198,0.9982000000000001,reggae
12,Uncle Kracker,51,"{'neg': 0.032, 'neu': 0.772, 'pos': 0.197, 'compound': 0.9943000000000001}","['country', 'pop', 'rock']",0.9,2001,19,416.7,14,4.4,Follow Me,40,99.23,350,0.032,0.772,0.197,0.9943000000000001,country
13,112,87,"{'neg': 0.04, 'neu': 0.865, 'pos': 0.095, 'compound': 0.984}",[],0.9,2001,20,633.6,30,4.4,Peaches and Cream,52,99.23,549,0.04,0.865,0.095,0.984,none
14,Incubus,32,"{'neg': 0.062, 'neu': 0.879, 'pos': 0.059000000000000004, 'compound': 0.2917}",['rock'],3.3,2001,21,281.7,12,4.4,Drive,14,82.31,206,0.062,0.879,0.059000000000000004,0.2917,rock
15,Destiny's Child,72,"{'neg': 0.07100000000000001, 'neu': 0.675, 'pos': 0.254, 'compound': 0.9991000000000001}","['pop', 'hip-hop/rnb']",1.7000000000000002,2001,23,706.5,41,5.2,Survivor,49,97.2,580,0.07100000000000001,0.675,0.254,0.9991000000000001,pop
16,Outkast,95,"{'neg': 0.129, 'neu': 0.756, 'pos': 0.114, 'compound': -0.937}","['hip-hop/rnb', 'pop']",1.3,2001,25,854.1,71,4.800000000000001,Ms. Jackson,55,98.21,685,0.129,0.756,0.114,-0.937,hip-hop/rnb
17,Jennifer Lopez,69,"{'neg': 0.075, 'neu': 0.798, 'pos': 0.127, 'compound': 0.9857}","['electronic/dance', 'pop']",-0.30000000000000004,2001,26,533.7,26,4.4,Love Don't Cost A Thing,38,107.69,470,0.075,0.798,0.127,0.9857,electronic/dance
18,Faith Hill,25,"{'neg': 0.045, 'neu': 0.598, 'pos': 0.357, 'compound': 0.9985}","['country', 'pop']",0.9,2001,27,252.9,10,5.6,The Way You Love Me,14,104.64,225,0.045,0.598,0.357,0.9985,country
19,Dream,66,"{'neg': 0.046, 'neu': 0.743, 'pos': 0.212, 'compound': 0.9986}",[],0.1,2001,28,549.0,25,4.800000000000001,He Loves U Not,33,106.67,490,0.046,0.743,0.212,0.9986,none
20,Crazy Town,87,"{'neg': 0.096, 'neu': 0.807, 'pos': 0.097, 'compound': 0.7501}",[],2.5,2001,29,808.2,45,4.800000000000001,Butterfly,65,89.75,618,0.096,0.807,0.097,0.7501,none
21,Ja Rule,114,"{'neg': 0.10400000000000001, 'neu': 0.811, 'pos': 0.085, 'compound': -0.9412}",[],1.3,2001,30,938.7,52,4.800000000000001,Put It On Me,34,98.21,815,0.10400000000000001,0.811,0.085,-0.9412,none
22,Mary J. Blige,78,"{'neg': 0.042, 'neu': 0.835, 'pos': 0.123, 'compound': 0.9914000000000001}",[],2.1,2001,31,661.5,33,4.4,Family Affair,57,90.77,511,0.042,0.835,0.123,0.9914000000000001,none
23,Lee Ann Womack,37,"{'neg': 0.064, 'neu': 0.633, 'pos': 0.303, 'compound': 0.9982000000000001}",['country'],2.5,2001,32,386.1,36,4.800000000000001,I Hope You Dance,7,89.75,291,0.064,0.633,0.303,0.9982000000000001,country
24,Moby,25,"{'neg': 0.044, 'neu': 0.782, 'pos': 0.17400000000000002, 'compound': 0.9794}",[],1.3,2001,33,227.7,7,4.800000000000001,South Side,6,98.21,194,0.044,0.782,0.17400000000000002,0.9794,none
25,Madonna,40,"{'neg': 0.20800000000000002, 'neu': 0.737, 'pos': 0.055, 'compound': -0.9899}","['electronic/dance', 'electronic/dance', 'pop']",-0.30000000000000004,2001,34,283.5,3,4.4,Don't Tell Me,18,107.69,263,0.20800000000000002,0.737,0.055,-0.9899,electronic/dance
26,Craig David,52,"{'neg': 0.014, 'neu': 0.932, 'pos': 0.054, 'compound': 0.9325}",[],1.7000000000000002,2001,37,538.2,40,5.2,Fill Me In,15,97.2,455,0.014,0.932,0.054,0.9325,none
27,Destiny's Child,79,"{'neg': 0.136, 'neu': 0.8280000000000001, 'pos': 0.035, 'compound': -0.9928}","['pop', 'hip-hop/rnb']",1.3,2001,42,690.3,34,4.800000000000001,Bootylicious,57,98.21,562,0.136,0.8280000000000001,0.035,-0.9928,pop
28,Nelly Furtado,60,"{'neg': 0.011, 'neu': 0.786, 'pos': 0.203, 'compound': 0.9987}","['folk', 'pop', 'rock']",0.5,2001,43,559.8,12,5.2,I'm Like A Bird,33,105.66,497,0.011,0.786,0.203,0.9987,folk
29,3 Doors Down,30,"{'neg': 0.122, 'neu': 0.774, 'pos': 0.10400000000000001, 'compound': -0.7929}",['rock'],2.1,2001,44,344.7,18,5.6,Kryptonite,21,96.18,295,0.122,0.774,0.10400000000000001,-0.7929,rock
30,R. Kelly,72,"{'neg': 0.062, 'neu': 0.733, 'pos': 0.20500000000000002, 'compound': 0.9983000000000001}","['hip-hop/rnb', 'pop', 'hip-hop/rnb', 'soul']",0.1,2001,45,587.7,51,4.800000000000001,Fiesta,47,106.67,518,0.062,0.733,0.20500000000000002,0.9983000000000001,hip-hop/rnb
31,Sugar Ray,61,"{'neg': 0.012, 'neu': 0.907, 'pos': 0.081, 'compound': 0.9763000000000001}",[],-0.30000000000000004,2001,46,412.2,10,4.4,When It's Over,46,107.69,368,0.012,0.907,0.081,0.9763000000000001,none
32,Aerosmith,39,"{'neg': 0.158, 'neu': 0.722, 'pos': 0.12, 'compound': -0.8885000000000001}",['rock'],1.7000000000000002,2001,47,270.0,24,4.0,Jaded,14,91.78,212,0.158,0.722,0.12,-0.8885000000000001,rock
33,Jagged Edge,59,"{'neg': 0.002, 'neu': 0.739, 'pos': 0.259, 'compound': 0.999}","['hip-hop/rnb', 'hip-hop/rnb']",2.1,2001,48,640.8,18,5.6,Promise,12,96.18,534,0.002,0.739,0.259,0.999,hip-hop/rnb
34,Ginuwine,70,"{'neg': 0.057, 'neu': 0.683, 'pos': 0.261, 'compound': 0.9994000000000001}",[],2.9,2001,50,776.7,35,5.2,Differences,22,88.74,618,0.057,0.683,0.261,0.9994000000000001,none
35,Jay-Z,60,"{'neg': 0.098, 'neu': 0.785, 'pos': 0.11800000000000001, 'compound': 0.8815000000000001}","['hip-hop/rnb', 'religious']",1.7000000000000002,2001,52,594.9,73,5.2,Izzo,23,97.2,517,0.098,0.785,0.11800000000000001,0.8815000000000001,hip-hop/rnb
36,Ricky Martin,66,"{'neg': 0.17300000000000001, 'neu': 0.7000000000000001, 'pos': 0.127, 'compound': -0.8778}",[],0.9,2001,55,531.9,29,4.4,Nobody Wants To Be Lonely,41,99.23,436,0.17300000000000001,0.7000000000000001,0.127,-0.8778,none
37,Jay-Z,90,"{'neg': 0.101, 'neu': 0.723, 'pos': 0.176, 'compound': 0.9931000000000001}","['hip-hop/rnb', 'religious']",0.9,2001,56,729.9,61,4.4,I Just Wanna Love U,39,99.23,623,0.101,0.723,0.176,0.9931000000000001,hip-hop/rnb
38,Mystikal,69,"{'neg': 0.176, 'neu': 0.748, 'pos': 0.075, 'compound': -0.995}",[],0.9,2001,58,509.4,73,4.4,Danger,19,99.23,418,0.176,0.748,0.075,-0.995,none
39,Enya,29,"{'neg': 0.039, 'neu': 0.8140000000000001, 'pos': 0.147, 'compound': 0.9552}","['folk', 'pop']",-1.0,2001,59,134.1,1,3.6,Only Time,20,109.72,123,0.039,0.8140000000000001,0.147,0.9552,folk
40,Toya,56,"{'neg': 0.049, 'neu': 0.922, 'pos': 0.028, 'compound': -0.9062}",['pop'],1.7000000000000002,2001,60,671.4,29,6.4,I Do!!,40,102.61,619,0.049,0.922,0.028,-0.9062,pop
41,S Club 7,46,"{'neg': 0.11800000000000001, 'neu': 0.796, 'pos': 0.08700000000000001, 'compound': -0.7537}",['pop'],2.1,2001,61,488.7,19,5.6,Never Had A Dream Come True,31,96.18,416,0.11800000000000001,0.796,0.08700000000000001,-0.7537,pop
42,Jessica Simpson,50,"{'neg': 0.034, 'neu': 0.779, 'pos': 0.187, 'compound': 0.9922000000000001}",[],2.9,2001,63,424.8,26,4.0,Irresistible,20,83.32,296,0.034,0.779,0.187,0.9922000000000001,none
43,Sunshine Anderson,89,"{'neg': 0.165, 'neu': 0.775, 'pos': 0.06, 'compound': -0.9973000000000001}",[],0.1,2001,64,801.0,44,4.800000000000001,Heard It All Before,30,106.67,711,0.165,0.775,0.06,-0.9973000000000001,none
44,Dave Matthews Band,50,"{'neg': 0.188, 'neu': 0.657, 'pos': 0.155, 'compound': -0.8505}",['rock'],0.5,2001,65,350.1,26,4.0,The Space Between,21,100.24,292,0.188,0.657,0.155,-0.8505,rock
45,Faith Hill,36,"{'neg': 0.0, 'neu': 0.891, 'pos': 0.109, 'compound': 0.9812000000000001}","['country', 'pop']",1.3,2001,66,321.3,8,4.800000000000001,There You'll Be,21,98.21,274,0.0,0.891,0.109,0.9812000000000001,country
46,Musiq Soulchild,30,"{'neg': 0.115, 'neu': 0.682, 'pos': 0.203, 'compound': 0.9818}",[],1.3,2001,67,265.5,15,4.800000000000001,Love,11,98.21,229,0.115,0.682,0.203,0.9818,none
47,112,57,"{'neg': 0.113, 'neu': 0.809, 'pos': 0.078, 'compound': -0.9228000000000001}",[],1.3,2001,68,531.9,22,4.800000000000001,It's Over Now,30,98.21,452,0.113,0.809,0.078,-0.9228000000000001,none
48,3LW,69,"{'neg': 0.098, 'neu': 0.782, 'pos': 0.11900000000000001, 'compound': 0.8733000000000001}",[],0.9,2001,69,497.7,46,4.4,No More,29,99.23,432,0.098,0.782,0.11900000000000001,0.8733000000000001,none
49,Nelly Furtado,62,"{'neg': 0.036000000000000004, 'neu': 0.864, 'pos': 0.099, 'compound': 0.9868}","['folk', 'pop', 'rock']",0.5,2001,70,590.4,22,5.2,Turn Off The Light,27,105.66,543,0.036000000000000004,0.864,0.099,0.9868,folk
50,Jennifer Lopez,58,"{'neg': 0.022, 'neu': 0.72, 'pos': 0.258, 'compound': 0.9986}","['electronic/dance', 'pop']",-1.1,2001,72,454.5,12,4.800000000000001,Play,36,115.13,455,0.022,0.72,0.258,0.9986,electronic/dance
51,U2,47,"{'neg': 0.045, 'neu': 0.775, 'pos': 0.179, 'compound': 0.992}",[],0.5,2001,75,319.5,19,4.0,Beautiful Day,18,100.24,277,0.045,0.775,0.179,0.992,none
52,Blake Shelton,52,"{'neg': 0.024, 'neu': 0.883, 'pos': 0.093, 'compound': 0.9788}",['country'],0.5,2001,76,329.4,27,4.0,Austin,4,100.24,282,0.024,0.883,0.093,0.9788,country
53,Ludacris,60,"{'neg': 0.146, 'neu': 0.741, 'pos': 0.113, 'compound': -0.9373}",['hip-hop/rnb'],0.1,2001,77,526.5,45,4.800000000000001,Southern Hospitality,6,106.67,461,0.146,0.741,0.113,-0.9373,hip-hop/rnb
54,Tim McGraw,36,"{'neg': 0.011, 'neu': 0.883, 'pos': 0.106, 'compound': 0.9778}",['country'],0.5,2001,78,333.9,23,5.2,Grown Men Don't Cry,10,105.66,305,0.011,0.883,0.106,0.9778,country
55,Ja Rule,79,"{'neg': 0.129, 'neu': 0.768, 'pos': 0.10300000000000001, 'compound': -0.9631000000000001}",[],1.3,2001,79,660.6,72,4.800000000000001,Livin' It Up,23,98.21,564,0.129,0.768,0.10300000000000001,-0.9631000000000001,none
56,Mariah Carey,90,"{'neg': 0.01, 'neu': 0.795, 'pos': 0.196, 'compound': 0.9981000000000001}","['pop', 'hip-hop/rnb']",1.7000000000000002,2001,80,572.4,37,4.0,Loverboy,53,91.78,453,0.01,0.795,0.196,0.9981000000000001,pop
