,artist,num_lines,sentiment,tags,f_k_grade,year,pos,num_syllables,difficult_words,fog_index,title,num_dupes,flesch_index,num_words,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound,genre,danceability,energy,loudness,instrumentalness,liveness,spotify_id,spotify_url,duration_ms
0,Captain and Tennille,37,"{'neg': 0.058, 'neu': 0.711, 'pos': 0.231, 'compound': 0.9967}",[],1.7000000000000002,1975,1,359.1,27,5.2,Love Will Keep Us Together,12,97.2,301,0.058,0.711,0.231,0.9967,none,0.621,0.788,-4.326,0.0,0.305,4pCNJwixy2ImFncaPY2yE2,https://api.spotify.com/v1/tracks/4pCNJwixy2ImFncaPY2yE2,205493.0
1,Glen Campbell,31,"{'neg': 0.035, 'neu': 0.847, 'pos': 0.11900000000000001, 'compound': 0.9432}",[],3.7,1975,2,315.9,29,4.800000000000001,Rhinestone Cowboy,15,81.29,229,0.035,0.847,0.11900000000000001,0.9432,none,0.644,0.633,-8.006,6.82e-05,0.227,0VwTeYNjcl30DyQlt3GPe0,https://api.spotify.com/v1/tracks/0VwTeYNjcl30DyQlt3GPe0,194453.0
2,Elton John,42,"{'neg': 0.015, 'neu': 0.629, 'pos': 0.356, 'compound': 0.9993000000000001}","['pop', 'rock']",2.9,1975,3,442.8,15,5.2,Philadelphia Freedom,20,88.74,339,0.015,0.629,0.356,0.9993000000000001,pop,0.712,0.681,-6.351,0.000235,0.0592,2hl9ONQ7YGgZGYx0OSHvIq,https://api.spotify.com/v1/tracks/2hl9ONQ7YGgZGYx0OSHvIq,324573.0
3,Frankie Valli,48,"{'neg': 0.07, 'neu': 0.711, 'pos': 0.219, 'compound': 0.9917}",[],0.9,1975,5,364.5,20,4.4,My Eyes Adored You,28,99.23,293,0.07,0.711,0.219,0.9917,none,0.461,0.499,-10.443,0.0,0.135,2yDQVcj26tpi9IUJhw9xDs,https://api.spotify.com/v1/tracks/2yDQVcj26tpi9IUJhw9xDs,212013.0
4,"Earth, Wind and Fire",43,"{'neg': 0.035, 'neu': 0.633, 'pos': 0.332, 'compound': 0.9977}","['disco', 'jazz', 'hip-hop/rnb', 'soul']",-0.7000000000000001,1975,6,277.2,6,4.0,Shining Star,26,108.7,250,0.035,0.633,0.332,0.9977,disco,0.676,0.692,-13.093,0.00915,0.13,0RgcOUQg4qYAEt9RIdf3oB,https://api.spotify.com/v1/tracks/0RgcOUQg4qYAEt9RIdf3oB,170160.0
5,David Bowie,24,"{'neg': 0.076, 'neu': 0.423, 'pos': 0.501, 'compound': 0.9988}","['pop', 'rock', 'soul']",2.5,1975,7,237.6,16,4.800000000000001,Fame,15,89.75,178,0.076,0.423,0.501,0.9988,pop,0.786,0.555,-10.276,0.0173,0.0826,1PehfITh0TTRx3LkDdV4h3,https://api.spotify.com/v1/tracks/1PehfITh0TTRx3LkDdV4h3,261373.0
6,Neil Sedaka,27,"{'neg': 0.019, 'neu': 0.5760000000000001, 'pos': 0.405, 'compound': 0.9987}",[],1.3,1975,8,252.9,17,4.800000000000001,Laughter In The Rain,18,98.21,214,0.019,0.5760000000000001,0.405,0.9987,none,0.495,0.613,-9.463,0.0058,0.0406,2ozTcQyZQmm9tSmc4VZfwU,https://api.spotify.com/v1/tracks/2ozTcQyZQmm9tSmc4VZfwU,170067.0
7,John Denver,48,"{'neg': 0.08700000000000001, 'neu': 0.635, 'pos': 0.278, 'compound': 0.998}","['country', 'folk', 'pop', 'rock']",0.9,1975,10,517.5,25,5.6,Thank God I'm A Country Boy,27,104.64,450,0.08700000000000001,0.635,0.278,0.998,country,0.762,0.537,-9.58,0.000669,0.0551,69HICMmc6nNLucAx3aJX9M,https://api.spotify.com/v1/tracks/69HICMmc6nNLucAx3aJX9M,193093.0
8,Bee Gees,54,"{'neg': 0.117, 'neu': 0.667, 'pos': 0.216, 'compound': 0.9872000000000001}","['electronic/dance', 'disco', 'pop']",0.5,1975,11,378.0,16,4.0,Jive Talkin',41,100.24,314,0.117,0.667,0.216,0.9872000000000001,electronic/dance,0.811,0.545,-12.969,0.0853,0.156,4t0Pj3iBnSCZv5pDEPNmzG,https://api.spotify.com/v1/tracks/4t0Pj3iBnSCZv5pDEPNmzG,222267.0
9,Minnie Riperton,28,"{'neg': 0.018000000000000002, 'neu': 0.841, 'pos': 0.14100000000000001, 'compound': 0.9858}",[],2.9,1975,13,299.7,14,5.2,Lovin' You,24,88.74,226,0.018000000000000002,0.841,0.14100000000000001,0.9858,none,0.392,0.213,-12.494,1.01e-06,0.12,4twhYPDyCP6ICeW3TtQVxP,https://api.spotify.com/v1/tracks/4twhYPDyCP6ICeW3TtQVxP,203507.0
